method,taxon,n,locked_positive_rate,average_precision,action_precision
traditional_atom_rubric,broad_or_saturated,623,0.42215088282504015,0.5154312035233903,0.0
traditional_atom_rubric,delayed_peak_or_tail,692,0.319364161849711,0.2287567785698119,0.017543859649122806
traditional_atom_rubric,dropout_step,61,0.19672131147540983,0.24037656258871357,0.2
traditional_atom_rubric,early_pretrigger,1147,0.25544899738448124,0.20959113102503021,0.0
traditional_atom_rubric,nominal_shape,829,0.19903498190591074,0.2034525361458131,0.0
traditional_atom_rubric,template_mismatch,958,0.20876826722338204,0.199051200945451,0.0
ridge,broad_or_saturated,623,0.42215088282504015,0.6021372218037121,0.6736111111111112
ridge,delayed_peak_or_tail,692,0.319364161849711,0.3940389036023938,0.43037974683544306
ridge,dropout_step,61,0.19672131147540983,0.23707552966019996,0.2222222222222222
ridge,early_pretrigger,1147,0.25544899738448124,0.39104844409434253,0.41414141414141414
ridge,nominal_shape,829,0.19903498190591074,0.46260902168806073,0.5145631067961165
ridge,template_mismatch,958,0.20876826722338204,0.28154700518229103,0.29004329004329005
gradient_boosted_trees,broad_or_saturated,623,0.42215088282504015,0.7167889846775599,0.7447552447552448
gradient_boosted_trees,delayed_peak_or_tail,692,0.319364161849711,0.6676706367119077,0.5813953488372093
gradient_boosted_trees,dropout_step,61,0.19672131147540983,0.25261112153527016,0.2631578947368421
gradient_boosted_trees,early_pretrigger,1147,0.25544899738448124,0.409154495376885,0.47477744807121663
gradient_boosted_trees,nominal_shape,829,0.19903498190591074,0.5584653359897609,0.6294117647058823
gradient_boosted_trees,template_mismatch,958,0.20876826722338204,0.34094953699299896,0.38571428571428573
mlp,broad_or_saturated,623,0.42215088282504015,0.6474869293225073,0.7217741935483871
mlp,delayed_peak_or_tail,692,0.319364161849711,0.5303193429437841,0.5816993464052288
mlp,dropout_step,61,0.19672131147540983,0.25356902761287836,0.28125
mlp,early_pretrigger,1147,0.25544899738448124,0.3813664398762676,0.45605700712589076
mlp,nominal_shape,829,0.19903498190591074,0.5098455675843836,0.5227272727272727
mlp,template_mismatch,958,0.20876826722338204,0.3027351992142152,0.3611859838274933
cnn1d,broad_or_saturated,623,0.42215088282504015,0.6084295942317836,0.6714285714285714
cnn1d,delayed_peak_or_tail,692,0.319364161849711,0.3996581724695946,0.4788732394366197
cnn1d,dropout_step,61,0.19672131147540983,0.22813171805949573,0.25
cnn1d,early_pretrigger,1147,0.25544899738448124,0.4081362725402589,0.4358974358974359
cnn1d,nominal_shape,829,0.19903498190591074,0.5308525538010681,0.5543478260869565
cnn1d,template_mismatch,958,0.20876826722338204,0.31423573925723636,0.31862745098039214
atom_gated_cnn,broad_or_saturated,623,0.42215088282504015,0.6040228296735327,0.6397058823529411
atom_gated_cnn,delayed_peak_or_tail,692,0.319364161849711,0.39315260284966014,0.44075829383886256
atom_gated_cnn,dropout_step,61,0.19672131147540983,0.22206180938925446,0.2692307692307692
atom_gated_cnn,early_pretrigger,1147,0.25544899738448124,0.407518167111211,0.44086021505376344
atom_gated_cnn,nominal_shape,829,0.19903498190591074,0.5371475095222495,0.5434782608695652
atom_gated_cnn,template_mismatch,958,0.20876826722338204,0.31336745332498894,0.3140096618357488
