label_source,label,count
external_reviewer_alpha_label,dropout,187
external_reviewer_alpha_label,novel_delayed_peak,39
external_reviewer_alpha_label,baseline_excursion,27
external_reviewer_alpha_label,unassigned_common,2
external_reviewer_alpha_label,novel_broad_template_mismatch,1
external_reviewer_beta_label,dropout,178
external_reviewer_beta_label,novel_delayed_peak,39
external_reviewer_beta_label,baseline_excursion,35
external_reviewer_beta_label,unassigned_common,4
traditional_fixed_morphology_label,dropout,186
traditional_fixed_morphology_label,novel_delayed_peak,39
traditional_fixed_morphology_label,baseline_excursion,27
traditional_fixed_morphology_label,novel_broad_template_mismatch,2
traditional_fixed_morphology_label,unassigned_common,2
ml_loro_label,dropout,126
ml_loro_label,baseline_excursion,60
ml_loro_label,novel_delayed_peak,41
ml_loro_label,novel_early_pretrigger,14
ml_loro_label,unassigned_common,10
ml_loro_label,novel_broad_template_mismatch,5
p09b_consensus_label,dropout,126
p09b_consensus_label,baseline_excursion,60
p09b_consensus_label,novel_delayed_peak,42
p09b_consensus_label,novel_early_pretrigger,13
p09b_consensus_label,unassigned_common,8
p09b_consensus_label,novel_broad_template_mismatch,6
p09b_consensus_label,pileup_or_long_tail,1
