method,predicted_high_minus_low_secondary_fraction,observed_high_minus_low_secondary_fraction,delta_error,ci_low,ci_high,n_high_runs,n_low_runs
cnn_tail_knockout_surrogate,-0.02953752221222264,-0.03083663547030842,0.0012991132580857795,-0.03573454116080451,-0.0233634081015839,12,2
control_gated_cnn_gbt_ensemble,-0.010241713859985041,-0.03083663547030842,0.020594921610323377,-0.0152768985618189,-0.0049105355510669765,12,2
gradient_boosted_trees_tail_surrogate,-0.005725535767831358,-0.03083663547030842,0.02511109970247706,-0.009872747657809457,-0.0016406507635325738,12,2
mlp_tail_surrogate,-0.036036728033120524,-0.03083663547030842,-0.005200092562812106,-0.04974538539305757,-0.0222718631045059,12,2
ridge_tail_surrogate,-0.016144289448594418,-0.03083663547030842,0.014692346021714,-0.019314911860843727,-0.013074415753650056,12,2
sentinel_amplitude_only_ridge,-0.006369618729192228,-0.03083663547030842,0.02446701674111619,-0.008696566527710777,-0.003998020991683474,12,2
sentinel_run_only_ridge,-0.0007514728036968898,-0.03083663547030842,0.03008516266661153,-0.0015699776877472732,-5.617160807395384e-05,12,2
sentinel_shuffled_current_ridge,-0.0020349831820690445,-0.03083663547030842,0.028801652288239374,-0.012174089857928515,0.007904681630230379,12,2
sentinel_shuffled_live10_ridge,-0.004260246904431386,-0.03083663547030842,0.026576388565877032,-0.008885234363819201,0.0005003228244718096,12,2
traditional_empirical_template,-0.0042602467183215365,-0.03083663547030842,0.026576388751986882,-0.008931111530306748,0.0003892681001300447,12,2
