group,run,n,a_event_match_fraction,a_selected_fraction,a_topology_fraction,a_timing_topology_coincidence_rate,a_timing_topology_coincidences
high_20nA,44,160,1.0,0.025,0.00625,0.01875,3
high_20nA,45,160,1.0,0.0625,0.025,0.05,8
high_20nA,48,160,1.0,0.05625,0.0,0.05625,9
high_20nA,49,160,1.0,0.0375,0.00625,0.025,4
high_20nA,50,160,1.0,0.0,0.0,0.0,0
high_20nA,51,160,1.0,0.0,0.0,0.0,0
high_20nA,52,160,1.0,0.0,0.0,0.0,0
high_20nA,53,160,1.0,0.0,0.0,0.0,0
high_20nA,54,160,1.0,0.0,0.0,0.0,0
high_20nA,55,160,1.0,0.00625,0.0,0.0,0
high_20nA,56,160,1.0,0.00625,0.0,0.00625,1
high_20nA,57,160,1.0,0.03125,0.00625,0.025,4
low_2nA,46,97,0.9896907216494846,0.020618556701030927,0.010309278350515464,0.020618556701030927,2
low_2nA,47,160,1.0,0.04375,0.0125,0.0375,6
