population,current_group,dynamic_topology,n,secondary_fraction,timing_tail_fraction,median_dynamic_amp_adc
matched_s00_core,high_20nA,B2_only,136832,0.09508009822263798,0.0,5050.0
matched_s00_core,high_20nA,B2_plus_one_downstream,22652,0.1226823238566131,0.0,3635.0
matched_s00_core,high_20nA,B2_plus_ge2_downstream,14383,0.08906347771674894,0.982201209761524,3103.0
matched_s00_core,high_20nA,all_four,9502,0.050936644916859605,0.5933487686802779,2750.0
matched_s00_core,low_2nA,B2_only,1659,0.1024713682941531,0.0,4996.0
matched_s00_core,high_20nA,B4_only,588,0.0391156462585034,0.0,2179.5
matched_s00_core,high_20nA,B6_only,414,0.06521739130434782,0.0,2499.0
matched_s00_core,high_20nA,B8_only,294,0.06462585034013606,0.0,2057.0
matched_s00_core,high_20nA,downstream_ge2,112,0.05357142857142857,0.9017857142857143,2606.5
matched_s00_core,low_2nA,B2_plus_one_downstream,45,0.13333333333333333,0.0,3531.0
matched_s00_core,low_2nA,B2_plus_ge2_downstream,21,0.047619047619047616,1.0,3255.0
matched_s00_core,high_20nA,all_downstream,13,0.0,0.7692307692307693,1789.0
matched_s00_core,low_2nA,all_four,10,0.0,0.6,2771.5
matched_s00_core,low_2nA,B6_only,4,0.25,0.0,1788.0
matched_s00_core,low_2nA,B4_only,3,0.0,0.0,1259.0
selector_edge_atom,high_20nA,B2_only,136832,0.027252397100093546,0.0,5004.0
selector_edge_atom,high_20nA,B2_plus_one_downstream,22652,0.049443757725587144,0.0,3526.0
selector_edge_atom,high_20nA,B2_plus_ge2_downstream,14383,0.038239588402975734,0.8426614753528471,3098.0
selector_edge_atom,high_20nA,all_four,9502,0.019995790359924225,0.2124815828246685,2760.0
selector_edge_atom,low_2nA,B2_only,1659,0.03918022905364678,0.0,5132.0
selector_edge_atom,high_20nA,B4_only,588,0.011904761904761904,0.0,2180.0
selector_edge_atom,high_20nA,B6_only,414,0.01932367149758454,0.0,2539.0
selector_edge_atom,high_20nA,B8_only,294,0.01020408163265306,0.0,2066.5
selector_edge_atom,high_20nA,downstream_ge2,112,0.026785714285714284,0.7767857142857143,2650.5
selector_edge_atom,low_2nA,B2_plus_one_downstream,45,0.06666666666666667,0.0,3615.0
selector_edge_atom,low_2nA,B2_plus_ge2_downstream,21,0.047619047619047616,1.0,3244.0
selector_edge_atom,high_20nA,all_downstream,13,0.0,0.07692307692307693,1695.0
selector_edge_atom,low_2nA,all_four,10,0.0,0.0,2694.5
selector_edge_atom,low_2nA,B6_only,4,0.0,0.0,2160.0
selector_edge_atom,low_2nA,B4_only,3,0.0,0.0,1033.0
