stratum,method,n,timing_res68,energy_res68,pid_auc,pid_ece
all_heldout,mlp,167683,0.01506315157413483,0.031117567378964373,0.6109025965735957,0.12441233461684725
all_heldout,traditional_optimal_transport_template_likelihood,167683,0.01853016650671806,0.026300130146754287,0.610510987526178,0.12730502576585448
all_heldout,gradient_boosted_trees,167683,0.0330976028287903,0.026324647139842453,0.5350782176377956,0.1235142355357087
all_heldout,1d_cnn,167683,0.03336443572044373,0.04290668458996077,0.6065208117973506,0.12521674349505285
all_heldout,compact_waveform_transformer,167683,0.04541795313358307,0.053896605813220186,0.5971079912460332,0.12292324329553109
all_heldout,manifold_gated_residual_cnn_new,167683,0.04580278491973878,0.04653387434807809,0.6093316507685791,0.12434213191300453
all_heldout,ridge,167683,0.1583607931559601,0.06739519635783559,0.6549933111327051,0.16194113471223193
hard_saturated,mlp,42197,0.008760163784027088,0.023619549656096726,0.658919618527668,0.17187649403695712
hard_saturated,1d_cnn,42197,0.012855320239067072,0.019820605758818034,0.645419685103947,0.16986710410277336
hard_saturated,traditional_optimal_transport_template_likelihood,42197,0.016423046823551272,0.026342451828120717,0.5126453286915844,0.18108202874164384
hard_saturated,gradient_boosted_trees,42197,0.02888232819532847,0.030592143706427623,0.5003852749765894,0.17313119774016864
hard_saturated,manifold_gated_residual_cnn_new,42197,0.03257806271314623,0.03102578661321059,0.7750332008975735,0.16911945908783732
hard_saturated,compact_waveform_transformer,42197,0.03480092944502832,0.03626156569249629,0.7169898647387567,0.1702168459270861
hard_saturated,ridge,42197,0.11263412036881397,0.048319330984773895,0.531911496976171,0.16786845299659806
high_pedestal_drift,mlp,41266,0.07156493043899538,0.08655284555978372,0.5862441275993517,0.14081483931763225
high_pedestal_drift,traditional_optimal_transport_template_likelihood,41266,0.09644382509867896,0.2060358381344618,0.5541373270786263,0.16867225016328707
high_pedestal_drift,gradient_boosted_trees,41266,0.12795379177594685,0.09086688322238867,0.5557603297935572,0.13286023659952598
high_pedestal_drift,compact_waveform_transformer,41266,0.15457289481163025,0.14446667925048634,0.5873803034332552,0.132863961361722
high_pedestal_drift,1d_cnn,41266,0.16115153717994693,0.1588395954974318,0.5820617696854578,0.13720723261919
high_pedestal_drift,manifold_gated_residual_cnn_new,41266,0.17635038065910344,0.1585576421256525,0.583983076640517,0.13509654613924338
high_pedestal_drift,ridge,41266,0.3665982910125341,0.19217414077985348,0.603467321068207,0.16481410402361293
high_recovery_tail,mlp,52263,0.014962759017944326,0.0365278701393458,0.6680406326815368,0.05885450160056549
high_recovery_tail,traditional_optimal_transport_template_likelihood,52263,0.020290291286863125,0.030926472184881974,0.6543102617409354,0.04240212385223001
high_recovery_tail,gradient_boosted_trees,52263,0.03760600146682629,0.01691596210754609,0.6118970561641719,0.05075799415608727
high_recovery_tail,compact_waveform_transformer,52263,0.04099409046173096,0.05328123647751982,0.5829428665958879,0.06470479496252345
high_recovery_tail,1d_cnn,52263,0.04423831264972688,0.0636466899946987,0.609556502075804,0.06959417528639049
high_recovery_tail,manifold_gated_residual_cnn_new,52263,0.0466556190252304,0.050439320716236004,0.5616333598967673,0.06963865456883929
high_recovery_tail,ridge,52263,0.1736531757450395,0.08414175492313009,0.7495671948712953,0.17107152842965595
pileup_multiplicity_ge2,mlp,18924,0.0637325286388397,0.10165174374083825,,0.5348737911838448
pileup_multiplicity_ge2,gradient_boosted_trees,18924,0.08248364327940026,0.07539547147448084,,0.5367849558251753
pileup_multiplicity_ge2,traditional_optimal_transport_template_likelihood,18924,0.08377283744580614,0.12716362839067785,,0.5376433284734075
pileup_multiplicity_ge2,manifold_gated_residual_cnn_new,18924,0.11059987295866014,0.11093598890043813,,0.5290590569015616
pileup_multiplicity_ge2,compact_waveform_transformer,18924,0.11654388577938081,0.11022970086495792,,0.5290376558057633
pileup_multiplicity_ge2,1d_cnn,18924,0.13812239844799043,0.15887603703135209,,0.5302651635414162
pileup_multiplicity_ge2,ridge,18924,0.46982457704853325,0.20586046215311407,,0.5119374962801818
