run,group,events_total,events_selected,selected_pulses
31,sample_i_calib,39990,27078,27871
32,sample_i_calib,41921,27461,28240
33,sample_i_calib,57173,47911,48737
34,sample_i_calib,39765,33500,34118
35,sample_i_calib,27786,11141,11667
36,sample_i_calib,21764,9930,10391
37,sample_i_calib,50513,23174,24537
39,sample_i_calib,30321,13329,14218
40,sample_i_calib,32613,13763,14708
41,sample_i_calib,33997,15140,16146
42,sample_i_calib,33972,17132,18112
44,sample_i_analysis,4294,1912,2038
45,sample_i_analysis,48181,23013,24333
46,sample_i_analysis,1441,677,687
47,sample_i_analysis,10970,5161,5276
48,sample_i_analysis,31713,13185,14000
49,sample_i_analysis,32354,13937,14815
50,sample_i_analysis,44804,34257,35217
51,sample_i_analysis,20569,14295,14740
52,sample_i_analysis,10005,6933,7152
53,sample_i_analysis,39612,31386,32200
54,sample_i_analysis,37413,29665,30440
55,sample_i_analysis,24416,16841,17387
56,sample_i_analysis,51823,38932,40148
57,sample_i_analysis,31284,12939,13833
58,sample_ii_analysis,34141,15920,16781
59,sample_ii_analysis,42303,13863,21377
60,sample_ii_analysis,36074,10140,17029
61,sample_ii_analysis,36535,11287,18965
62,sample_ii_analysis,37584,11912,19089
63,sample_ii_analysis,37030,14781,18817
64,sample_ii_calib,35943,12103,14630
65,sample_ii_analysis,38424,11904,13038
