method,run,n_pairs,robust_width_ns,rms_ns
traditional_period_poly,58,25,1.146944976494248,1.3274613277697058
traditional_period_poly,59,11,0.9541139769271709,1.029860463850915
traditional_period_poly,60,11,1.0198215646991835,1.0548744076764776
traditional_period_poly,61,18,1.5188921739603696,1.8610417296115276
traditional_period_poly,62,7,1.048088016343594,1.6681350480094137
traditional_period_poly,63,28,1.2893968496471362,1.3546669724480649
traditional_period_poly,65,27,1.6392722010517287,1.6152786112726143
ridge,58,25,1.1532019813445746,2.195694900768989
ridge,59,11,2.7419705916224206,3.085902726219146
ridge,60,11,1.1547505889523173,1.4030326997052942
ridge,61,18,1.3792107846092772,1.84068272387768
ridge,62,7,1.881478866954244,6.2971175875587235
ridge,63,28,1.0568374333351709,1.9524100197809027
ridge,65,27,1.4253366985057458,2.8507119547212
gradient_boosted_trees,58,25,0.49687217295026276,1.3047634464775784
gradient_boosted_trees,59,11,0.9692696840967266,1.6690650651227126
gradient_boosted_trees,60,11,0.655197861047286,1.3600683161298233
gradient_boosted_trees,61,18,1.6152679553977418,1.782151174759625
gradient_boosted_trees,62,7,1.4504459361467723,1.7057824137810613
gradient_boosted_trees,63,28,0.4967067779442649,1.2116753503931839
gradient_boosted_trees,65,27,0.43038041844171704,0.9687816508100524
mlp,58,25,0.7216384978850333,1.069628661778798
mlp,59,11,1.065676274453601,1.8813497519184952
mlp,60,11,0.5041792913776462,1.3054739722074833
mlp,61,18,1.2947786061905155,1.4862158515691042
mlp,62,7,0.7515093314496897,0.6933472879468779
mlp,63,28,0.9605673668109609,1.0700640510218824
mlp,65,27,0.9419726062621203,0.8694354169773688
cnn_1d,58,25,0.6841578539680798,0.7768476719422899
cnn_1d,59,11,0.6689384577997146,0.7606562663585361
cnn_1d,60,11,0.46017854752174114,0.5979285513905065
cnn_1d,61,18,1.0828148584022232,1.152021280389375
cnn_1d,62,7,0.9991742760450929,1.306524797300957
cnn_1d,63,28,0.9379569092163624,0.8512293411883863
cnn_1d,65,27,0.9954162209025164,1.061437468905029
runmix_attention_cnn_new,58,25,0.4663638098149887,0.5229479416209271
runmix_attention_cnn_new,59,11,0.41832963087902164,0.40271475439694643
runmix_attention_cnn_new,60,11,0.3508228042914515,0.3630648600421463
runmix_attention_cnn_new,61,18,0.5568416376863674,0.6585530513910579
runmix_attention_cnn_new,62,7,0.7430850132329175,0.619564423471922
runmix_attention_cnn_new,63,28,0.3724499168584826,0.44366287033102936
runmix_attention_cnn_new,65,27,0.4781353734482058,0.5609461326117153
