method,baseline,comparison,delta_sigma68_ns,sigma68_ci_low_ns,sigma68_ci_high_ns,delta_mean_abs_pair_cov_ns2,cov_ci_low_ns2,cov_ci_high_ns2,p_two_sided_sigma68
ridge,pair_median,ridge_minus_pair_median,4.981236318622147,4.6697829065911725,5.325761074626706,-173.0039553679794,-209.9636509979043,-138.68193351846296,0.0
ridge,traditional_s05d_static_priors,ridge_minus_traditional_s05d_static_priors,-0.7393846653721408,-1.04096235116016,-0.4948657891537374,-3.6311885854143284,-5.778591540862909,-1.8096206479107813,0.0
gradient_boosted_trees,pair_median,gradient_boosted_trees_minus_pair_median,1.8317010962881692,1.39572969748219,1.8487236947122094,-158.72961464455858,-178.62093210459201,-134.20459893937874,0.0
gradient_boosted_trees,traditional_s05d_static_priors,gradient_boosted_trees_minus_traditional_s05d_static_priors,-3.888919887706119,-4.301687866183809,-3.5481954723776536,10.643152138006457,6.834655497957308,17.222300824582515,0.0
extra_trees_s05e_dynamic,pair_median,extra_trees_s05e_dynamic_minus_pair_median,0.1078891379728093,-0.5009119634576161,0.19429274945807515,-192.4713055728077,-234.1245987671977,-174.44247054744082,0.75
extra_trees_s05e_dynamic,traditional_s05d_static_priors,extra_trees_s05e_dynamic_minus_traditional_s05d_static_priors,-5.612731846021479,-5.761479772678526,-5.384615573319275,-23.098538790242657,-28.060104114298976,-21.456915474694732,0.0
mlp,pair_median,mlp_minus_pair_median,2.178659761012307,-0.32669124997130977,2.342243674693645,-21.518643248788038,-31.23167721871771,-15.23575982660097,0.25
mlp,traditional_s05d_static_priors,mlp_minus_traditional_s05d_static_priors,-3.541961222981981,-3.8090349168393587,-3.291130467789551,147.854123533777,141.58816236040195,183.89925981694157,0.0
cnn_1d,pair_median,cnn_1d_minus_pair_median,3.7065919393245457,2.4409894222977564,3.934541370559326,5.1616192894748565,-0.30618993830331115,9.331339147104488,0.0
cnn_1d,traditional_s05d_static_priors,cnn_1d_minus_traditional_s05d_static_priors,-2.0140290446697424,-3.3191650026619675,-1.66541729539725,174.53438607203992,140.46400207784063,225.39633967186256,0.0
support_gated_cnn_new,pair_median,support_gated_cnn_new_minus_pair_median,2.7977595632826127,1.745452243144331,2.808604330972258,-0.38051072090584626,-1.9367150791817265,0.38041002113191613,0.0
support_gated_cnn_new,traditional_s05d_static_priors,support_gated_cnn_new_minus_traditional_s05d_static_priors,-2.9228614207116754,-3.7496276635991515,11.035230714392792,168.9922560616592,152.47786301286385,207.68784265834233,0.25
waveform_only_mlp,pair_median,waveform_only_mlp_minus_pair_median,1.7987102530606967,0.1523356093116129,1.9255143003179551,-7.233624318414172,-12.405064285170706,-5.12063851276886,0.0
waveform_only_mlp,traditional_s05d_static_priors,waveform_only_mlp_minus_traditional_s05d_static_priors,-3.9219107309335914,-4.359113193868876,-3.4201772390186274,162.1391424641509,129.34245448733182,194.80726478179375,0.0
pool_label_control,pair_median,pool_label_control_minus_pair_median,4.295104282886281,3.3407948310349744,5.52715432497377,0.0,-1.1870504579292174e-14,5.018208071305708e-15,0.0
pool_label_control,traditional_s05d_static_priors,pool_label_control_minus_traditional_s05d_static_priors,-1.4255167011080072,-2.563184300634138,0.3904821737412387,169.37276678256507,126.74682048668578,197.68084690448666,0.25
ml_shuffled_target_control,pair_median,ml_shuffled_target_control_minus_pair_median,2.915179572796789,2.6484714255153,3.086339115410443,7.53927201005348,3.7700290549748074,16.572154869413716,0.0
ml_shuffled_target_control,traditional_s05d_static_priors,ml_shuffled_target_control_minus_traditional_s05d_static_priors,-2.8054414111974992,-2.9288065517330244,-2.308142222102339,176.91203879261855,160.6537587288162,215.23149201825152,0.0
