method,run,n,positives,roc_auc,average_precision
1d_cnn,42,64,12,0.9951923076923076,0.9790695415695417
1d_cnn,57,64,16,0.9921874999999999,0.9829545454545454
1d_cnn,64,64,12,0.8733974358974359,0.8035928693339686
1d_cnn,65,64,21,0.9224806201550387,0.9239532347064108
atom_gated_cnn_new,42,64,12,0.9951923076923077,0.9790695415695417
atom_gated_cnn_new,57,64,16,0.9973958333333334,0.9930555555555556
atom_gated_cnn_new,64,64,12,0.953525641025641,0.8690349002849003
atom_gated_cnn_new,65,64,21,0.9867109634551495,0.9725877214256251
gradient_boosted_trees,42,64,12,0.9951923076923076,0.9790695415695416
gradient_boosted_trees,57,64,16,0.9986979166666665,0.9963235294117647
gradient_boosted_trees,64,64,12,0.969551282051282,0.9259259259259259
gradient_boosted_trees,65,64,21,0.9723145071982281,0.9490315863187382
mlp,42,64,12,1.0,1.0
mlp,57,64,16,1.0,1.0
mlp,64,64,12,0.9631410256410257,0.9064856711915537
mlp,65,64,21,0.982281284606866,0.9718152909154611
ridge,42,64,12,0.9935897435897436,0.9791666666666666
ridge,57,64,16,0.9986979166666666,0.9963235294117647
ridge,64,64,12,0.9839743589743589,0.9467893217893218
ridge,65,64,21,0.9844961240310077,0.9740399850200216
traditional_train_selected_score,42,64,12,0.967948717948718,0.9077694235588972
traditional_train_selected_score,57,64,16,0.953125,0.9014482228298017
traditional_train_selected_score,64,64,12,0.8862179487179487,0.8292591698841699
traditional_train_selected_score,65,64,21,0.939091915836102,0.8980145184657424
