run,events_total,selected_b_stave_pulses,non_beam_selected_b_stave_pulses
31,39990,27871,0
32,41921,28240,0
33,57173,48737,0
34,39765,34118,0
35,27786,11667,0
36,21764,10391,0
37,50513,24537,0
39,30321,14218,0
40,32613,14708,0
41,33997,16146,0
42,33972,18112,0
44,4294,2038,0
45,48181,24333,0
46,1441,687,0
47,10970,5276,0
48,31713,14000,0
49,32354,14815,0
50,44804,35217,0
51,20569,14740,0
52,10005,7152,0
53,39612,32200,0
54,37413,30440,0
55,24416,17387,0
56,51823,40148,0
57,31284,13833,0
58,34141,16781,0
59,42303,21377,0
60,36074,17029,0
61,36535,18965,0
62,37584,19089,0
63,37030,18817,0
64,35943,14630,0
65,38424,13038,0
