atom_type,atom_value,n_events
phase_atom,central_phase_6,368
phase_atom,early_phase_le5,654
phase_atom,late_phase_ge7,2798
saturation_atom,amp_bulk,3248
saturation_atom,amp_top5_proxy,572
q_template_atom,q_template_sse_bulk,3344
q_template_atom,q_template_sse_top10,476
baseline_atom,baseline_bulk,3232
baseline_atom,baseline_excursion_top10,588
delayed_peak_atom,delayed_or_late_charge,2109
delayed_peak_atom,prompt_peak,1711
anomaly_atom,any_high_risk_atom,2933
anomaly_atom,no_high_risk_atom,887
run_family_atom,early,836
run_family_atom,late,436
run_family_atom,middle,2548
amplitude_atom,amp_high,1272
amplitude_atom,amp_low,1276
amplitude_atom,amp_mid,1272
pair,B4-B6,3820
pair,B4-B8,3820
pair,B6-B8,3820
