atom_type,atom_value,best_method,best_sigma68_ns,traditional_sigma68_ns,best_delta_vs_traditional_ns,best_tail_risk_ratio_vs_traditional,n_events
amplitude_atom,amp_high,hgb_no_samples_0_3,1.232376587826557,1.7968250818681857,-0.5644484940416288,0.5607843137254902,1272
amplitude_atom,amp_low,hgb_full,1.084745370394831,1.595608303302241,-0.5108629329074099,0.26436781609195403,1276
amplitude_atom,amp_mid,hgb_no_samples_0_3,1.216249807208664,1.6503966533522674,-0.4341468461436033,0.5379746835443038,1272
anomaly_atom,no_high_risk_atom,hgb_full,1.00835038912034,1.5533481056388454,-0.5449977165185054,0.32608695652173914,887
anomaly_atom,any_high_risk_atom,hgb_no_samples_0_3,1.2293535436421417,1.7418600066422063,-0.5125064630000646,0.4909090909090909,2933
baseline_atom,baseline_excursion_top10,hgb_full,0.7642683232402809,1.5201442317713159,-0.7558759085310349,0.9206349206349206,588
baseline_atom,baseline_bulk,hgb_full,1.2764568916708385,1.7623404006108496,-0.4858835089400111,0.4034090909090909,3232
delayed_peak_atom,prompt_peak,hgb_full,0.9242647864841822,1.5539572588958943,-0.6296924724117121,0.3395061728395062,1711
delayed_peak_atom,delayed_or_late_charge,hgb_no_samples_0_3,1.4081250521083213,1.860436742684013,-0.45231169057569165,0.49883990719257537,2109
pair,B4-B8,hgb_full,1.1160599577350034,1.3087931663366055,-0.19273320860160204,0.7142857142857143,3820
pair,B4-B6,hgb_no_samples_0_3,1.0976260899647026,1.229298173232248,-0.13167208326754554,0.792,3820
pair,B6-B8,hgb_full,0.95719249118869,1.0785801239129094,-0.12138763272421937,0.8771929824561403,3820
phase_atom,early_phase_le5,cnn1d_only_samples_0_3,0.7412956288337527,1.458209981355137,-0.7169143525213844,0.5555555555555556,654
phase_atom,central_phase_6,hgb_full,0.8436835936532416,1.4054219958374574,-0.5617384021842158,0.7586206896551724,368
phase_atom,late_phase_ge7,hgb_no_samples_0_3,1.3624688182435818,1.8678116012268788,-0.505342782983297,0.41523809523809524,2798
q_template_atom,q_template_sse_bulk,hgb_no_samples_0_3,1.2030934744855906,1.7374832854249522,-0.5343898109393617,0.37335834896810505,3344
q_template_atom,q_template_sse_top10,hgb_only_samples_0_3,0.9771872304655181,1.4694389290969752,-0.492251698631457,1.3111111111111111,476
run_family_atom,middle,hgb_no_samples_0_3,1.1640475432827413,1.7679211228927372,-0.6038735796099959,0.4332552693208431,2548
run_family_atom,early,hgb_no_samples_0_3,1.1452911316025496,1.5995132584715577,-0.4542221268690081,0.5591397849462365,836
run_family_atom,late,hgb_only_samples_0_3,1.241365119601997,1.5542448475667725,-0.3128797279647755,0.509090909090909,436
saturation_atom,amp_top5_proxy,hgb_full,1.2420240188114895,1.9834333939458026,-0.7414093751343132,0.47656249999999994,572
saturation_atom,amp_bulk,hgb_no_samples_0_3,1.1608892064532457,1.664346336178379,-0.5034571297251333,0.45777777777777773,3248
