gate,quantity,expected,reproduced,delta,pass
A-stack raw ROOT selected-pulse count,sample_iii_analysis.events_with_selected,7168,7168,0,True
A-stack raw ROOT selected-pulse count,sample_iii_analysis.selected_pulses,9682,9682,0,True
A-stack raw ROOT selected-pulse count,sample_iv_analysis.events_with_selected,767,767,0,True
A-stack raw ROOT selected-pulse count,sample_iv_analysis.selected_pulses,894,894,0,True
B-stack raw ROOT selected-pulse count,total_selected_pulses,640737,640737,0,True
B-stack raw ROOT selected-pulse count,sample_ii_analysis.selected_pulses,125096,125096,0,True
B-stack raw ROOT selected-pulse count,sample_ii_analysis.B2,88213,88213,0,True
B-stack raw ROOT selected-pulse count,sample_ii_analysis.B4,21229,21229,0,True
B-stack raw ROOT selected-pulse count,sample_ii_analysis.B6,11148,11148,0,True
B-stack raw ROOT selected-pulse count,sample_ii_analysis.B8,4506,4506,0,True
