bin,n_train,raw_median_ns,shrink_weight,correction_ns,sample,diagnostic,value,method,alpha,cv_sigma68_ns,sample_eval,note
"(6.909, 7.073]",480.0,3.4367202019823697,0.8571428571428571,3.5150777512399607,sample_iii_analysis,,,,,,sample_iii_analysis,
"(7.073, 7.191]",475.0,3.496724193032918,0.8558558558558559,3.5671384422224803,sample_iii_analysis,,,,,,sample_iii_analysis,
"(7.191, 7.294]",477.0,3.737523289032417,0.8563734290843806,3.773099555855123,sample_iii_analysis,,,,,,sample_iii_analysis,
"(7.294, 7.384]",478.0,3.851273811695691,0.8566308243727598,3.870478003106417,sample_iii_analysis,,,,,,sample_iii_analysis,
"(7.384, 7.472]",477.0,4.120728342095191,0.8563734290843806,4.101266181188953,sample_iii_analysis,,,,,,sample_iii_analysis,
"(7.472, 7.566]",475.0,4.228926860656323,0.8558558558558559,4.19379838298125,sample_iii_analysis,,,,,,sample_iii_analysis,
"(7.566, 7.675]",477.0,4.335630759699523,0.8563734290843806,4.285302901471298,sample_iii_analysis,,,,,,sample_iii_analysis,
"(7.675, 7.983]",477.0,4.398762545755108,0.8563734290843806,4.339367285579941,sample_iii_analysis,,,,,,sample_iii_analysis,
,,,,,sample_iii_analysis,torch_status,ok,,,,sample_iii_analysis,
,,,,,sample_iii_analysis,ridge_cv,,ridge,0.01,1.1288639132311387,sample_iii_analysis,
,,,,,sample_iii_analysis,ridge_cv,,ridge,0.1,1.1162153523457716,sample_iii_analysis,
,,,,,sample_iii_analysis,ridge_cv,,ridge,1.0,1.0677584483978835,sample_iii_analysis,
,,,,,sample_iii_analysis,ridge_cv,,ridge,10.0,1.100406200108507,sample_iii_analysis,
,,,,,sample_iii_analysis,ridge_cv,,ridge,100.0,1.1816367908249925,sample_iii_analysis,
"(6.991, 7.125]",2.0,4.916967729308549,0.024390243902439025,3.6379246999855486,sample_iv_analysis,,,,,,sample_iv_analysis,
"(7.125, 7.222]",2.0,3.4584978008697114,0.024390243902439025,3.6023522627065527,sample_iv_analysis,,,,,,sample_iv_analysis,
"(7.222, 7.274]",2.0,4.057642544933747,0.024390243902439025,3.616965549147139,sample_iv_analysis,,,,,,sample_iv_analysis,
"(7.274, 7.295]",2.0,3.0573602853780173,0.024390243902439025,3.5925684208652915,sample_iv_analysis,,,,,,sample_iv_analysis,
"(7.295, 7.353]",2.0,4.039481433476386,0.024390243902439025,3.616522595209154,sample_iv_analysis,,,,,,sample_iv_analysis,
"(7.353, 7.463]",2.0,3.2383016980720036,0.024390243902439025,3.59698162605295,sample_iv_analysis,,,,,,sample_iv_analysis,
"(7.463, 7.588]",2.0,4.51754829679998,0.024390243902439025,3.628182762607291,sample_iv_analysis,,,,,,sample_iv_analysis,
"(7.588, 7.72]",2.0,4.2863285003945375,0.024390243902439025,3.62254325537789,sample_iv_analysis,,,,,,sample_iv_analysis,
,,,,,sample_iv_analysis,torch_status,ok,,,,sample_iv_analysis,
,,,,,sample_iv_analysis,ridge_cv,,ridge,0.01,,sample_iv_analysis,single calibration run; leave-one-run CV not defined
