method,policy,mean_sigma68_ns,ci_low,ci_high,lift_vs_traditional_ns,lift_ci_low,lift_ci_high
ml_gated_proxy_all_root_proxies,run-heldout calibrated selector-risk timing-tail refit,1.2874021416424857,1.219717500318644,1.3494823004108514,0.36776189833642503,0.2349001513259706,0.5472477676448408
ml_cnn1d_proxy_all_root_proxies,run-heldout calibrated selector-risk timing-tail refit,1.3386414753255598,1.2592703486874446,1.4136897954278425,0.31652256465335094,0.15678486480045573,0.53186411522708
ml_hgb_all_root_proxies,run-heldout calibrated selector-risk timing-tail refit,1.3642099479179994,1.2880786158648658,1.4625260722708644,0.2909540920609113,0.10193856091201225,0.502833949612723
ml_ridge_all_root_proxies,run-heldout calibrated selector-risk timing-tail refit,1.3711393686917752,1.3277108191528035,1.4249169247802727,0.2840246712871355,0.1357884383565422,0.5097458873298805
ml_mlp_all_root_proxies,run-heldout calibrated selector-risk timing-tail refit,1.448565434871289,1.2558227428005522,1.7233487626728827,0.20659860510762162,-0.14976729463667954,0.526871452887156
ml_mlp_all_root_proxies_shuffled,negative control: shuffled residual target,1.6275694044862388,1.5179943859927048,1.781260975463752,0.027594635492671937,-0.00776029760625521,0.07252742251953853
ml_gated_proxy_all_root_proxies_shuffled,negative control: shuffled residual target,1.6384820698360762,1.520676586270277,1.793014222088936,0.016681970142834457,-0.019532069890960485,0.05038752382739117
ml_ridge_all_root_proxies_shuffled,negative control: shuffled residual target,1.6409520891330902,1.530531402120186,1.8023198326008698,0.014211950845820498,-0.010028933559188356,0.0463925715416535
traditional_global_no_proxy,"median-first timing refit, no dynamic quarantine",1.6551640399789107,1.5302256419373894,1.8471011243982511,0.0,-0.0,-0.0
ml_cnn1d_proxy_all_root_proxies_shuffled,negative control: shuffled residual target,1.656287562559698,1.5307468575088783,1.8326852761415535,-0.001123522580787295,-0.0023149426611724444,-3.572972668748819e-05
ml_hgb_all_root_proxies_shuffled,negative control: shuffled residual target,1.664607949679997,1.5343355663754166,1.8694638321790726,-0.009443909701086328,-0.021814675922323414,0.001656072943740832
traditional_binned_no_proxy,traditional nuisance refit comparator,3.1484944174882767,2.7981865557221326,3.4781330923368503,-1.493330377509366,-1.867453446636822,-1.1194497662734781
traditional_proxy_baseline_rate,traditional nuisance refit comparator,5.096280708419882,1.5602463918554488,11.971291206500585,-3.441116668440971,-10.330005536256357,0.004970302994348292
traditional_proxy_dynamic_boundary,transparent matched dynamic-boundary abstention/refit,5.1807940295117865,1.6786171794300166,11.45377599993228,-3.5256299895328755,-9.803580524181342,0.015540078510130069
traditional_proxy_all_root_proxies,traditional nuisance refit comparator,5.180794244997748,1.6578697648739982,11.332075085117822,-3.525630205018837,-9.759490555861294,0.0005479110562110241
