run,sample,n,a_support_count,a_support_fraction,winner_accept_fraction,winner_mean_support_score
31,sample_iii_calibration,11294,229,0.02027625287763414,0.015317867894457235,0.017851093830985192
32,sample_iii_calibration,11564,207,0.01790038049117952,0.029142165340712557,0.01962726589592392
33,sample_iii_calibration,13656,8,0.0005858230814294083,0.0013913298183948447,0.0035169608582807273
34,sample_iii_calibration,13830,16,0.0011569052783803326,0.0006507592190889371,0.003564694644828474
35,sample_iii_calibration,6130,221,0.03605220228384992,0.017455138662316478,0.029872285232738775
36,sample_iii_calibration,7216,295,0.040881374722838135,0.05030487804878049,0.03855318965437507
37,sample_iii_calibration,7036,292,0.041500852757248435,0.10659465605457646,0.038574606602305106
39,sample_iii_calibration,7238,324,0.04476374689140646,0.12531085935341255,0.04053035009259379
40,sample_iii_calibration,6854,265,0.03866355412897578,0.026262036766851474,0.028775693643818333
41,sample_iii_calibration,7197,295,0.040989301097679585,0.07433652910935112,0.04074559839403306
42,sample_iii_calibration,8114,279,0.03438501355681538,0.006285432585654425,0.01982152734166601
44,sample_iii_analysis,602,30,0.04983388704318937,0.061461794019933555,0.036573890176318694
45,sample_iii_analysis,7597,302,0.03975253389495854,0.06647360800315914,0.03682218732052761
47,sample_iii_analysis,2653,92,0.034677723332076894,0.06558612891066717,0.037904057456759906
48,sample_iii_analysis,6294,260,0.04130918334922148,0.08897362567524626,0.042876865970693616
49,sample_iii_analysis,7235,288,0.03980649619903248,0.12757429163787146,0.04357978973481113
50,sample_iii_analysis,12260,61,0.004975530179445351,0.0017944535073409463,0.004397708638802739
51,sample_iii_analysis,11154,25,0.002241348395194549,0.002151694459386767,0.003450700328048733
52,sample_iii_analysis,1743,6,0.0034423407917383822,0.0017211703958691911,0.0035039541444562873
53,sample_iii_analysis,12830,17,0.0013250194855806703,0.0013250194855806703,0.0035346234281114007
54,sample_iii_analysis,12890,18,0.0013964313421256788,0.0015515903801396431,0.003787044950626667
55,sample_iii_analysis,11113,27,0.0024295869702150633,0.005849005669036264,0.003985861225459658
56,sample_iii_analysis,12118,68,0.0056114870440666775,0.001980524839082357,0.007340733931650835
57,sample_iii_analysis,6619,276,0.04169814171324974,0.31590874754494636,0.04771778607387879
58,sample_iv_analysis,7427,34,0.004577891477043221,0.001211794802746735,0.00415821265896883
59,sample_iv_analysis,5175,9,0.0017391304347826088,0.00251207729468599,0.004483467911136203
60,sample_iv_analysis,4665,10,0.0021436227224008574,0.0,0.002483149533400013
61,sample_iv_analysis,4749,6,0.0012634238787113076,0.12802695304274583,0.12948455572113515
62,sample_iv_analysis,4863,8,0.001645075056549455,0.0012338062924120913,0.004572257551980962
63,sample_iv_analysis,6401,39,0.006092798000312451,0.0028120606155288236,0.00543262448236129
64,sample_iv_calibration,6239,35,0.005609873377143773,0.0012822567719185766,0.003895851112987349
65,sample_iv_analysis,4874,13,0.002667213787443578,0.0016413623307345096,0.0038640538841565315
