heldout_run,method,n_pulses,pred_sigma_median_ns,abs_error_median_ns,pull_width_sigma68,pull_rms
58,mlp_no_stave,219,2.451434850692749,1.4012506361812456,0.6633723514485795,0.8962266062574809
58,cnn_no_stave,219,2.4522809982299805,1.3701601205679168,0.6385173044285006,0.8528996237434614
58,gated_label_fusion_no_stave,219,2.5844168663024902,1.299042315725309,0.6046218020814087,0.8020861846848351
58,mlp_real_stave,219,1.8917866945266724,0.8423387364386201,0.4226103137618523,0.9858348605830228
58,cnn_real_stave,219,2.0620360374450684,0.6411884558314753,0.4318562495628636,0.8636016638304479
58,gated_label_fusion_real_stave,219,2.218456268310547,0.5885552424727223,0.4151556868960608,0.8353696680306811
58,mlp_train_label_permutation,219,2.409717798233032,1.3802061094442308,0.6925460527059268,0.8982099186314606
58,cnn_train_label_permutation,219,2.4709949493408203,1.3758727684439975,0.6742011823485345,0.8451386571450925
58,gated_label_fusion_train_label_permutation,219,2.525179862976074,1.4219431456468357,0.6446023058495004,0.8558027364207824
58,mlp_heldout_label_permutation,219,1.9466609954833984,1.5829062511172367,0.9230752387413246,1.629247445363384
58,cnn_heldout_label_permutation,219,2.203832626342773,1.2896313533258734,0.9551944486201738,1.2880256742001914
58,gated_label_fusion_heldout_label_permutation,219,2.269909143447876,1.1363482191600625,1.057043877775008,1.2881502820601642
59,mlp_no_stave,2289,2.125163316726685,1.2415103569744517,0.7472532631732156,0.8982789270882846
59,cnn_no_stave,2289,2.047935724258423,1.2612820400788252,0.7764773819931865,0.9596083036497036
59,gated_label_fusion_no_stave,2289,2.171161651611328,1.2931870680955413,0.7238163093658749,0.8964108350262121
59,mlp_real_stave,2289,1.5561603307724,0.6415654890411489,0.6145832516413303,0.9728253452652132
59,cnn_real_stave,2289,1.6054211854934692,0.6000511128337322,0.5853432023663119,1.0278477207979235
59,gated_label_fusion_real_stave,2289,2.111912965774536,1.007961655005019,0.6918272045588443,0.9289182771831552
59,mlp_train_label_permutation,2289,2.142264604568481,1.1679948347663895,0.7801871724070026,0.9081201616465864
59,cnn_train_label_permutation,2289,2.172027111053467,1.1810315488986731,0.7100427137945684,0.8918812379928593
59,gated_label_fusion_train_label_permutation,2289,2.2648446559906006,1.1995208419162395,0.7133973570712975,0.8933030629189622
59,mlp_heldout_label_permutation,2289,1.450741410255432,1.3988400550176578,1.4085261923181835,1.4604045230798244
59,cnn_heldout_label_permutation,2289,1.544186234474182,1.4479497126021386,1.3848486938294655,1.498581831388986
59,gated_label_fusion_heldout_label_permutation,2289,1.7564986944198608,1.5151592365273316,1.2572226812730327,1.338488061500173
60,mlp_no_stave,2424,2.063176393508911,1.0853765946464442,0.7464532009889917,0.8626166950353549
60,cnn_no_stave,2424,2.095072388648987,1.1256239237699397,0.7220783223542144,0.8721569957891191
60,gated_label_fusion_no_stave,2424,2.191240429878235,1.140696941490699,0.7069294219358416,0.8525215170717987
60,mlp_real_stave,2424,1.4990836381912231,0.6523398252199044,0.5921704478155828,0.8672970229934679
60,cnn_real_stave,2424,1.6855551600456238,0.6205352475389745,0.5439072561320596,0.8465046237381372
60,gated_label_fusion_real_stave,2424,1.9086423516273496,0.6680698334119519,0.5175395741566241,0.8091003751799458
60,mlp_train_label_permutation,2424,1.902002871036529,1.128320360721414,0.7826880265431126,0.9176928893735198
60,cnn_train_label_permutation,2424,2.131931781768799,1.1012162366536948,0.7551392114106446,0.8837568985164377
60,gated_label_fusion_train_label_permutation,2424,2.176605105400085,1.1947228266599517,0.7138028357013422,0.8458158698062586
60,mlp_heldout_label_permutation,2424,1.5805091857910156,1.417231299380184,1.3221208463691545,1.3570767225664164
60,cnn_heldout_label_permutation,2424,1.6990000009536743,1.3663109500034274,1.2201070388189064,1.293985606573425
60,gated_label_fusion_heldout_label_permutation,2424,1.9016544222831728,1.5642761109411154,1.1435355910597775,1.2374272485404327
61,mlp_no_stave,2799,2.101329803466797,1.7028849367591832,1.050034480327394,1.1860787606100358
61,cnn_no_stave,2799,2.0976667404174805,1.70519944517806,1.0782566974724148,1.2277474708775638
61,gated_label_fusion_no_stave,2799,2.1095218658447266,1.663365115126922,1.055212654159271,1.205455829258594
61,mlp_real_stave,2799,1.4493123292922974,0.6994964991967549,0.7245512156035089,1.1989296055845196
61,cnn_real_stave,2799,1.5922034978866575,0.7038171482275999,0.7033588464082534,1.0834536493215146
61,gated_label_fusion_real_stave,2799,1.879486441612244,0.9950132695461776,0.716869220610699,0.9996014545030608
