method,taxon,n,reviewer_positive_rate,curated_precision,action_rate
traditional_atom_rubric,broad_or_saturated,623,0.5634028892455859,0.0,0.0
traditional_atom_rubric,delayed_peak_or_tail,692,0.7196531791907514,0.6798245614035088,0.32947976878612717
traditional_atom_rubric,dropout_step,61,0.7540983606557377,1.0,0.08196721311475409
traditional_atom_rubric,early_pretrigger,1147,0.3748910200523104,0.0,0.0
traditional_atom_rubric,nominal_shape,829,0.2798552472858866,0.0,0.0
traditional_atom_rubric,template_mismatch,958,0.49373695198329853,1.0,0.0041753653444676405
ridge,broad_or_saturated,623,0.5634028892455859,0.9583333333333334,0.23113964686998395
ridge,delayed_peak_or_tail,692,0.7196531791907514,0.9156118143459916,0.342485549132948
ridge,dropout_step,61,0.7540983606557377,0.8888888888888888,0.4426229508196721
ridge,early_pretrigger,1147,0.3748910200523104,0.8821548821548821,0.25893635571054924
ridge,nominal_shape,829,0.2798552472858866,0.8737864077669902,0.12424607961399277
ridge,template_mismatch,958,0.49373695198329853,0.9177489177489178,0.24112734864300625
gradient_boosted_trees,broad_or_saturated,623,0.5634028892455859,1.0,0.4590690208667737
gradient_boosted_trees,delayed_peak_or_tail,692,0.7196531791907514,0.9941860465116279,0.49710982658959535
gradient_boosted_trees,dropout_step,61,0.7540983606557377,1.0,0.3114754098360656
gradient_boosted_trees,early_pretrigger,1147,0.3748910200523104,0.9525222551928784,0.2938099389712293
gradient_boosted_trees,nominal_shape,829,0.2798552472858866,0.9352941176470588,0.20506634499396864
gradient_boosted_trees,template_mismatch,958,0.49373695198329853,1.0,0.29227557411273486
mlp,broad_or_saturated,623,0.5634028892455859,0.9838709677419355,0.39807383627608345
mlp,delayed_peak_or_tail,692,0.7196531791907514,0.9934640522875817,0.4421965317919075
mlp,dropout_step,61,0.7540983606557377,1.0,0.5245901639344263
mlp,early_pretrigger,1147,0.3748910200523104,0.9026128266033254,0.36704446381865735
mlp,nominal_shape,829,0.2798552472858866,0.8920454545454546,0.21230398069963813
mlp,template_mismatch,958,0.49373695198329853,0.9730458221024259,0.3872651356993737
cnn1d,broad_or_saturated,623,0.5634028892455859,0.9214285714285714,0.2247191011235955
cnn1d,delayed_peak_or_tail,692,0.7196531791907514,0.9389671361502347,0.3078034682080925
cnn1d,dropout_step,61,0.7540983606557377,0.8928571428571429,0.45901639344262296
cnn1d,early_pretrigger,1147,0.3748910200523104,0.9304029304029304,0.23801220575414123
cnn1d,nominal_shape,829,0.2798552472858866,0.967391304347826,0.11097708082026538
cnn1d,template_mismatch,958,0.49373695198329853,0.9754901960784313,0.21294363256784968
atom_gated_cnn,broad_or_saturated,623,0.5634028892455859,0.8970588235294118,0.21829855537720708
atom_gated_cnn,delayed_peak_or_tail,692,0.7196531791907514,0.943127962085308,0.30491329479768786
atom_gated_cnn,dropout_step,61,0.7540983606557377,0.9230769230769231,0.4262295081967213
atom_gated_cnn,early_pretrigger,1147,0.3748910200523104,0.931899641577061,0.24324324324324326
atom_gated_cnn,nominal_shape,829,0.2798552472858866,0.9347826086956522,0.11097708082026538
atom_gated_cnn,template_mismatch,958,0.49373695198329853,0.9758454106280193,0.2160751565762004
