atom_type,atom_value,best_method,best_sigma68_ns,traditional_sigma68_ns,best_delta_vs_traditional_ns,best_tail_risk_ratio_vs_traditional,n_events
amplitude_atom,amp_high,hgb_no_samples_0_3,1.229794404285681,1.892652856630373,-0.6628584523446921,0.45893719806763283,1082
amplitude_atom,amp_low,hgb_no_samples_0_3,1.140091177284608,1.648045693324292,-0.5079545160396839,0.18699186991869918,987
amplitude_atom,amp_mid,hgb_full,1.2393011504809817,1.722334605692547,-0.4830334552115654,0.24489795918367344,1118
anomaly_atom,no_high_risk_atom,hgb_no_samples_0_3,0.9827577323424956,1.5937123572092666,-0.610954624866771,0.2283464566929134,1331
anomaly_atom,any_high_risk_atom,hgb_no_samples_0_3,1.3800594247201845,1.9084232029518005,-0.528363778231616,0.3671232876712328,1856
baseline_atom,baseline_train_bulk,hgb_no_samples_0_3,1.2082939188719442,1.7600191385583435,-0.5517252196863993,0.33263598326359833,3187
delayed_peak_atom,prompt_peak,hgb_no_samples_0_3,0.9886470153572495,1.60039917014029,-0.6117521547830405,0.2206896551724138,1436
delayed_peak_atom,delayed_or_late_charge,hgb_no_samples_0_3,1.3921325196588108,1.901719912164778,-0.5095873925059673,0.3786127167630058,1751
pair,B4-B8,hgb_no_samples_0_3,1.1097809128308391,1.4113687461766964,-0.30158783334585726,0.5145631067961165,3187
pair,B4-B6,hgb_full,1.1716887716617763,1.4064100883270072,-0.23472131666523088,0.6947368421052631,3187
pair,B6-B8,hgb_no_samples_0_3,0.999862461497173,1.1475674688845177,-0.1477050073873447,0.7692307692307693,3187
phase_atom,early_phase_le5,cnn1d_only_samples_0_3,0.6758457851172537,1.380912107674964,-0.7050663225577103,0.7272727272727273,239
phase_atom,central_phase_6,hgb_no_samples_0_3,0.7972120893113814,1.3952024840445136,-0.5979903947331322,0.47826086956521735,355
phase_atom,late_phase_ge7,hgb_full,1.3371716944305132,1.8995476719279187,-0.5623759774974055,0.2857142857142857,2593
q_template_atom,q_template_sse_train_bulk,hgb_no_samples_0_3,1.2082939188719442,1.7600191385583435,-0.5517252196863993,0.33263598326359833,3187
run_family_atom,middle,hgb_no_samples_0_3,1.1901876518522188,1.8405164712589095,-0.6503288194066907,0.2861111111111111,2115
run_family_atom,early,hgb_full,1.2040601850286134,1.6377381983950121,-0.43367801336639866,0.5915492957746479,705
run_family_atom,late,hgb_full,1.2716614784602847,1.6005596936650086,-0.32889821520472395,0.46511627906976744,367
saturation_atom,amp_top5_proxy,hgb_full,1.2888800008698185,2.0157805367482005,-0.726900535878382,0.36585365853658536,173
saturation_atom,amp_bulk,hgb_no_samples_0_3,1.2034687973061742,1.7458467065291432,-0.542377909222969,0.3233256351039261,3014
