method,calibration_bin,n,pred_energy_mean_adc,true_energy_mean_adc,fractional_bias,fractional_sigma68
1d_cnn,0,9,3000.813245985243,3519.8194444444443,-0.17737367105828597,0.06704993345168403
1d_cnn,1,8,3873.9614868164062,4556.796875,-0.10828477514781054,0.06052664731592735
1d_cnn,2,8,4761.677459716797,4974.234375,-0.05622578768748812,0.176497842938428
1d_cnn,3,8,5507.514068603516,5377.53125,-0.024990016608985928,0.2966169685885615
1d_cnn,4,8,7060.202453613281,6579.296875,0.05157421281415865,0.21878959746803198
1d_cnn,5,8,9971.533721923828,9842.09375,-0.0031132674558994977,0.18545703493575746
ar1_charge_ratio_likelihood_traditional,0,8,3243.3536552455676,3296.359375,0.012387684065293232,0.09606739718906779
ar1_charge_ratio_likelihood_traditional,1,7,4115.030174139027,3826.5535714285716,0.058303377410134395,0.07426060331062634
ar1_charge_ratio_likelihood_traditional,2,8,5053.648727462514,4656.09375,0.054188201180131595,0.09383933597762573
ar1_charge_ratio_likelihood_traditional,3,7,5770.4180953020095,5276.071428571428,0.07830249488540689,0.05405782475664609
ar1_charge_ratio_likelihood_traditional,4,7,6964.09427290517,6026.571428571428,0.1688089033724428,0.08709921823392097
ar1_charge_ratio_likelihood_traditional,5,8,9252.44761108456,8319.875,0.08690461629224919,0.08441421378914345
gradient_boosted_trees,0,14,3972.455098821269,4011.348214285714,-0.001045285978106626,0.09344985721593252
gradient_boosted_trees,1,14,4646.13281865755,4747.625,-0.08010510299697812,0.09591071110147756
gradient_boosted_trees,2,14,5264.258197819968,5446.955357142857,-0.020789842696445723,0.05863795368717608
gradient_boosted_trees,3,13,6144.804372937626,6003.586538461538,-0.02799320557258882,0.10603768800589015
gradient_boosted_trees,4,14,7418.155758913221,7426.107142857143,-0.0233627904768579,0.0747197453180187
gradient_boosted_trees,5,14,10811.399365741412,10406.75892857143,0.027575284439275923,0.10426309326830199
mlp,0,12,3410.633513941862,3730.6145833333335,-0.04517115712252093,0.14845977549796807
mlp,1,12,4640.781680738865,4706.125,-0.015275289861485273,0.09921395700553215
mlp,2,12,5532.363860849625,5467.739583333333,0.014894055668273277,0.1714977837479717
mlp,3,11,6558.907791300554,6710.704545454545,0.0941548024070915,0.2222168909312059
mlp,4,12,8152.961703346014,7457.78125,0.02548980703366587,0.26286300313077404
mlp,5,12,12379.47750367344,10204.0,0.09957159832015082,0.3033521673392238
pedestal_memory_fusion_new,0,13,3780.204782762277,3827.6634615384614,-0.0001508818474031232,0.11231482881684389
pedestal_memory_fusion_new,1,13,4512.122016593906,4650.471153846154,-0.05413629491994686,0.10664462836211963
pedestal_memory_fusion_new,2,13,5168.247940552827,5452.365384615385,-0.04185810933323024,0.04884714260389177
pedestal_memory_fusion_new,3,13,6030.039429558673,5852.990384615385,0.018882777276954543,0.08186582961514069
pedestal_memory_fusion_new,4,13,7544.401608807858,7580.692307692308,-0.025304049602291465,0.052650428611744675
pedestal_memory_fusion_new,5,13,10877.288691421254,10549.951923076924,0.0013770932458134382,0.1406634561894654
ridge,0,15,3865.0283125383403,4190.841666666666,-0.07095114630570074,0.06435908870581529
ridge,1,14,4775.558933830874,4672.651785714285,0.03658286763897477,0.08754725661154397
ridge,2,14,5527.759585138455,5528.669642857143,-0.004938040304292961,0.05870307104759965
ridge,3,14,6279.680474469943,6335.178571428572,-0.0003926502230942302,0.10507565819906961
ridge,4,14,7649.604050750339,7224.464285714285,0.0027165415880143094,0.04785421174874769
ridge,5,14,10743.623170953366,10822.63392857143,0.008963618969039125,0.061188049357149304
tiny_sequence_transformer,0,12,2989.429595337322,3593.6145833333335,-0.16728622758282674,0.11535397516178637
tiny_sequence_transformer,1,11,4111.743751989372,4532.352272727273,-0.11125117216255456,0.07670365116254514
tiny_sequence_transformer,2,11,4901.705717008618,5303.284090909091,-0.08600187780422419,0.10642622467879366
tiny_sequence_transformer,3,11,5925.213784677281,4985.125,0.13574817954881874,0.22200725614274083
tiny_sequence_transformer,4,11,7205.038791685287,7679.034090909091,-0.06869336971236978,0.11944917366883365
tiny_sequence_transformer,5,12,9989.520687845788,10678.114583333334,-0.003415951302003008,0.1294741185640881
