heldout_run,check,value,unit
58,train_heldout_event_id_overlap,0.0,events
58,features_exclude_run_event_order_cross_stave_time,1.0,bool
58,heldout_run_curve_not_fit,1.0,bool
58,final_models_use_heldout_rows,0.0,bool
59,train_heldout_event_id_overlap,0.0,events
59,features_exclude_run_event_order_cross_stave_time,1.0,bool
59,heldout_run_curve_not_fit,1.0,bool
59,final_models_use_heldout_rows,0.0,bool
60,train_heldout_event_id_overlap,0.0,events
60,features_exclude_run_event_order_cross_stave_time,1.0,bool
60,heldout_run_curve_not_fit,1.0,bool
60,final_models_use_heldout_rows,0.0,bool
61,train_heldout_event_id_overlap,0.0,events
61,features_exclude_run_event_order_cross_stave_time,1.0,bool
61,heldout_run_curve_not_fit,1.0,bool
61,final_models_use_heldout_rows,0.0,bool
62,train_heldout_event_id_overlap,0.0,events
62,features_exclude_run_event_order_cross_stave_time,1.0,bool
62,heldout_run_curve_not_fit,1.0,bool
62,final_models_use_heldout_rows,0.0,bool
63,train_heldout_event_id_overlap,0.0,events
63,features_exclude_run_event_order_cross_stave_time,1.0,bool
63,heldout_run_curve_not_fit,1.0,bool
63,final_models_use_heldout_rows,0.0,bool
65,train_heldout_event_id_overlap,0.0,events
65,features_exclude_run_event_order_cross_stave_time,1.0,bool
65,heldout_run_curve_not_fit,1.0,bool
65,final_models_use_heldout_rows,0.0,bool
