method,heldout_run,roc_auc,average_precision,n_clean,n_injected
transparent P02 morphology,58,0.5412710007304602,0.524186569812394,37,37
transparent P02 morphology,59,0.5198054870082741,0.5077365463958234,415,415
transparent P02 morphology,60,0.519171980085597,0.5067460644101205,428,428
transparent P02 morphology,61,0.5437441816913603,0.5204156691422541,607,607
transparent P02 morphology,62,0.5271485260770975,0.5106485182598367,420,420
transparent P02 morphology,63,0.5223854819853332,0.5066924459049862,194,194
transparent P02 morphology,65,0.5332647462277091,0.5128059090242153,54,54
traditional timing/template reference,58,0.6585098612125639,0.5913264109329766,37,37
traditional timing/template reference,59,0.6218841631586587,0.5875281331338758,415,415
traditional timing/template reference,60,0.635380273386322,0.5942295504691129,428,428
traditional timing/template reference,61,0.6066416247567505,0.5764860062597784,607,607
traditional timing/template reference,62,0.6194586167800453,0.5882611508013712,420,420
traditional timing/template reference,63,0.5991470932086301,0.567095222915151,194,194
traditional timing/template reference,65,0.581275720164609,0.5495366641819023,54,54
shape-only RF P02 morphology,58,0.8718042366691016,0.8879447486705885,37,37
shape-only RF P02 morphology,59,0.8669182755116853,0.8805241082407517,415,415
shape-only RF P02 morphology,60,0.8951000087343873,0.9104795653429623,428,428
shape-only RF P02 morphology,61,0.8409969900854664,0.8634343603208923,607,607
shape-only RF P02 morphology,62,0.8839795918367346,0.8985785524733125,420,420
shape-only RF P02 morphology,63,0.8448427037942394,0.83547267591546,194,194
shape-only RF P02 morphology,65,0.7758916323731139,0.791814812069921,54,54
