method,taxon,rows,positive_fraction,false_positive,false_negative,predicted_positive_fraction
traditional_atom_rubric,broad_or_saturated,623,0.5393258426966292,0,336,0.0
traditional_atom_rubric,delayed_peak_or_tail,692,0.6430635838150289,102,319,0.32947976878612717
traditional_atom_rubric,dropout_step,61,0.5901639344262295,2,33,0.08196721311475409
traditional_atom_rubric,early_pretrigger,1147,0.4803836094158675,0,551,0.0
traditional_atom_rubric,nominal_shape,829,0.3691194209891435,0,306,0.0
traditional_atom_rubric,template_mismatch,958,0.5020876826722338,3,480,0.0041753653444676405
ridge,broad_or_saturated,623,0.5393258426966292,16,208,0.23113964686998395
ridge,delayed_peak_or_tail,692,0.6430635838150289,43,251,0.342485549132948
ridge,dropout_step,61,0.5901639344262295,9,18,0.4426229508196721
ridge,early_pretrigger,1147,0.4803836094158675,24,278,0.25893635571054924
ridge,nominal_shape,829,0.3691194209891435,11,214,0.12424607961399277
ridge,template_mismatch,958,0.5020876826722338,24,274,0.24112734864300625
gradient_boosted_trees,broad_or_saturated,623,0.5393258426966292,34,84,0.4590690208667737
gradient_boosted_trees,delayed_peak_or_tail,692,0.6430635838150289,34,135,0.49710982658959535
gradient_boosted_trees,dropout_step,61,0.5901639344262295,4,21,0.3114754098360656
gradient_boosted_trees,early_pretrigger,1147,0.4803836094158675,22,236,0.2938099389712293
gradient_boosted_trees,nominal_shape,829,0.3691194209891435,12,148,0.20506634499396864
gradient_boosted_trees,template_mismatch,958,0.5020876826722338,16,217,0.29227557411273486
mlp,broad_or_saturated,623,0.5393258426966292,13,101,0.39807383627608345
mlp,delayed_peak_or_tail,692,0.6430635838150289,26,165,0.4421965317919075
mlp,dropout_step,61,0.5901639344262295,5,9,0.5245901639344263
mlp,early_pretrigger,1147,0.4803836094158675,15,145,0.36704446381865735
mlp,nominal_shape,829,0.3691194209891435,14,144,0.21230398069963813
mlp,template_mismatch,958,0.5020876826722338,39,149,0.3872651356993737
cnn1d,broad_or_saturated,623,0.5393258426966292,20,216,0.2247191011235955
cnn1d,delayed_peak_or_tail,692,0.6430635838150289,37,269,0.3078034682080925
cnn1d,dropout_step,61,0.5901639344262295,9,17,0.45901639344262296
cnn1d,early_pretrigger,1147,0.4803836094158675,14,292,0.23801220575414123
cnn1d,nominal_shape,829,0.3691194209891435,6,220,0.11097708082026538
cnn1d,template_mismatch,958,0.5020876826722338,24,301,0.21294363256784968
atom_gated_cnn,broad_or_saturated,623,0.5393258426966292,21,221,0.21829855537720708
atom_gated_cnn,delayed_peak_or_tail,692,0.6430635838150289,37,271,0.30491329479768786
atom_gated_cnn,dropout_step,61,0.5901639344262295,8,18,0.4262295081967213
atom_gated_cnn,early_pretrigger,1147,0.4803836094158675,13,285,0.24324324324324326
atom_gated_cnn,nominal_shape,829,0.3691194209891435,8,222,0.11097708082026538
atom_gated_cnn,template_mismatch,958,0.5020876826722338,19,293,0.2160751565762004
