method,heldout_run,roc_auc,average_precision,precision_at_top10,n_clean,n_injected
traditional_atom_rubric,58,0.5836376917457999,0.5700673082059379,0.5,37,37
traditional_atom_rubric,59,0.5689592103353172,0.5655708402942039,0.6265060240963856,415,415
traditional_atom_rubric,60,0.5779762424665911,0.5692746721357012,0.6627906976744186,428,428
traditional_atom_rubric,61,0.5840021278385883,0.5703430466675378,0.6229508196721312,607,607
traditional_atom_rubric,62,0.5834410430839002,0.5782091847705966,0.6785714285714286,420,420
traditional_atom_rubric,63,0.557471569773621,0.5552867895579512,0.5641025641025641,194,194
traditional_atom_rubric,65,0.5665294924554184,0.5465009760523833,0.5454545454545454,54,54
ridge,58,0.8400292184075968,0.8796587573248327,1.0,37,37
ridge,59,0.8307214399767745,0.8360844187923889,0.9397590361445783,415,415
ridge,60,0.8254705651148573,0.825369207487518,0.9302325581395349,428,428
ridge,61,0.8113958783983671,0.8044115970682375,0.9180327868852459,607,607
ridge,62,0.8319784580498866,0.849075933354539,0.9642857142857143,420,420
ridge,63,0.7840365607397173,0.7556699724482563,0.8205128205128205,194,194
ridge,65,0.7856652949245542,0.7935565216262759,0.8181818181818182,54,54
gradient_boosted_trees,58,0.91672753834916,0.9266690436835656,1.0,37,37
gradient_boosted_trees,59,0.9167019886776021,0.9254065364261657,0.9879518072289156,415,415
gradient_boosted_trees,60,0.9282633854485107,0.9361776482752433,1.0,428,428
gradient_boosted_trees,61,0.8920271190856807,0.8985708579647542,1.0,607,607
gradient_boosted_trees,62,0.9254875283446712,0.9273249719289307,0.9880952380952381,420,420
gradient_boosted_trees,63,0.8868237857370603,0.8769425350729128,0.9487179487179487,194,194
gradient_boosted_trees,65,0.8149862825788753,0.8234329796778163,0.9090909090909091,54,54
mlp,58,0.9218407596785976,0.926821214203642,1.0,37,37
mlp,59,0.920174190738859,0.9249448702151306,0.9879518072289156,415,415
mlp,60,0.9235822997641715,0.9184196606735484,0.9767441860465116,428,428
mlp,61,0.9097242766298729,0.9123494601637859,0.9754098360655737,607,607
mlp,62,0.9354648526077096,0.9383765732720812,0.9880952380952381,420,420
mlp,63,0.8975714741205228,0.8839457210086209,0.9230769230769231,194,194
mlp,65,0.8357338820301783,0.8515896067515973,0.9090909090909091,54,54
cnn1d,58,0.8290723155588021,0.8441291042879302,1.0,37,37
cnn1d,59,0.7903033822035128,0.7845755750456159,0.8795180722891566,415,415
cnn1d,60,0.8081109703904271,0.8084366884289766,0.9069767441860465,428,428
cnn1d,61,0.7587535859779779,0.7557609617392015,0.9098360655737705,607,607
cnn1d,62,0.8036734693877552,0.816478769345714,0.9404761904761905,420,420
cnn1d,63,0.7670581358273992,0.7387768698473187,0.8461538461538461,194,194
cnn1d,65,0.7259945130315499,0.7204461167810405,0.8181818181818182,54,54
atom_gated_cnn,58,0.8407596785975164,0.852907914073024,1.0,37,37
atom_gated_cnn,59,0.7957961968355349,0.7947081941647227,0.8795180722891566,415,415
atom_gated_cnn,60,0.812893047427723,0.8187549542747272,0.9534883720930233,428,428
atom_gated_cnn,61,0.769257074927602,0.7674851732948581,0.9262295081967213,607,607
atom_gated_cnn,62,0.8062471655328798,0.8198941403101434,0.9404761904761905,420,420
atom_gated_cnn,63,0.7655037729833138,0.7420822171337569,0.8205128205128205,194,194
atom_gated_cnn,65,0.7249657064471878,0.7209717792102089,0.8181818181818182,54,54
