dimension,stratum,n_pair_residuals,n_events,n_runs,support_fraction,median_charge_adc_samples,median_amplitude_adc
run,58,219,73,1,0.019109947643979056,18484.5,2679.75
run,59,2289,763,1,0.19973821989528795,19232.5,2559.5
run,60,2424,808,1,0.21151832460732983,22624.0,2910.5
run,61,2799,933,1,0.2442408376963351,21492.0,2774.25
run,62,2421,807,1,0.2112565445026178,20089.25,2674.0
run,63,1110,370,1,0.0968586387434555,18485.375,2551.625
run,65,198,66,1,0.017277486910994764,16706.75,2432.75
charge_bin,"charge[1000,4000)",60,31,7,0.005235602094240838,3152.75,1857.5
charge_bin,"charge[14000,24000)",5990,3189,7,0.5226876090750436,19147.625,2559.25
charge_bin,"charge[24000,40000)",3624,1871,7,0.3162303664921466,28074.375,3354.875
charge_bin,"charge[4000,8000)",285,175,7,0.024869109947643978,6698.5,1699.75
charge_bin,"charge[40000,80000)",30,23,6,0.002617801047120419,43392.5,4796.875
charge_bin,"charge[8000,14000)",1471,1032,7,0.12835951134380455,11881.25,1841.75
amplitude_bin,"amp_adc[1000,1500)",256,216,7,0.022338568935427575,7781.125,1382.125
amplitude_bin,"amp_adc[1500,2500)",3901,2372,7,0.3404013961605585,15308.5,2177.5
amplitude_bin,"amp_adc[2500,4000)",6811,3099,7,0.5943280977312391,23669.0,2966.75
amplitude_bin,"amp_adc[4000,7000)",492,302,7,0.04293193717277487,34128.75,4223.5
q_template_bin,"q_template[0,0.025)",35,34,5,0.0030541012216404886,20171.5,2707.25
q_template_bin,"q_template[0.025,0.05)",1262,733,7,0.11012216404886561,20291.5,2683.0
q_template_bin,"q_template[0.05,0.08)",2021,1113,7,0.17635253054101221,22622.5,2845.5
q_template_bin,"q_template[0.08,0.12)",2057,1060,7,0.17949389179755673,22361.0,2830.0
q_template_bin,"q_template[0.12,0.2)",1534,713,7,0.13385689354275743,21630.125,2755.5
q_template_bin,"q_template[0.2,inf)",4551,1602,7,0.39712041884816757,18090.0,2576.0
baseline_bin,"baseline_rms[0,8)",3889,2127,7,0.3393542757417103,21015.5,2780.0
baseline_bin,"baseline_rms[16,32)",935,491,7,0.08158813263525305,20906.25,2803.25
baseline_bin,"baseline_rms[32,64)",308,185,7,0.0268760907504363,21951.25,2781.75
baseline_bin,"baseline_rms[64,inf)",3067,1082,7,0.2676265270506108,18731.0,2496.25
baseline_bin,"baseline_rms[8,16)",3261,1578,7,0.2845549738219895,20897.0,2764.0
p09_anomaly_class,dropout,27,13,5,0.002356020942408377,8761.75,1515.75
p09_anomaly_class,novel_broad_template_mismatch,26,13,5,0.002268760907504363,36376.125,3981.5
p09_anomaly_class,novel_delayed_peak,571,212,7,0.04982547993019197,10563.0,2780.75
p09_anomaly_class,novel_early_pretrigger,298,140,6,0.02600349040139616,11932.875,2010.375
p09_anomaly_class,novel_undershoot_recovery,6,3,2,0.0005235602094240838,6203.625,1281.125
p09_anomaly_class,pileup_or_long_tail,16,9,4,0.0013961605584642235,10845.75,3029.625
p09_anomaly_class,unassigned_common,10516,3624,7,0.9176265270506109,21031.125,2723.0
