method,run,n,q_template_mse,q_template_rmse,timing_bias_ns,timing_sigma68_ns
traditional_empirical_ampbin,44,2038,0.11946251580112657,0.34563349924613296,-0.006609253150307026,0.09945244130727443
traditional_empirical_ampbin,45,24333,0.1282443741857386,0.3581122368556241,-0.006942719068590009,0.10378749073624674
traditional_empirical_ampbin,46,687,0.059033537177845805,0.24296818141033572,-0.012939942140826055,0.10120714247028358
traditional_empirical_ampbin,47,5276,0.06951342857752064,0.2636539940481097,-0.009367842291045925,0.0970020640771316
traditional_empirical_ampbin,48,14000,0.1245681612682989,0.3529421500307081,-0.012199134057280236,0.10252154199435004
traditional_empirical_ampbin,49,14815,0.12468245935981744,0.35310403475437296,-0.01048698760951261,0.101569857002269
traditional_empirical_ampbin,50,35217,0.044182756220536856,0.21019694626834343,-0.003412200203514182,0.09444668882451257
traditional_empirical_ampbin,51,14740,0.05129919706913674,0.22649326053800528,-0.001975626582588763,0.09386297042696706
traditional_empirical_ampbin,52,7152,0.05250913004390326,0.2291487072708534,-0.001099266775852481,0.09439331068844944
traditional_empirical_ampbin,53,32200,0.0403438490667558,0.20085778318690017,-0.006262344678504839,0.08970150463300255
traditional_empirical_ampbin,54,30440,0.0364708471676516,0.1909734200553878,-0.006900327268053452,0.08909386957743948
traditional_empirical_ampbin,55,17387,0.054208203280763916,0.23282655192388155,-0.005968013609893852,0.09392894723678304
traditional_empirical_ampbin,56,40148,0.042389752682723554,0.20588771863013966,-0.004433638163909848,0.0942199753392039
traditional_empirical_ampbin,57,13833,0.13040780790323359,0.3611202125376446,-0.011617144649345157,0.10171517099082282
traditional_empirical_ampbin,58,16781,0.05623356255368776,0.23713616880115054,-0.013456630586052842,0.09881781520110094
traditional_empirical_ampbin,59,21377,0.09087337511966023,0.3014521108230298,-0.024502303553062266,0.10373978305924314
traditional_empirical_ampbin,60,17029,0.10020438707951687,0.31655076540661986,-0.022951220626061808,0.10270117839466364
traditional_empirical_ampbin,61,18965,0.0853532325374506,0.2921527554849528,-0.02325257108333645,0.1029409347607424
traditional_empirical_ampbin,62,19089,0.08963191569753302,0.29938589762634615,-0.022804077021476576,0.10171807960073664
traditional_empirical_ampbin,63,18817,0.08754401928829049,0.2958783859768917,-0.01931568937710626,0.1007796098108864
traditional_empirical_ampbin,65,13038,0.11259509824109704,0.33555193076645684,-0.019770904638978237,0.09512199686024808
ridge,44,2038,0.03221856546210122,0.17949530763254293,-0.30279951548278783,0.5045775331292036
ridge,45,24333,0.03417775432637511,0.18487226489220907,-0.3541967601320284,0.521781517931394
ridge,46,687,0.014765006616035598,0.12151134356937873,-0.20032300394375202,0.3974287596450204
ridge,47,5276,0.01964946374998227,0.14017654493524326,-0.22254786039411112,0.45592180271532323
ridge,48,14000,0.03244966135380449,0.18013789538518676,-0.2935809673748513,0.5053505180517341
ridge,49,14815,0.03287150456982771,0.18130500426030086,-0.29252046329123704,0.4984977428802928
ridge,50,35217,0.01586269593309504,0.12594719501876586,-0.5509287727655399,0.41530537354755515
ridge,51,14740,0.01623091849908554,0.12740062205140734,-0.5174151182770004,0.4224053755304188
ridge,52,7152,0.017228688909935955,0.1312581003593148,-0.5185679031048629,0.419407291806127
ridge,53,32200,0.01209264563199338,0.10996656597345113,-0.5043960677274839,0.3610689239800128
ridge,54,30440,0.010992643851369653,0.10484580988942598,-0.5031333291143092,0.3600144855225175
ridge,55,17387,0.01606061929882136,0.12673049869238803,-0.5093876436573641,0.4149457180843566
ridge,56,40148,0.01552597342591689,0.12460326410618981,-0.5213430571283539,0.42174830267333974
ridge,57,13833,0.03271741439145159,0.1808795576936531,-0.3061444840525329,0.5104236794063572
ridge,58,16781,0.014350297912074232,0.11979272896162868,-0.4808083402475738,0.4294634208239408
ridge,59,21377,0.026697083394233427,0.16339242147123417,-0.2359187078898084,0.5459900188396962
ridge,60,17029,0.028561262543308857,0.1690007767535666,-0.2108759663765536,0.5566989563125349
ridge,61,18965,0.026178043409224423,0.16179630221121996,-0.25184641299097477,0.5658673684045978
ridge,62,19089,0.026568925287026292,0.16299977081893793,-0.2402858241233785,0.554423383973246
ridge,63,18817,0.023440517542825865,0.15310296386035727,-0.34628611596446257,0.5330995560284537
ridge,65,13038,0.022047371204259293,0.14848357216964878,-0.3368955388296424,0.5088228510084218
gradient_boosted_trees,44,2038,0.009033578710134122,0.09504514038147412,-0.049886926469064896,0.11264131987946664
gradient_boosted_trees,45,24333,0.010338154967657873,0.10167671792331749,-0.05202336590616419,0.11767699532414602
gradient_boosted_trees,46,687,0.0029235635223074843,0.054069987260100996,-0.04133272483063388,0.10349161572859414
gradient_boosted_trees,47,5276,0.006565259262595664,0.08102628747879088,-0.038362578171535766,0.10132822941736919
gradient_boosted_trees,48,14000,0.0095371249523252,0.09765820473634154,-0.052793828927022446,0.11446997005395748
gradient_boosted_trees,49,14815,0.009691263913565158,0.09844421726828427,-0.05445289620045202,0.11322198092242752
gradient_boosted_trees,50,35217,0.005126402850721607,0.07159890258042792,-0.0247613187202278,0.09937325385232264
gradient_boosted_trees,51,14740,0.004353753165107812,0.06598297632804853,-0.025205381751385314,0.1006849603372103
gradient_boosted_trees,52,7152,0.004886262318072626,0.06990180482700448,-0.02437104587772909,0.09892732883856512
gradient_boosted_trees,53,32200,0.0036200995262859375,0.06016726291170255,-0.022751418059687722,0.09216429203581278
gradient_boosted_trees,54,30440,0.003140504049406208,0.056040200297698864,-0.023106081104828924,0.09200644695750561
gradient_boosted_trees,55,17387,0.004237299581392715,0.06509454340720669,-0.027624031498314494,0.09952993844593365
gradient_boosted_trees,56,40148,0.004268974608098764,0.06533739058225974,-0.025877638940841052,0.09979286785772333
gradient_boosted_trees,57,13833,0.009424424826209563,0.09707947685381067,-0.05446188260447293,0.11492258952174694
gradient_boosted_trees,58,16781,0.0036990336911906117,0.06081968177482197,-0.060897112092801464,0.11186368710406755
gradient_boosted_trees,59,21377,0.00879813828616596,0.09379839170351462,-0.06517557471091617,0.12389232052992147
gradient_boosted_trees,60,17029,0.0065508653655334155,0.08093741635074235,-0.07152535820321937,0.12180137803336688
gradient_boosted_trees,61,18965,0.006450616714022374,0.08031573142306789,-0.07262353906843488,0.12373920427250606
gradient_boosted_trees,62,19089,0.007404757015748036,0.086050897820697,-0.06802136504137302,0.12286824792437842
gradient_boosted_trees,63,18817,0.007627710858523904,0.08733676693422938,-0.062276969323802334,0.11999658191430561
gradient_boosted_trees,65,13038,0.005335542151587846,0.073044795513355,-0.05376527949828791,0.10910144170708058
mlp,44,2038,0.008608448660236266,0.0927817258959773,0.020766004715264685,0.19444975165580997
mlp,45,24333,0.009418532432164888,0.09704912380936206,0.014927631704320099,0.1964464182364037
mlp,46,687,0.00255694859233248,0.05056627920197886,0.03612576938166523,0.17186914253450947
mlp,47,5276,0.00619581019944569,0.07871346898368595,0.025691557564719858,0.18053673014647725
mlp,48,14000,0.00908579499617646,0.09531943661277305,0.038538959001841455,0.2021019464606989
mlp,49,14815,0.00916419048336547,0.09572977845668228,0.030741217108918306,0.20027685257576772
mlp,50,35217,0.0049467820395527285,0.07033336363030514,-0.03543587546354754,0.1379140802586356
