heldout_run,check,value,unit
58,train_heldout_event_id_overlap,0.0,events
58,runlevel_shared_shuffled_target_sigma68,2.6346522471056453,ns
58,s03b_shuffled_target_sigma68,2.6518311521679636,ns
58,ml_ridge_shuffled_target_sigma68,2.774553476845604,ns
58,features_exclude_run_event_order_cross_stave_time,1.0,bool
58,heldout_run_curve_not_fit,1.0,bool
58,final_models_use_heldout_rows,0.0,bool
59,train_heldout_event_id_overlap,0.0,events
59,runlevel_shared_shuffled_target_sigma68,3.010423625982087,ns
59,s03b_shuffled_target_sigma68,2.99264862846374,ns
59,ml_ridge_shuffled_target_sigma68,2.96630941827278,ns
59,features_exclude_run_event_order_cross_stave_time,1.0,bool
59,heldout_run_curve_not_fit,1.0,bool
59,final_models_use_heldout_rows,0.0,bool
60,train_heldout_event_id_overlap,0.0,events
60,runlevel_shared_shuffled_target_sigma68,2.666335815469475,ns
60,s03b_shuffled_target_sigma68,2.779028586723509,ns
60,ml_ridge_shuffled_target_sigma68,2.7535994198694476,ns
60,features_exclude_run_event_order_cross_stave_time,1.0,bool
60,heldout_run_curve_not_fit,1.0,bool
60,final_models_use_heldout_rows,0.0,bool
61,train_heldout_event_id_overlap,0.0,events
61,runlevel_shared_shuffled_target_sigma68,2.7094658525522926,ns
61,s03b_shuffled_target_sigma68,2.739921372951283,ns
61,ml_ridge_shuffled_target_sigma68,2.702352219425779,ns
61,features_exclude_run_event_order_cross_stave_time,1.0,bool
61,heldout_run_curve_not_fit,1.0,bool
61,final_models_use_heldout_rows,0.0,bool
62,train_heldout_event_id_overlap,0.0,events
62,runlevel_shared_shuffled_target_sigma68,2.8894119478685893,ns
62,s03b_shuffled_target_sigma68,2.957040606939028,ns
62,ml_ridge_shuffled_target_sigma68,2.9197637913986583,ns
62,features_exclude_run_event_order_cross_stave_time,1.0,bool
62,heldout_run_curve_not_fit,1.0,bool
62,final_models_use_heldout_rows,0.0,bool
63,train_heldout_event_id_overlap,0.0,events
63,runlevel_shared_shuffled_target_sigma68,2.868003226589907,ns
63,s03b_shuffled_target_sigma68,2.907055857023645,ns
63,ml_ridge_shuffled_target_sigma68,2.953601158898346,ns
63,features_exclude_run_event_order_cross_stave_time,1.0,bool
63,heldout_run_curve_not_fit,1.0,bool
63,final_models_use_heldout_rows,0.0,bool
65,train_heldout_event_id_overlap,0.0,events
65,runlevel_shared_shuffled_target_sigma68,2.8640949281771255,ns
65,s03b_shuffled_target_sigma68,2.8902186098395672,ns
65,ml_ridge_shuffled_target_sigma68,2.883381075596796,ns
65,features_exclude_run_event_order_cross_stave_time,1.0,bool
65,heldout_run_curve_not_fit,1.0,bool
65,final_models_use_heldout_rows,0.0,bool
