selector_gate,taxonomy_class,n_events,n_runs
dynamic_range_extra,baseline_excursion,661,7
dynamic_range_extra,large_downstream_timing_span,10,5
dynamic_range_extra,poor_template_match,1,1
dynamic_range_full,large_downstream_timing_span,1766,7
dynamic_range_full,baseline_excursion,1536,7
dynamic_range_full,late_tail_or_delayed_peak,909,7
dynamic_range_full,clean_template_like,161,7
dynamic_range_full,poor_template_match,120,7
matched_control,baseline_excursion,43,7
matched_control,large_downstream_timing_span,28,6
matched_control,late_tail_or_delayed_peak,11,5
matched_control,clean_template_like,4,3
matched_control,poor_template_match,1,1
median_first_four,large_downstream_timing_span,1756,7
median_first_four,late_tail_or_delayed_peak,909,7
median_first_four,baseline_excursion,875,7
median_first_four,clean_template_like,161,7
median_first_four,poor_template_match,119,7
