stave,bin,n_train_pulses,amp_low_adc,amp_high_adc,seed_cfd20_median_samples,seed_iqr_samples,aligned_cfd20_sigma68_samples,heldout_run,selector
B8,1,753,2778.875,3291.25,5.403700097370983,1.9884320490703473,0.07167712278784091,60,median_first4
B8,2,753,3291.25,4028.125,5.396691729323308,1.694370478532921,0.08394846080818373,60,median_first4
B8,3,753,4028.125,,5.241661258922777,1.7379587175318285,0.07041841108621139,60,median_first4
B4,0,722,,1924.5,3.8775499074000432,3.3648017346961323,0.051234702448349455,61,median_first4
B4,1,721,1924.5,2352.5,5.0123831775700936,2.0582982061250936,0.004789561429641242,61,median_first4
B4,2,722,2352.5,2708.75,5.031758019785197,1.4827940087964997,0.007184835195650602,61,median_first4
B4,3,722,2708.75,,4.96328995208272,1.3910987124546887,0.01942099791094918,61,median_first4
B6,0,722,,2010.75,5.333700328751407,3.4102410148382933,0.057125328613087126,61,median_first4
B6,1,721,2010.75,2431.0,5.386565272496831,2.3765218062047793,0.06049396760038732,61,median_first4
B6,2,721,2431.0,2786.5,5.433003300330033,1.8482979759875011,0.06984119209495984,61,median_first4
B6,3,723,2786.5,,5.347819063004847,1.6905280151503943,0.06632488781436219,61,median_first4
B8,0,722,,2783.0,5.320178885750542,3.264526410640387,0.05285908936406063,61,median_first4
B8,1,721,2783.0,3334.0,5.381786339754816,2.206752444673186,0.07212832472836234,61,median_first4
B8,2,722,3334.0,4090.0,5.3521737958514,1.6189295390746312,0.07609639110866445,61,median_first4
B8,3,722,4090.0,,5.2189264519373335,1.7920722499989141,0.06491390157598427,61,median_first4
B4,0,753,,1934.0,3.916795865633075,3.335099466701542,0.03847588395916617,62,median_first4
B4,1,753,1934.0,2375.5,5.011725663716814,2.072800003869613,0.004626020424844253,62,median_first4
B4,2,753,2375.5,2723.0,5.059540636042403,1.3187138863000936,0.012132588524208997,62,median_first4
B4,3,754,2723.0,,4.959625488591946,1.3224250038772147,0.021913757233433306,62,median_first4
B6,0,753,,2058.0,5.336351531291611,3.3873213144099217,0.05548090205831025,62,median_first4
B6,1,752,2058.0,2484.0,5.358368514555094,2.398735113729681,0.05844547792646148,62,median_first4
B6,2,754,2484.0,2842.5,5.426484473415609,1.7905919738136469,0.06807833268667912,62,median_first4
B6,3,754,2842.5,,5.3493736233946665,1.6289640569634223,0.06903850953122857,62,median_first4
B8,0,753,,2798.0,5.30938123752495,3.4417603493552855,0.05179545168741398,62,median_first4
B8,1,752,2798.0,3348.5,5.392658897132813,1.9362775482200945,0.07362629288006993,62,median_first4
B8,2,754,3348.5,4108.5,5.3717564812734455,1.5687064076196968,0.08068260773998966,62,median_first4
B8,3,754,4108.5,,5.214670976540747,1.75743356668073,0.06457195861749193,62,median_first4
B4,0,862,,1954.5,3.9183148297919272,3.3807683639373254,0.037896866578219036,63,median_first4
B4,1,863,1954.5,2396.0,5.0335403726708075,2.240961162824095,0.008034358668000525,63,median_first4
B4,2,861,2396.0,2724.5,5.050706880301602,1.3465809409888356,0.010520636829825136,63,median_first4
B4,3,864,2724.5,,4.97736124309747,1.2968752276706585,0.01481214609541517,63,median_first4
B6,0,863,,2072.875,5.352749490835031,3.5541286325449315,0.057858361587778434,63,median_first4
B6,1,862,2072.875,2491.5,5.390429341630453,2.481457235480498,0.062498524032051306,63,median_first4
B6,2,862,2491.5,2844.875,5.447015847726322,1.7736486028475333,0.07107613833348006,63,median_first4
B6,3,863,2844.875,,5.327577319587629,1.63887747954485,0.06465201234191788,63,median_first4
B8,0,863,,2814.125,5.237220259128386,3.4633158701288282,0.04111961805022403,63,median_first4
B8,1,862,2814.125,3348.75,5.398392893351855,2.015948573115719,0.0714521072043059,63,median_first4
B8,2,862,3348.75,4120.875,5.40442825607064,1.609887387967276,0.08603987037075789,63,median_first4
B8,3,863,4120.875,,5.2153700189753325,1.7742171468707246,0.06499321853550562,63,median_first4
B4,0,939,,1942.625,3.800443458980044,3.370105389079603,0.06850612164387349,65,median_first4
B4,1,938,1942.625,2373.0,5.008714403580268,2.1187278073899396,0.004915507627466979,65,median_first4
B4,2,935,2373.0,2711.5,5.0620408163265305,1.350088684368981,0.012371789911285304,65,median_first4
B4,3,942,2711.5,,4.957420306763202,1.3194280737246906,0.022693262269567773,65,median_first4
B6,0,939,,2050.875,5.334426229508197,3.5685280397551815,0.05575862642472829,65,median_first4
B6,1,937,2050.875,2471.5,5.368599717114568,2.45316720379628,0.0593658779847938,65,median_first4
B6,2,937,2471.5,2823.5,5.426491405460061,1.786730814920408,0.0685273804405922,65,median_first4
B6,3,941,2823.5,,5.344501718213058,1.6363588275391958,0.06741279366540773,65,median_first4
B8,0,937,,2808.5,5.2684713375796175,3.4574169858254034,0.04477006923591677,65,median_first4
B8,1,939,2808.5,3347.0,5.391354945968413,2.1653118267729554,0.07232241650111658,65,median_first4
B8,2,938,3347.0,4111.5,5.384511500348961,1.601005122991693,0.08258642700948743,65,median_first4
B8,3,940,4111.5,,5.21341262628233,1.742496725747697,0.0644094146416003,65,median_first4
B4,0,1101,,1626.875,1.6821029082774048,0.3724993119595008,0.8472746517245824,58,dynamic_range
B4,1,1098,1626.875,2233.0,4.899949609473419,2.778991849290322,0.039564014318841816,58,dynamic_range
B4,2,1099,2233.0,2650.0,5.034756097560976,1.6292795719127846,0.008000496823144214,58,dynamic_range
B4,3,1104,2650.0,,4.999181260397726,1.263143536992132,0.009621792619772904,58,dynamic_range
B6,0,1100,,1778.5,1.7628964871194381,3.4948194528725645,0.8812445507015093,58,dynamic_range
B6,1,1101,1778.5,2333.25,5.371388888888889,2.794923791646434,0.05792364030385677,58,dynamic_range
B6,2,1099,2333.25,2763.5,5.395833333333333,1.851422010254458,0.06534546202484164,58,dynamic_range
B6,3,1102,2763.5,,5.3513503704823835,1.662278179325072,0.06787813974235618,58,dynamic_range
B8,0,1101,,2348.125,1.696998799519808,2.91405446707355,,58,dynamic_range
B8,1,1100,2348.125,3158.75,5.374528678657942,2.5216801346755835,0.06327286209218158,58,dynamic_range
B8,2,1100,3158.75,3942.25,5.39148585621774,1.721676544707252,0.0810226117869251,58,dynamic_range
B8,3,1101,3942.25,,5.2195633187772925,1.7155955813600565,0.06432905523072785,58,dynamic_range
B4,0,898,,1658.875,1.6740777775715505,0.45047411807281257,0.8435634195147588,59,dynamic_range
B4,1,897,1658.875,2269.0,4.863888888888889,2.883835616438356,0.047586378782653295,59,dynamic_range
B4,2,899,2269.0,2681.625,5.0624442462087424,1.37424821660329,0.012840862140651978,59,dynamic_range
B4,3,898,2681.625,,4.96328995208272,1.2980799735485131,0.019983026229912024,59,dynamic_range
B6,0,898,,1827.875,1.74812106878279,3.4497288390044023,0.8743585395865561,59,dynamic_range
B6,1,897,1827.875,2393.0,5.355361596009975,2.774589579899671,0.05743822148691066,59,dynamic_range
B6,2,899,2393.0,2806.25,5.4375757575757575,1.9195668869158338,0.0694102752980443,59,dynamic_range
B6,3,898,2806.25,,5.343660405338606,1.6239939784857549,0.06715850638769855,59,dynamic_range
B8,0,898,,2371.375,1.6834599904766392,2.8448153609926905,,59,dynamic_range
B8,1,895,2371.375,3188.0,5.372210526315789,2.597165721548003,0.06421260931954917,59,dynamic_range
B8,2,901,3188.0,3984.0,5.401170446232626,1.680778852175318,0.08419909785481305,59,dynamic_range
B8,3,898,3984.0,,5.2161691396593195,1.7334898386320228,0.06411026614243363,59,dynamic_range
B4,0,884,,1584.0,1.6849910378722175,0.48205720297913407,0.848511865673452,60,dynamic_range
B4,1,884,1584.0,2168.5,4.902384042297525,2.7593114600208546,0.0395012822068401,60,dynamic_range
B4,2,883,2168.5,2593.0,5.050397275822928,1.7126196289893727,0.010894298542528151,60,dynamic_range
B4,3,886,2593.0,,5.041062569885192,1.202168804810503,0.009823800831699182,60,dynamic_range
B6,0,883,,1740.0,1.774829001367989,3.444382239555824,0.8869747515688615,60,dynamic_range
B6,1,885,1740.0,2266.5,5.362336114421931,2.8556376887038004,0.05734469565361175,60,dynamic_range
B6,2,884,2266.5,2701.5,5.402542368686769,1.926180181399722,0.06344406942010611,60,dynamic_range
B6,3,885,2701.5,,5.431285831285831,1.6007353507353503,0.07751578823787952,60,dynamic_range
B8,0,884,,2330.5,1.7009421619840934,3.439950882771863,,60,dynamic_range
B8,1,884,2330.5,3126.5,5.38122930433119,2.607833750406064,0.06368187311775045,60,dynamic_range
B8,2,884,3126.5,3882.5,5.423481025716789,1.6922876249825758,0.08425684801896453,60,dynamic_range
B8,3,885,3882.5,,5.245254957507083,1.7374998644119275,0.07069504336656832,60,dynamic_range
B4,0,854,,1606.5,1.6774613591676757,0.4103031066422176,0.8454084241440923,61,dynamic_range
B4,1,854,1606.5,2209.5,4.859054418868997,2.7799095257465374,0.049970866181321634,61,dynamic_range
B4,2,853,2209.5,2643.5,5.03979057591623,1.6332677035653247,0.008533883108587385,61,dynamic_range
B4,3,856,2643.5,,4.990605095541401,1.2530646252843551,0.010326177979666527,61,dynamic_range
B6,0,854,,1736.0,1.7575244080350128,2.8774243718473396,0.8791768313540902,61,dynamic_range
B6,1,853,1736.0,2295.5,5.357552083333333,2.8024657413206584,0.058378072719951886,61,dynamic_range
B6,2,855,2295.5,2722.0,5.429738933030647,1.878505996511194,0.06667935390500829,61,dynamic_range
B6,3,855,2722.0,,5.350228728270815,1.7123084816909016,0.06706419577002748,61,dynamic_range
B8,0,854,,2267.5,1.6890969616871305,3.0309925223701097,,61,dynamic_range
B8,1,854,2267.5,3132.5,5.334307155284828,2.755727020727689,0.05880893170814808,61,dynamic_range
B8,2,854,3132.5,3917.5,5.383906404967814,1.757239943107135,0.07921812031765241,61,dynamic_range
B8,3,855,3917.5,,5.231397459165154,1.722962640178479,0.06712690174937759,61,dynamic_range
B4,0,888,,1617.25,1.6801121854766474,0.5075256997821407,0.8462299321969288,62,dynamic_range
B4,1,886,1617.25,2235.5,4.865221106301915,2.82878553749027,0.048330850199778744,62,dynamic_range
B4,2,889,2235.5,2661.25,5.03979057591623,1.5604708406443084,0.00912747536222561,62,dynamic_range
B4,3,888,2661.25,,4.987370097217566,1.290460135298892,0.01100069927461012,62,dynamic_range
B6,0,888,,1762.75,1.7478211020322503,3.5389959398368465,0.8737680682400182,62,dynamic_range
B6,1,885,1762.75,2343.0,5.360126582278481,2.775178307834508,0.05610430248698069,62,dynamic_range
B6,2,890,2343.0,2776.25,5.386548061976148,1.9421009913840406,0.06396801671918627,62,dynamic_range
B6,3,888,2776.25,,5.367165830280266,1.644462075882831,0.07049555994869726,62,dynamic_range
B8,0,888,,2329.75,1.6909944912403962,3.0586536509151334,,62,dynamic_range
B8,1,886,2329.75,3159.0,5.375451784144346,2.543624697794096,0.06277634924886506,62,dynamic_range
B8,2,889,3159.0,3939.75,5.3724196277495775,1.7172844272844268,0.07908219927263047,62,dynamic_range
B8,3,888,3939.75,,5.219872209008583,1.684455304777715,0.06490966576917481,62,dynamic_range
B4,0,1011,,1659.5,1.6815186246418339,0.44303408495621943,0.8470254780038287,63,dynamic_range
B4,1,1014,1659.5,2258.0,4.9073856265675,2.8458134278714047,0.03784134859706352,63,dynamic_range
B4,2,1013,2258.0,2665.75,5.058379373848987,1.5521384000560894,0.012100619839441985,63,dynamic_range
B4,3,1013,2665.75,,4.989272030651341,1.270653956088827,0.010721085599370458,63,dynamic_range
B6,0,1013,,1803.75,1.760932944606414,3.5664616780045346,0.8803516219296117,63,dynamic_range
B6,1,1011,1803.75,2360.5,5.371388888888889,2.7660409473856684,0.05753759136691938,63,dynamic_range
B6,2,1011,2360.5,2780.0,5.420168067226891,1.8814119064311958,0.06782151175939326,63,dynamic_range
B6,3,1016,2780.0,,5.3493736233946665,1.6508635637461073,0.06711222493912486,63,dynamic_range
B8,0,1012,,2356.0,1.6968555641434655,2.952472885566079,,63,dynamic_range
B8,1,1013,2356.0,3167.0,5.383922829581993,2.4686817321768797,0.0634189978794954,63,dynamic_range
B8,2,1012,3167.0,3951.5,5.408078586942379,1.7788790992833226,0.08404119117945333,63,dynamic_range
B8,3,1014,3951.5,,5.227394325437763,1.7252717464257177,0.06682266866381867,63,dynamic_range
B4,0,1101,,1639.375,1.6829525483304044,0.3760313501959387,0.8477095096681514,65,dynamic_range
B4,1,1100,1639.375,2239.0,4.893416715144464,2.836809778979219,0.04171749612983301,65,dynamic_range
B4,2,1100,2239.0,2653.25,5.0375991774124165,1.5672716303688041,0.008452067321093111,65,dynamic_range
B4,3,1101,2653.25,,4.997556719022688,1.2575389813394429,0.009548864254340206,65,dynamic_range
B6,0,1101,,1788.625,1.7744262295081967,3.5722846942018114,0.8865253145185368,65,dynamic_range
B6,1,1100,1788.625,2339.25,5.372382756132756,2.8508567682363735,0.05812654949622954,65,dynamic_range
B6,2,1100,2339.25,2765.875,5.394698844884488,1.8598335939134198,0.06518922805579984,65,dynamic_range
B6,3,1101,2765.875,,5.354605887939221,1.6548812472097296,0.06812430777510015,65,dynamic_range
B8,0,1101,,2366.25,1.6992323796231683,3.0959533881395167,0.8502094549007442,65,dynamic_range
B8,1,1100,2366.25,3163.75,5.371187230371009,2.544037332895865,0.06239551164617623,65,dynamic_range
B8,2,1100,3163.75,3950.125,5.388154745466261,1.732883576245876,0.08027966934623101,65,dynamic_range
B8,3,1101,3950.125,,5.222950819672131,1.6981249180705031,0.06541279114390264,65,dynamic_range
