pool,comparison,method,baseline,delta_ci_low_ns,delta_ci_high_ns,p_value
run64_only,ridge_minus_traditional,ridge,traditional,-0.5489478727851369,0.19602762994626002,0.284
run64_only,gradient_boosted_trees_minus_traditional,gradient_boosted_trees,traditional,-0.5329292833596934,0.18220861285479328,0.312
run64_only,mlp_minus_traditional,mlp,traditional,-0.09515331999422563,0.5811525271207993,0.218
run64_only,cnn_1d_minus_traditional,cnn_1d,traditional,-0.5311075434263905,0.22218320738044828,0.316
run64_only,gated_cnn_minus_traditional,gated_cnn,traditional,-0.602257099992389,0.28869666575609587,0.254
sample_iii_early,ridge_minus_traditional,ridge,traditional,-0.19188337987212575,0.018462332386928182,0.094
sample_iii_early,gradient_boosted_trees_minus_traditional,gradient_boosted_trees,traditional,-0.021520368416026815,1.266786962120254,0.066
sample_iii_early,mlp_minus_traditional,mlp,traditional,0.4543179805444696,2.587451244529318,0.0
sample_iii_early,cnn_1d_minus_traditional,cnn_1d,traditional,-0.14040218709624397,0.21473509990831433,0.83
sample_iii_early,gated_cnn_minus_traditional,gated_cnn,traditional,-0.1421480853846165,0.17280306031589743,0.814
sample_iii_late,ridge_minus_traditional,ridge,traditional,0.16388124535372722,0.8660802130101949,0.0
sample_iii_late,gradient_boosted_trees_minus_traditional,gradient_boosted_trees,traditional,0.6907956495495867,2.023750773708272,0.0
sample_iii_late,mlp_minus_traditional,mlp,traditional,-0.20383870842285765,0.17127258566977965,0.776
sample_iii_late,cnn_1d_minus_traditional,cnn_1d,traditional,-0.1053545525471049,0.227449769674988,0.416
sample_iii_late,gated_cnn_minus_traditional,gated_cnn,traditional,-0.11841948590186845,0.07229845832934623,0.582
sample_iii_mixed,ridge_minus_traditional,ridge,traditional,0.13003733648660748,0.8681571394888733,0.004
sample_iii_mixed,gradient_boosted_trees_minus_traditional,gradient_boosted_trees,traditional,0.1723663036719807,2.1818100800786953,0.0
sample_iii_mixed,mlp_minus_traditional,mlp,traditional,-0.2634428339693274,0.10896831134009188,0.518
sample_iii_mixed,cnn_1d_minus_traditional,cnn_1d,traditional,-0.11942670990440125,0.22163529646363678,0.436
sample_iii_mixed,gated_cnn_minus_traditional,gated_cnn,traditional,-0.13515778651504817,0.14102269434708348,0.98
