source,pool,method,percentile68_ns,ci_low_ns,ci_high_ns,note
S18,sample_iii,traditional,1.3890588377372115,1.3394002459748025,1.4528239182646616,original S18 primary Sample III sigma68
S18,sample_iii,ridge,1.3828948617417889,1.337040260259892,1.4263915126808568,original S18 run-group CV ridge
S18b,sample_iv_loro,traditional,1.4710826591392405,1.2892497326443457,1.6848853459790587,Sample IV LORO traditional
S18b,sample_iv_loro,ridge,1.9353650384601555,1.6865221497964424,2.321629771278869,Sample IV LORO ridge
S18c,run64_only,traditional,1.7936260637771233,1.4107686183048416,2.0814770355569765,prior pool ledger
S18c,sample_iii_only,traditional,1.4921094019259362,1.2831649044194147,1.6601494368425556,prior pool ledger
S18c,mixed_period,traditional,1.492269551137199,1.2722918972231765,1.6397144376849184,prior pool ledger
S18c,sample_iv_leave_one,traditional,1.6374830726053549,1.3087784602136758,1.7216416500179978,prior pool ledger
S18c,run64_only,ridge,1.601856094997725,1.2711124133932263,1.7090348620588274,prior pool ledger
S18c,sample_iii_only,ridge,1.8489252699130705,1.6124773197907623,2.276796728249465,prior pool ledger
S18c,mixed_period,ridge,1.8293001898554575,1.5357265587868878,2.2312080003673618,prior pool ledger
S18c,sample_iv_leave_one,ridge,1.3836097234295437,1.0741865355030773,1.456939125632936,prior pool ledger
S18d,historical_run64,traditional,1.7936260637768346,,,S18d historical rerun; binned core demoted from primary
S18d,historical_run64,student_t,1.2398677307243242,1.0584363458066193,1.3684612725611534,unbinned robust alternative
S18e,run64_only,traditional,1.7936260637771233,1.4107686183048416,2.0814770355569765,prior pool ledger
S18e,sample_iii_early,traditional,1.5577453031744033,1.2753934782947691,1.6852720572092628,prior pool ledger
S18e,sample_iii_late,traditional,1.456624277722906,1.2422810792312764,1.6393106408233284,prior pool ledger
S18e,sample_iii_mixed,traditional,1.4921094019259362,1.2366040032353334,1.6693721537883304,prior pool ledger
S18e,run64_only,ridge,1.601856094997725,1.2711124133932263,1.7090348620588274,prior pool ledger
S18e,sample_iii_early,ridge,1.459798952362646,1.2736260564806754,1.6411559165358218,prior pool ledger
S18e,sample_iii_late,ridge,2.2618410648202767,1.9137066331040973,2.815234719098247,prior pool ledger
S18e,sample_iii_mixed,ridge,1.8489252699130705,1.5835959087270097,2.2569967207059562,prior pool ledger
S18f,run64_only,traditional,1.793589512102762,1.4095055990196321,2.0814907102267832,S18f rerun from raw ROOT
S18f,run64_only,ridge,1.6050029888241775,1.2737118841728883,1.704139776090776,S18f rerun from raw ROOT
S18f,run64_only,gradient_boosted_trees,1.6099706543209522,1.2736943665715508,1.7074540645486962,S18f rerun from raw ROOT
S18f,run64_only,mlp,1.9488226988327952,1.786692008554137,2.3662114800459126,S18f rerun from raw ROOT
S18f,run64_only,cnn_1d,1.5860540918071209,1.2569824462945076,1.693904885020018,S18f rerun from raw ROOT
S18f,run64_only,gated_cnn,1.5630458459510719,1.2700038321794993,1.7388195588529813,S18f rerun from raw ROOT
S18f,sample_iii_early,traditional,1.5577470989640951,1.27528175545847,1.6850945920822038,S18f rerun from raw ROOT
S18f,sample_iii_early,ridge,1.4586896350911687,1.2330138719808514,1.5749561280287039,S18f rerun from raw ROOT
S18f,sample_iii_early,gradient_boosted_trees,2.239270608319541,1.5634448799113358,2.624034712574082,S18f rerun from raw ROOT
S18f,sample_iii_early,mlp,2.758558902479114,1.957858674324658,4.020357389853668,S18f rerun from raw ROOT
S18f,sample_iii_early,cnn_1d,1.546844740086602,1.25583137763504,1.6966937862155431,S18f rerun from raw ROOT
S18f,sample_iii_early,gated_cnn,1.5625271896112425,1.3044316054663585,1.6939996088637268,S18f rerun from raw ROOT
S18f,sample_iii_late,traditional,1.4566169497130677,1.2340797329602273,1.6411119174205444,S18f rerun from raw ROOT
S18f,sample_iii_late,ridge,1.9172693323663066,1.645447252492707,2.255405638649928,S18f rerun from raw ROOT
S18f,sample_iii_late,gradient_boosted_trees,3.047080040772916,2.1699337871289686,3.377780879942655,S18f rerun from raw ROOT
S18f,sample_iii_late,mlp,1.4971176316063777,1.1152189174557101,1.7507174929240932,S18f rerun from raw ROOT
S18f,sample_iii_late,cnn_1d,1.547156952050802,1.2547957017591385,1.696880527553997,S18f rerun from raw ROOT
S18f,sample_iii_late,gated_cnn,1.449598146579202,1.2408935572761326,1.6367679020118722,S18f rerun from raw ROOT
S18f,sample_iii_mixed,traditional,1.4921116126779848,1.2746900627821425,1.6554698502809728,S18f rerun from raw ROOT
S18f,sample_iii_mixed,ridge,1.896871866684117,1.638240649626118,2.305524507443402,S18f rerun from raw ROOT
S18f,sample_iii_mixed,gradient_boosted_trees,2.8643123222348277,1.6835535478738242,3.5485642280951635,S18f rerun from raw ROOT
S18f,sample_iii_mixed,mlp,1.4370542714378072,1.2417581298485096,1.591321689376847,S18f rerun from raw ROOT
S18f,sample_iii_mixed,cnn_1d,1.5476678608062109,1.2435288647320535,1.6982492281688837,S18f rerun from raw ROOT
S18f,sample_iii_mixed,gated_cnn,1.4863660264104315,1.3037907449331614,1.6593946764311576,S18f rerun from raw ROOT
