taxonomy_class,population,fraction,ci_low,ci_high,n
baseline_excursion,dynamic_only,0.9241672572643516,0.9185554406094235,0.9377415199656505,8466
baseline_excursion,s00_control,0.17819938603995772,0.1572362212980114,0.19709449598228515,59613
clean_template_like,dynamic_only,0.00023623907394283014,0.0,0.0006177606177606178,8466
clean_template_like,s00_control,0.17576703068122726,0.14832255130631225,0.21194924084548972,59613
large_downstream_timing_span,dynamic_only,0.006850933144342074,0.005167944829012909,0.010734220695577501,8466
large_downstream_timing_span,s00_control,0.04603022830590643,0.028674283925496948,0.07276129099319162,59613
late_tail_or_delayed_peak,dynamic_only,0.002008032128514056,0.0006517842594101353,0.0055817947617003,8466
late_tail_or_delayed_peak,s00_control,0.43718651971885325,0.38697761778056033,0.4951568599103658,59613
low_median_amp_dynamic_only,dynamic_only,0.004016064257028112,0.0016294606485253381,0.010304851867754402,8466
low_median_amp_dynamic_only,s00_control,0.0,0.0,0.0,59613
poor_template_match,dynamic_only,0.0627214741318214,0.035208243881494204,0.07316278311878768,8466
poor_template_match,s00_control,0.02902051565933605,0.02341733607864745,0.035239265577562524,59613
saturation_proxy,dynamic_only,0.0,0.0,0.0,8466
saturation_proxy,s00_control,0.13379631959471927,0.04452797455544311,0.224879033455042,59613
