method,metric,value,ci_low,ci_high
amplitude_only_control,auc_minus_traditional,-0.02147833549271022,-0.47604997895242424,0.4505790001440441
amplitude_only_control,brier_minus_traditional,-0.00027465010515759225,-0.08579288542241677,0.08424658012820992
amplitude_only_control,score_excess_high_minus_low_minus_traditional,-0.005779099575588864,-0.14871420551455586,0.13004736039548592
amplitude_only_control,support_loss_fraction_minus_traditional,0.0,-0.043643965105658655,0.043343175782312234
cnn1d_residual,auc_minus_traditional,-0.08091385389209071,-0.52937100280142,0.44177868521864205
cnn1d_residual,brier_minus_traditional,-0.0011386757263319724,-0.0859709899034864,0.08284959759128996
cnn1d_residual,score_excess_high_minus_low_minus_traditional,-0.012252289423599128,-0.14463839745018406,0.1077074743327777
cnn1d_residual,support_loss_fraction_minus_traditional,0.0,-0.04403034004305236,0.041312328722078386
gradient_boosted_trees_residual,auc_minus_traditional,0.0404716563165497,-0.3660438715799759,0.39347523401280576
gradient_boosted_trees_residual,brier_minus_traditional,0.00827915947873871,-0.07621149821902816,0.0961512091370984
gradient_boosted_trees_residual,score_excess_high_minus_low_minus_traditional,0.034423327086584465,-0.12403202690442287,0.20638673186089274
gradient_boosted_trees_residual,support_loss_fraction_minus_traditional,0.0,-0.043461143459127334,0.03861443215176183
mlp_residual,auc_minus_traditional,-0.13978963759698582,-0.5564490029589422,0.39603026798527513
mlp_residual,brier_minus_traditional,-0.0023591722036960805,-0.0858921680233809,0.07830461498669294
mlp_residual,score_excess_high_minus_low_minus_traditional,-0.01799237891139327,-0.14122714082386723,0.08755399996276429
mlp_residual,support_loss_fraction_minus_traditional,0.0,-0.041387238931026166,0.04205795657408561
ridge_residual,auc_minus_traditional,-0.08370154432679561,-0.5397133335298849,0.42698395401060474
ridge_residual,brier_minus_traditional,-0.0023310005560265995,-0.0852696672461587,0.08291936427341991
ridge_residual,score_excess_high_minus_low_minus_traditional,-0.013050221654617444,-0.14682261828151147,0.09556889040360637
ridge_residual,support_loss_fraction_minus_traditional,0.0,-0.04348374382446961,0.0397900419005936
shuffled_current_control,auc_minus_traditional,-0.12493296623925898,-0.5441463019566942,0.39402868631402943
shuffled_current_control,brier_minus_traditional,-0.0026925577285824426,-0.08479972067185493,0.07997445477028062
shuffled_current_control,score_excess_high_minus_low_minus_traditional,-0.016700060436055653,-0.14532445745658257,0.08420981094173037
shuffled_current_control,support_loss_fraction_minus_traditional,0.0,-0.043476692958470405,0.04172448225875646
support_gated_cnn_new,auc_minus_traditional,-0.09088822059896645,-0.546536705400058,0.41663686662077304
support_gated_cnn_new,brier_minus_traditional,0.0009938467272142815,-0.08402003618285273,0.08443563668882817
support_gated_cnn_new,score_excess_high_minus_low_minus_traditional,-0.013026552430870364,-0.1543089541659121,0.11792145750640011
support_gated_cnn_new,support_loss_fraction_minus_traditional,0.0,-0.04378697732697188,0.04015792197221694
topology_only_control,auc_minus_traditional,-0.10860493082547762,-0.5428272592639467,0.4038327074430649
topology_only_control,brier_minus_traditional,-0.0030459481592405024,-0.08674223451395313,0.0799366205845667
topology_only_control,score_excess_high_minus_low_minus_traditional,-0.014440159314364598,-0.14274281328679694,0.09078541235919081
topology_only_control,support_loss_fraction_minus_traditional,0.0,-0.046072468752630324,0.04301280070224311
