method,heldout_run,threshold,veto_fraction,timing_sigma68_all_ns,timing_sigma68_accepted_ns,timing_sigma68_delta_ns,charge_logamp_delta,baseline_final_fraction_delta,saturation_logamp_top10_delta,pileup_dt_mean_delta_ns,topology_n_downstream_delta,n_accepted_clean,n_vetoed_clean
random_forest_s07h,59,0.6102088720570763,0.033734939759036145,0.8659752201109989,0.8717113570849317,0.005736136973932826,-0.013088023198061016,-0.007452655632075894,-0.0002493765586034924,0.007459437483516185,-0.00464501397109629,401,14
random_forest_s07h,60,0.6117779502759733,0.02336448598130841,0.8951998855297902,0.8934672348315524,-0.0017326506982378032,-0.002121736359376847,-0.0018662880038625845,-0.0019138755980861316,0.0039238810636192945,3.353753968626805e-05,418,10
random_forest_s07h,61,0.5617750576034295,0.1614497528830313,0.9072897393770725,0.9195381894437151,0.012248450066642658,0.011990168820887881,-0.027023826240281892,-0.011591355599214148,-0.04756128428283746,0.01653272398313055,509,98
random_forest_s07h,62,0.61022348971667,0.03333333333333333,0.9286834577279557,0.9429264243842298,0.014242966656274114,-0.014902985500357957,-0.007173020677875203,-0.003940886699507401,-0.0152560394887844,-0.005665024630541637,406,14
random_forest_s07h,63,0.6023645595626022,0.06701030927835051,0.8994310602100041,0.8850954978312112,-0.014335562378792854,-0.021712743146164115,-0.0019107892974173368,-0.01712707182320443,-0.007358509506283806,-0.0065216153101324,181,13
random_forest_s07h,65,0.6050767137465932,0.018518518518518517,0.9391676739785558,0.9449623591090863,0.005794685130530497,0.005837466452381257,0.0010413603383125358,0.013207547169811318,-0.010837369518969853,0.0013976240391335715,53,1
ridge_logistic,58,0.7647709298556188,0.0,0.8779623884363779,0.8779623884363779,0.0,0.0,0.0,0.008108108108108109,0.0,0.0,37,0
ridge_logistic,59,0.7745076631024504,0.02650602409638554,0.8659752201109989,0.8749972233069641,0.009022003195965134,-0.004590331062667374,-0.010339808476937912,-0.0034653465346534684,0.0014663565747963236,-0.0013241083144457377,404,11
ridge_logistic,60,0.7646074097884471,0.04672897196261682,0.8951998855297902,0.8940376874446421,-0.0011621980851481695,0.007751135462001457,-0.0027451862794680565,-0.001960784313725497,0.003911024667592411,0.004970679860729188,408,20
ridge_logistic,61,0.7150780892943093,0.11202635914332784,0.9072897393770725,0.8665965703773526,-0.040693168999719864,0.030795138225596652,0.021727370613572335,0.00760667903525046,0.01832577584056172,0.012461297234184876,539,68
ridge_logistic,62,0.7759765808037278,0.02142857142857143,0.9286834577279557,0.9331006952207772,0.004417237492821524,-5.8146913575640724e-05,-0.0022005153578012193,-0.0026763990267639898,-0.004894881913603655,0.0009210983663536787,411,9
ridge_logistic,63,0.7538153073261717,0.08762886597938144,0.8994310602100041,0.8979771640044163,-0.001453896205587779,-0.020018145137719934,-0.014465397553536763,-0.015254237288135603,0.0064930299542560466,-2.9122255227331806e-05,177,17
ridge_logistic,65,0.7644875128122232,0.037037037037037035,0.9391676739785558,0.9449746711702789,0.005806997191723062,0.008669025919440188,0.002464706042885026,0.015384615384615385,-0.03311207424483342,0.002849002849003135,52,2
gradient_boosted_trees,58,0.7608853564372462,0.05405405405405406,0.8779623884363779,0.8128314469834418,-0.06513094145293608,-0.044001180377369664,-0.01712461550093898,0.014285714285714277,0.06127121031162819,-0.014671814671814776,35,2
gradient_boosted_trees,59,0.7948622101127689,0.014457831325301205,0.8659752201109989,0.8685530091882028,0.0025777890772038514,-0.005691910551854029,-0.002620314439146121,-0.0022004889975550113,0.007879903335244132,-0.0016024980116062792,409,6
gradient_boosted_trees,60,0.7856228581289088,0.02336448598130841,0.8951998855297902,0.8926194827917171,-0.00258040273807314,-0.002156341656793792,-0.0016656273725240561,-0.0019138755980861316,0.003758601494025182,3.353753968626805e-05,418,10
gradient_boosted_trees,61,0.6500898725413038,0.14662273476112025,0.9072897393770725,0.9170265780545503,0.009736838677477877,0.0237164271459136,-0.03489742378399248,-0.007335907335907346,-0.03316211266083635,0.02279073613505256,518,89
gradient_boosted_trees,62,0.7892089122513605,0.01904761904761905,0.9286834577279557,0.9389842779740003,0.010300820246044617,-0.0076347430022059015,0.0014447252495844443,-0.0004854368932038916,-0.002294281347617,-0.004576976421636569,412,8
gradient_boosted_trees,63,0.7600991122325688,0.05154639175257732,0.8994310602100041,0.8843029531025128,-0.01512810710749124,-0.011749306484011512,-0.003234637204327123,-0.013043478260869573,0.014353290981577782,-0.0003361721201251555,184,10
gradient_boosted_trees,65,0.7657715384469519,0.018518518518518517,0.9391676739785558,0.9449623591090863,0.005794685130530497,0.005837466452381257,0.0010413603383125358,0.013207547169811318,-0.010837369518969853,0.0013976240391335715,53,1
mlp,58,0.7430167339588338,0.02702702702702703,0.8779623884363779,0.8039340845421048,-0.07402830389427306,0.005320173630144254,-0.013107636028643635,0.0111111111111111,0.03897301662110819,0.006756756756756577,36,1
mlp,59,0.7439576385913964,0.033734939759036145,0.8659752201109989,0.8706605687226521,0.004685348611653151,-0.019443069669939916,-0.0010894252545298466,-0.0002493765586034924,-0.00017183697415723564,-0.009632545143166027,401,14
mlp,60,0.7346109302999337,0.05841121495327103,0.8951998855297902,0.8869309910221979,-0.008268894507592384,-0.013868326667003217,-0.007724940083515028,-0.0007444168734491302,0.0009641549063170718,-0.00611650935738961,403,25
mlp,61,0.7269354037879808,0.06589785831960461,0.9072897393770725,0.897832682550057,-0.009457056827015475,0.018177006342470214,-0.006835703301531201,-0.001234567901234579,-0.001267246278495504,0.013400393411376665,567,40
mlp,62,0.7434243274540491,0.04047619047619048,0.9286834577279557,0.935659609364414,0.006976151636458261,-0.005105239198578637,-0.0013427296893112894,-0.008188585607940446,-0.00563007312225694,-0.0012584190003543938,403,17
mlp,63,0.7388682746367874,0.061855670103092786,0.8994310602100041,0.8784038185649496,-0.02102724164505443,-0.011834150682371813,-0.01654927581789592,-0.023076923076923078,-0.0034594290796881033,0.0028888637136059714,182,12
mlp,65,0.7420338603536866,0.05555555555555555,0.9391676739785558,0.9259149251598586,-0.013252748818697202,0.018811509688832828,0.028095623896324723,0.017647058823529405,0.022204832884305636,0.004357298474945814,51,3
cnn_1d,58,0.36883022934198373,0.02702702702702703,0.8779623884363779,0.8039340845421048,-0.07402830389427306,0.005320173630144254,-0.013107636028643635,0.0111111111111111,0.03897301662110819,0.006756756756756577,36,1
cnn_1d,59,0.3734528824687003,0.043373493975903614,0.8659752201109989,0.8711106998157221,0.005135479704723167,-0.019516548462715555,-0.013956143475156363,-0.004282115869017639,0.016391840324710527,-0.007471700403629544,397,18
cnn_1d,60,0.33718644380569446,0.09345794392523364,0.8951998855297902,0.9019054310425139,0.006705545512723621,-0.043544776197773416,0.019728565963746586,0.003092783505154628,0.008578320971818654,-0.028205992870218743,388,40
cnn_1d,61,0.41560857146978347,0.0214168039538715,0.9072897393770725,0.9133879010404595,0.006098161663387058,-0.019812138237034205,-0.003528018384262338,-0.0040404040404040525,-0.003118131480508879,-0.008805795461479082,594,13
cnn_1d,62,0.3668175309896468,0.05,0.9286834577279557,0.939650900634469,0.010967442906513303,-0.03541590244549919,0.004475534390828623,-0.004761904761904773,-0.001146742000615708,-0.01867167919799506,399,21
cnn_1d,63,0.35637158155441284,0.07731958762886598,0.8994310602100041,0.8984788563637341,-0.0009522038462699278,-0.0584003647438589,-0.005289660195550772,-0.02178770949720671,0.006404121033936505,-0.025658008408684818,179,15
cnn_1d,65,0.3691488802433014,0.018518518518518517,0.9391676739785558,0.9449623591090863,0.005794685130530497,0.005837466452381257,0.0010413603383125358,0.013207547169811318,-0.010837369518969853,0.0013976240391335715,53,1
residual_tcn_fusion,58,0.6914527475833888,0.02702702702702703,0.8779623884363779,0.8039340845421048,-0.07402830389427306,0.005320173630144254,-0.013107636028643635,0.0111111111111111,0.03897301662110819,0.006756756756756577,36,1
residual_tcn_fusion,59,0.6662237495183945,0.060240963855421686,0.8659752201109989,0.8709610302217632,0.004985810110764266,-0.002653638020737148,-0.017930071538559855,-0.007692307692307693,0.014768001193076863,0.0015446400988570197,390,25
residual_tcn_fusion,60,0.696383804082869,0.04439252336448598,0.8951998855297902,0.8872539748665257,-0.007945910663264555,-0.013586186254649135,-0.0021646813446340035,-0.0022004889975550113,0.0038200763903317725,-0.005558348376482503,409,19
residual_tcn_fusion,61,0.7083214581012706,0.044481054365733116,0.9072897393770725,0.9094773739733608,0.002187634596288346,-0.0015689236976434984,-0.009271197587066904,-0.010344827586206903,0.005944373277845694,0.0031528716696018755,580,27
residual_tcn_fusion,62,0.7414859175682067,0.02619047619047619,0.9286834577279557,0.9113421686745571,-0.0173412890533986,-0.005775393078811142,-0.007459256828351857,-0.009535452322738391,-0.0008051654192733348,-0.00022703457911266156,409,11
residual_tcn_fusion,63,0.6115986108779907,0.13402061855670103,0.8994310602100041,0.9049370543603368,0.005505994150332705,-0.04482881394856708,-0.012908351959004777,-0.010714285714285718,-0.016315949751500636,-0.02000490918016684,168,26
residual_tcn_fusion,65,0.6795478463172913,0.05555555555555555,0.9391676739785558,0.9259149251598586,-0.013252748818697202,0.011134646768684142,-0.00038742141035987,0.017647058823529405,0.014179402916520756,0.004357298474945814,51,3
