method,mode,clean_acceptance_mean,false_positive_rate_mean,injected_rejection_mean,runs
mlp,fixed_clean_efficiency,0.9510059348294604,0.04899406517053966,0.623795235075636,7
gradient_boosted_trees,fixed_clean_efficiency,0.9531983377942145,0.046801662205785535,0.5948694781733593,7
random_forest_s07h,fixed_clean_efficiency,0.9479373761741993,0.05206262382580075,0.4972367278462734,7
residual_tcn_fusion,fixed_clean_efficiency,0.9440131115835142,0.0559868884164858,0.4250156710985687,7
ridge_logistic,fixed_clean_efficiency,0.9526634529075257,0.0473365470924743,0.389498160618102,7
cnn_1d,fixed_clean_efficiency,0.9526980892815116,0.04730191071848861,0.28341845951137346,7
traditional timing/template reference,fixed_clean_efficiency,0.9171180953025792,0.08288190469742082,0.10860413571055896,7
transparent P02 morphology,fixed_clean_efficiency,0.9565514255569763,0.04344857444302381,0.03833817060801629,7
mlp,fixed_false_positive_rate,0.9510059348294604,0.04899406517053966,0.623795235075636,7
gradient_boosted_trees,fixed_false_positive_rate,0.9531983377942145,0.046801662205785535,0.5948694781733593,7
random_forest_s07h,fixed_false_positive_rate,0.9479373761741993,0.05206262382580075,0.4972367278462734,7
residual_tcn_fusion,fixed_false_positive_rate,0.9440131115835142,0.0559868884164858,0.4250156710985687,7
ridge_logistic,fixed_false_positive_rate,0.9526634529075257,0.0473365470924743,0.389498160618102,7
cnn_1d,fixed_false_positive_rate,0.9526980892815116,0.04730191071848861,0.28341845951137346,7
traditional timing/template reference,fixed_false_positive_rate,0.9171180953025792,0.08288190469742082,0.10860413571055896,7
transparent P02 morphology,fixed_false_positive_rate,0.9565514255569763,0.04344857444302381,0.03833817060801629,7
