run,current_group,subtype_true,n
44,high_20nA,early_sample_offset,21
44,high_20nA,pretrigger_slope,6
44,high_20nA,rising_edge_distortion,6
44,high_20nA,tail_recovery_dropout,1
45,high_20nA,early_sample_offset,252
45,high_20nA,peak_phase_late,4
45,high_20nA,pretrigger_slope,63
45,high_20nA,rising_edge_distortion,68
45,high_20nA,tail_recovery_dropout,6
47,low_2nA,early_sample_offset,17
47,low_2nA,pretrigger_slope,4
47,low_2nA,rising_edge_distortion,4
47,low_2nA,tail_recovery_dropout,2
48,high_20nA,early_sample_offset,126
48,high_20nA,nominal_baseline_excursion,1
48,high_20nA,peak_phase_late,1
48,high_20nA,pretrigger_slope,25
48,high_20nA,rising_edge_distortion,43
48,high_20nA,tail_recovery_dropout,5
49,high_20nA,early_sample_offset,139
49,high_20nA,peak_phase_late,2
49,high_20nA,pretrigger_slope,36
49,high_20nA,rising_edge_distortion,51
49,high_20nA,tail_recovery_dropout,8
50,high_20nA,early_sample_offset,57
50,high_20nA,peak_phase_late,2
50,high_20nA,pretrigger_slope,13
50,high_20nA,rising_edge_distortion,20
50,high_20nA,tail_recovery_dropout,5
51,high_20nA,early_sample_offset,48
51,high_20nA,pretrigger_slope,9
51,high_20nA,rising_edge_distortion,15
51,high_20nA,tail_recovery_dropout,1
52,high_20nA,early_sample_offset,15
52,high_20nA,pretrigger_slope,4
52,high_20nA,rising_edge_distortion,13
52,high_20nA,tail_recovery_dropout,1
53,high_20nA,early_sample_offset,56
53,high_20nA,nominal_baseline_excursion,1
53,high_20nA,pretrigger_slope,7
53,high_20nA,rising_edge_distortion,11
54,high_20nA,early_sample_offset,37
54,high_20nA,peak_phase_late,1
54,high_20nA,pretrigger_slope,8
54,high_20nA,rising_edge_distortion,6
55,high_20nA,early_sample_offset,52
55,high_20nA,pretrigger_slope,10
55,high_20nA,rising_edge_distortion,12
55,high_20nA,tail_recovery_dropout,3
56,high_20nA,early_sample_offset,66
56,high_20nA,peak_phase_late,2
56,high_20nA,pretrigger_slope,9
56,high_20nA,rising_edge_distortion,20
56,high_20nA,tail_recovery_dropout,3
57,high_20nA,early_sample_offset,106
57,high_20nA,nominal_baseline_excursion,1
57,high_20nA,peak_phase_late,1
57,high_20nA,pretrigger_slope,30
57,high_20nA,rising_edge_distortion,31
57,high_20nA,tail_recovery_dropout,10
