population,current_group,match_topology,n,secondary_fraction,timing_tail_fraction,median_dynamic_amp_adc
dynamic_baseline_excursion,high_20nA,p02_latent_c00,14673,6.815238874122537e-05,0.12281060451168814,2667.0
dynamic_baseline_excursion,high_20nA,p02_latent_c05,412,0.0,0.009708737864077669,5092.0
dynamic_baseline_excursion,low_2nA,p02_latent_c00,68,0.0,0.04411764705882353,2830.5
dynamic_baseline_excursion,high_20nA,p02_latent_c01,31,0.0,0.0967741935483871,1481.0
dynamic_baseline_excursion,high_20nA,p02_latent_c07,13,0.0,0.0,1130.0
dynamic_baseline_excursion,high_20nA,p02_latent_c03,12,0.0,0.16666666666666666,1330.0
dynamic_baseline_excursion,high_20nA,p02_latent_c06,6,0.0,0.0,1038.5
dynamic_baseline_excursion,low_2nA,p02_latent_c05,4,0.0,0.0,5664.0
dynamic_baseline_excursion,high_20nA,p02_latent_c04,1,0.0,1.0,1691.0
matched_s00_control,high_20nA,p02_latent_c00,14673,0.03250868942956451,0.1828528589927077,2757.0
matched_s00_control,high_20nA,p02_latent_c05,412,0.0,0.009708737864077669,6574.5
matched_s00_control,low_2nA,p02_latent_c00,68,0.058823529411764705,0.04411764705882353,2890.5
matched_s00_control,high_20nA,p02_latent_c01,31,0.0,0.0967741935483871,1468.0
matched_s00_control,high_20nA,p02_latent_c07,13,0.0,0.0,1321.0
matched_s00_control,high_20nA,p02_latent_c03,12,0.0,0.16666666666666666,1350.5
matched_s00_control,high_20nA,p02_latent_c06,6,0.0,0.0,1421.0
matched_s00_control,low_2nA,p02_latent_c05,4,0.0,0.0,6745.0
matched_s00_control,high_20nA,p02_latent_c04,1,0.0,1.0,1832.0
