feature,extra_trees_importance,permutation_mae_increase_ns,permutation_mae_increase_ci_low,permutation_mae_increase_ci_high
clipped_sample_count,0.027900014481485984,0.049660753977679266,0.04013976212091391,0.05799065378340447
run,0.09139357057353066,0.0423214086288477,0.031563096546618846,0.053835923583875366
post_peak_frac,0.04432005530510565,0.03591990611197482,0.029136885099369132,0.041611651318032204
subsample_phase,0.08662649320801834,0.03271108404036422,0.0263720239564234,0.03848065888738876
saturation_margin_adc,0.10895451572965725,0.02736462045366135,0.0219406988417232,0.03395793434066723
reconstructed_energy_proxy,0.10272317202379555,0.021617233014836538,0.016332022528912832,0.02640127322747383
area_norm,0.13999133924539173,0.012419193003197982,0.006914320086756761,0.018036581303191628
haar_d4_energy,0.08976248020470524,0.01199228132684523,0.004507755861473286,0.016862987110125707
phase_space_loop_area,0.07647597116477445,0.009501337456107432,0.004590617781847531,0.014644294088683119
pid_proxy_low_dE_proxy,0.017487752341111246,0.008944762786934405,0.005027499253094592,0.014318380870670399
haar_d2_energy,0.06162883459319601,0.008141745771617673,0.004663294712993158,0.011018871890390759
haar_d1_energy,0.11060788774181948,0.007679139292121735,0.003191570177572939,0.011781310866168258
pileup_spacing_proxy_ns,0.00975136403737161,0.00690731130086528,0.0032905058238737713,0.009582626118097869
pid_proxy_mid_dE_proxy,0.010898995806198778,0.005147121072955734,0.0021009540423093083,0.008201634133753143
pid_proxy_high_dE_proxy,0.02147755354383806,0.0007915691838327835,-0.001957159962955782,0.0037922734411981406
pedestal_state_adc,0.0,-5.551115123125783e-17,-2.220446049250313e-16,0.0
pid_proxy_nan,0.0,-6.29126380620922e-17,-2.220446049250313e-16,0.0
