target_column,n_runs,total_positive,max_positive_in_run,runs_passing_100_positive_gate
in_prior_gallery,14,474,238,1
artifact_reviewer_shape,14,563,235,1
artifact_like_blinded,14,563,235,1
artifact_like,14,443,221,1
shape_artifact_strong,14,443,221,1
artifact_reviewer_external,14,443,221,1
trad_failed,14,567,217,1
mlp__accepted,14,537,177,1
gradient_boosted_trees__accepted,14,310,32,0
consensus_abstention_ensemble__accepted,14,325,32,0
reviewer_external_or_fit,14,46,25,0
downstream,14,57,22,0
ambiguous_blinded,14,55,20,0
traditional_template_fit__accepted,14,27,19,0
two_pulse_like,14,31,17,0
cnn_1d_dual_head__accepted,14,25,16,0
ridge_linear__accepted,14,99,14,0
reviewer_bounded_topology,14,20,13,0
reviewer_shape_blind,14,43,11,0
two_pulse_like_blinded,14,19,10,0
