method,run,n,positives,roc_auc,average_precision,f1
1d_cnn,44,27,7,0.7142857142857143,0.43183940242763774,0.0
1d_cnn,45,90,27,0.3439153439153439,0.2288497154270741,0.0
1d_cnn,48,90,28,0.6117511520737328,0.3552087702318954,0.0
1d_cnn,49,90,21,0.46238785369220153,0.2291371793429537,0.0
1d_cnn,50,90,9,0.5637860082304527,0.19516689305812504,0.0
1d_cnn,51,90,13,0.7302697302697303,0.23554263955362267,0.0
1d_cnn,52,59,11,0.8068181818181819,0.48796258554549266,0.0
1d_cnn,53,90,7,0.8399311531841653,0.32683624174307396,0.0
1d_cnn,54,90,8,0.8658536585365854,0.2684597104391996,0.0
1d_cnn,55,90,13,0.7502497502497503,0.2777843029172619,0.0
1d_cnn,56,90,7,0.8640275387263339,0.4609966793735038,0.0
1d_cnn,57,90,27,0.40270429159318044,0.27152812378469804,0.0
consensus_abstention_ensemble_new,44,27,7,0.7357142857142858,0.46008812615955474,0.0
consensus_abstention_ensemble_new,45,90,27,0.649617871840094,0.4272211809060285,0.38095238095238093
consensus_abstention_ensemble_new,48,90,28,0.6428571428571428,0.39136869704759547,0.14285714285714285
consensus_abstention_ensemble_new,49,90,21,0.6770186335403726,0.3501732743214567,0.25806451612903225
consensus_abstention_ensemble_new,50,90,9,0.8257887517146776,0.30387072053738723,0.30769230769230765
consensus_abstention_ensemble_new,51,90,13,0.8741258741258742,0.48756715162199904,0.3157894736842105
consensus_abstention_ensemble_new,52,59,11,0.740530303030303,0.5231621408894136,0.33333333333333326
consensus_abstention_ensemble_new,53,90,7,0.8399311531841651,0.3589174800354924,0.39999999999999997
consensus_abstention_ensemble_new,54,90,8,0.8292682926829269,0.30507892761182237,0.26666666666666666
consensus_abstention_ensemble_new,55,90,13,0.6923076923076924,0.4099635307310737,0.3157894736842105
consensus_abstention_ensemble_new,56,90,7,0.9225473321858864,0.4719173683459397,0.2
consensus_abstention_ensemble_new,57,90,27,0.5584950029394473,0.4207104642039873,0.0
gradient_boosted_trees,44,27,7,0.6357142857142857,0.380746237889095,0.4117647058823529
gradient_boosted_trees,45,90,27,0.8659611992945326,0.6501676141987806,0.4615384615384615
gradient_boosted_trees,48,90,28,0.7235023041474655,0.5109995199513278,0.4745762711864407
gradient_boosted_trees,49,90,21,0.7060041407867494,0.4194654921827377,0.37837837837837834
gradient_boosted_trees,50,90,9,0.8436213991769547,0.3301603841610167,0.18181818181818182
gradient_boosted_trees,51,90,13,0.8901098901098902,0.46263551989919816,0.2524271844660194
gradient_boosted_trees,52,59,11,0.7821969696969697,0.5166693291693292,0.3142857142857143
gradient_boosted_trees,53,90,7,0.7848537005163511,0.4318036354326677,0.2857142857142857
gradient_boosted_trees,54,90,8,0.8536585365853658,0.5262896825396826,0.163265306122449
gradient_boosted_trees,55,90,13,0.5559440559440558,0.2835226622436104,0.2524271844660194
gradient_boosted_trees,56,90,7,0.7728055077452668,0.2185760591862163,0.0
gradient_boosted_trees,57,90,27,0.6504997060552616,0.5214014817590186,0.425531914893617
mlp,44,27,7,0.5357142857142856,0.35309558166701016,0.4117647058823529
mlp,45,90,27,0.5490887713109935,0.30440837768321993,0.4615384615384615
mlp,48,90,28,0.4435483870967742,0.41590846989891916,0.4745762711864407
mlp,49,90,21,0.6728778467908902,0.4737693375522587,0.3689320388349514
