fold,method,n_runs,n_rows,q_template_mse,q_template_mse_ci95,q_tail_mse,q_tail_mse_ci95
sample_i_analysis_from_sample_i_calib,calibration_amp_median,14,252266,0.04734881953664175,"[0.033032022141308966, 0.06261311071636015]",0.05541562364452923,"[0.038831229984157514, 0.07289132467571174]"
sample_i_analysis_from_sample_i_calib,ml_extra_trees_conditional,14,252266,0.0026848329482783945,"[0.001898036651187874, 0.0034635990881111884]",0.0029685300229413984,"[0.002101335481620436, 0.003850932618869831]"
sample_i_analysis_from_sample_i_calib,ml_extra_trees_no_tail,14,252266,0.002847257515844159,"[0.0020270079021392213, 0.003627660479304247]",0.0031743499274084304,"[0.002260767974367966, 0.004030528938472531]"
sample_i_analysis_from_sample_i_calib,ml_extra_trees_no_tail_shuffled,14,252266,0.0626835491895125,"[0.044615686507533, 0.08160876545372625]",0.07548484611252623,"[0.054275102747031984, 0.0976481283020837]"
sample_i_analysis_from_sample_i_calib,ml_extra_trees_shuffled,14,252266,0.0635321529608003,"[0.045286184703872384, 0.08289635240615895]",0.07644326391281497,"[0.055126732621145105, 0.09922260678268942]"
sample_i_analysis_from_sample_i_calib,traditional_shape_handle_median,14,252266,0.023548326245870617,"[0.016952550308694386, 0.03050536093016061]",0.02813929787742331,"[0.02043784267775386, 0.03620011172218669]"
sample_ii_analysis_from_run64_calib,calibration_amp_median,7,125096,0.03831888120554976,"[0.028232631965910967, 0.04489375276480483]",0.04300879146010864,"[0.03219784711790909, 0.04996314934508866]"
sample_ii_analysis_from_run64_calib,ml_extra_trees_conditional,7,125096,0.0031204266207593982,"[0.0024428564009729174, 0.0037125819862702395]",0.0034962510813037707,"[0.0027859033784795, 0.004099562730373168]"
sample_ii_analysis_from_run64_calib,ml_extra_trees_no_tail,7,125096,0.003259507625624465,"[0.0025516901490276506, 0.0038759232635107096]",0.003697186061065985,"[0.0029399988718851336, 0.004354219626213057]"
sample_ii_analysis_from_run64_calib,ml_extra_trees_no_tail_shuffled,7,125096,0.055172001915263946,"[0.04381591387746077, 0.06348431591095242]",0.06565559817013811,"[0.05341488610627447, 0.07475322034911472]"
sample_ii_analysis_from_run64_calib,ml_extra_trees_shuffled,7,125096,0.05432330619273958,"[0.043202446265752384, 0.062100498839000394]",0.06468291069683747,"[0.05258948793929841, 0.07324927050314782]"
sample_ii_analysis_from_run64_calib,traditional_shape_handle_median,7,125096,0.023813189393531473,"[0.018251738493677717, 0.027684502472002867]",0.027592103146981867,"[0.021467111893018927, 0.03175097113833573]"
