fold,comparison,metric,delta,delta_ci95
sample_i_analysis_from_sample_i_calib,ml_extra_trees_conditional minus calibration_amp_median,q_template_mse,-0.04466398658836334,"[-0.059316884232280945, -0.03078362488138345]"
sample_i_analysis_from_sample_i_calib,ml_extra_trees_conditional minus calibration_amp_median,q_tail_mse,-0.05244709362158783,"[-0.06937982091151929, -0.03649522545898295]"
sample_i_analysis_from_sample_i_calib,ml_extra_trees_no_tail minus calibration_amp_median,q_template_mse,-0.04450156202079759,"[-0.05970895760509836, -0.031536981244099205]"
sample_i_analysis_from_sample_i_calib,ml_extra_trees_no_tail minus calibration_amp_median,q_tail_mse,-0.052241273717120805,"[-0.06833326436035464, -0.03682390375458099]"
sample_i_analysis_from_sample_i_calib,ml_extra_trees_no_tail_shuffled minus calibration_amp_median,q_template_mse,0.015334729652870752,"[0.011441014808082864, 0.019339773384404763]"
sample_i_analysis_from_sample_i_calib,ml_extra_trees_no_tail_shuffled minus calibration_amp_median,q_tail_mse,0.020069222467996996,"[0.0152947318398122, 0.025137341770193854]"
sample_i_analysis_from_sample_i_calib,ml_extra_trees_shuffled minus calibration_amp_median,q_template_mse,0.016183333424158543,"[0.012117029425003766, 0.02025249543285298]"
sample_i_analysis_from_sample_i_calib,ml_extra_trees_shuffled minus calibration_amp_median,q_tail_mse,0.02102764026828573,"[0.015986561433899166, 0.026552163489070513]"
sample_i_analysis_from_sample_i_calib,traditional_shape_handle_median minus calibration_amp_median,q_template_mse,-0.023800493290771125,"[-0.031693323952383716, -0.01624167957405303]"
sample_i_analysis_from_sample_i_calib,traditional_shape_handle_median minus calibration_amp_median,q_tail_mse,-0.027276325767105914,"[-0.03648213239506299, -0.018087722355057616]"
sample_ii_analysis_from_run64_calib,ml_extra_trees_conditional minus calibration_amp_median,q_template_mse,-0.035198454584790366,"[-0.041459020559875624, -0.025981858553120293]"
sample_ii_analysis_from_run64_calib,ml_extra_trees_conditional minus calibration_amp_median,q_tail_mse,-0.03951254037880486,"[-0.046213144042019275, -0.029646590417341506]"
sample_ii_analysis_from_run64_calib,ml_extra_trees_no_tail minus calibration_amp_median,q_template_mse,-0.03505937357992529,"[-0.04127530432127935, -0.025680782120030134]"
sample_ii_analysis_from_run64_calib,ml_extra_trees_no_tail minus calibration_amp_median,q_tail_mse,-0.03931160539904265,"[-0.04582133024815663, -0.029348138353844973]"
sample_ii_analysis_from_run64_calib,ml_extra_trees_no_tail_shuffled minus calibration_amp_median,q_template_mse,0.016853120709714182,"[0.015067003030418432, 0.01851518187904313]"
sample_ii_analysis_from_run64_calib,ml_extra_trees_no_tail_shuffled minus calibration_amp_median,q_tail_mse,0.022646806710029468,"[0.02047005792073888, 0.024716945785493286]"
sample_ii_analysis_from_run64_calib,ml_extra_trees_shuffled minus calibration_amp_median,q_template_mse,0.016004424987189826,"[0.014651368471866905, 0.017305375658897237]"
sample_ii_analysis_from_run64_calib,ml_extra_trees_shuffled minus calibration_amp_median,q_tail_mse,0.02167411923672884,"[0.019774915007178925, 0.02340919542342839]"
sample_ii_analysis_from_run64_calib,traditional_shape_handle_median minus calibration_amp_median,q_template_mse,-0.014505691812018282,"[-0.017796778032648904, -0.010274931134484145]"
sample_ii_analysis_from_run64_calib,traditional_shape_handle_median minus calibration_amp_median,q_tail_mse,-0.015416688313126767,"[-0.018786617632887102, -0.0106127732447316]"
