method,run,n,positives,roc_auc,average_precision
1d_cnn,58,2590,661,0.6958643022456039,0.4687612168604218
1d_cnn,59,5719,3506,0.6487485529293401,0.7105220062681025
1d_cnn,60,5727,3820,0.6959627934559092,0.794749396884572
1d_cnn,61,5859,3936,0.7110186541608006,0.8016213892947159
1d_cnn,62,5729,3716,0.6881510761321592,0.7773555958357871
1d_cnn,63,4806,2437,0.6441855224428932,0.6290385363922029
1d_cnn,65,2870,769,0.6437593343686114,0.39606258415442663
atom_gated_cnn_new,58,2590,661,0.9999537279943281,0.999866639725566
atom_gated_cnn_new,59,5719,3506,0.9997856621235973,0.9998656322349516
atom_gated_cnn_new,60,5727,3820,0.9998960841430168,0.999948314060408
atom_gated_cnn_new,61,5859,3936,0.9998836030677,0.9999428916331417
atom_gated_cnn_new,62,5729,3716,0.9998858335779757,0.9999379379102354
atom_gated_cnn_new,63,4806,2437,0.9998318105927456,0.999835751006203
atom_gated_cnn_new,65,2870,769,0.9999393440116756,0.9998359307692113
gradient_boosted_trees,58,2590,661,0.9999623549784364,0.999890216323687
gradient_boosted_trees,59,5719,3506,0.9995345916586349,0.9997099298308585
gradient_boosted_trees,60,5727,3820,0.9998240843187266,0.999912790507252
gradient_boosted_trees,61,5859,3936,0.9998487896832946,0.999926385751943
gradient_boosted_trees,62,5729,3716,0.9996768181203234,0.9998266229155343
gradient_boosted_trees,63,4806,2437,0.9996474258100243,0.9996701953019662
gradient_boosted_trees,65,2870,769,0.9998505263144865,0.9996014604060072
mlp,58,2590,661,0.9999537279943281,0.999869162383735
mlp,59,5719,3506,0.9997686491352118,0.9998548633371461
mlp,60,5727,3820,0.9998900441196255,0.9999454858080254
mlp,61,5859,3936,0.9999073845067624,0.9999549925344571
mlp,62,5729,3716,0.9999029451728458,0.9999477401839205
mlp,63,4806,2437,0.9998072144075446,0.9998159705824218
mlp,65,2870,769,0.9998613577409728,0.9996256537307172
q_token_attention,58,2590,661,0.6548798535608661,0.3648243795098166
q_token_attention,59,5719,3506,0.40379554615430413,0.5265130772510381
q_token_attention,60,5727,3820,0.3955500814030425,0.5776628408525206
q_token_attention,61,5859,3936,0.4227249882678234,0.5926437326649268
q_token_attention,62,5729,3716,0.4072578294904434,0.5650677989842283
q_token_attention,63,4806,2437,0.4779236246878493,0.47258733334651426
q_token_attention,65,2870,769,0.49368280260375114,0.2571566055200615
ridge,58,2590,661,0.9935650541264824,0.9836130432374071
ridge,59,5719,3506,0.9825275320417726,0.9897803733831483
ridge,60,5727,3820,0.9831501192904621,0.9917676521910522
ridge,61,5859,3936,0.9842778263976087,0.9924871145700267
ridge,62,5729,3716,0.9817752156729376,0.9905027141831327
ridge,63,4806,2437,0.982451487921974,0.9844996472670806
ridge,65,2870,769,0.9835554188388834,0.962232788053123
traditional_atom_table,58,2590,661,0.9420403915395952,0.8420023116049543
traditional_atom_table,59,5719,3506,0.8773558800110016,0.9182313519397445
traditional_atom_table,60,5727,3820,0.8900877038851078,0.943212479621242
traditional_atom_table,61,5859,3936,0.8878966083440085,0.9426017062881229
traditional_atom_table,62,5729,3716,0.8796365069459707,0.9297323278497401
traditional_atom_table,63,4806,2437,0.8807011402410391,0.8745687303775644
traditional_atom_table,65,2870,769,0.9031494074590772,0.7684323017259457
traditional_charge_depth_rule,58,2590,661,1.0,0.9999999999999999
traditional_charge_depth_rule,59,5719,3506,1.0,1.0
traditional_charge_depth_rule,60,5727,3820,1.0,1.0
traditional_charge_depth_rule,61,5859,3936,1.0,1.0
traditional_charge_depth_rule,62,5729,3716,1.0,1.0
traditional_charge_depth_rule,63,4806,2437,1.0,1.0
traditional_charge_depth_rule,65,2870,769,1.0,0.9999999999999999
