strata_definition,metric,value,ci_low,ci_high,n_strata,bootstrap_unit,n_bootstrap
uncorrected,downstream_high_minus_low,0.006762658473460766,0.005308423385326163,0.009159721979179723,9,run_within_current_group,250
uncorrected,integral_charge_median_log_shift,0.030170483153793753,0.00814968515046079,0.038440797370723055,9,run_within_current_group,250
uncorrected,template_charge_median_log_shift,0.034639997561126394,0.012897846111800443,0.04339361547639491,9,run_within_current_group,250
uncorrected,p04_duplicate_charge_median_log_shift,0.047643517262430234,0.02462500516859147,0.058354234437416795,9,run_within_current_group,250
uncorrected,uncorrected_charge_median_log_shift,0.047643517262430234,0.020227682379141035,0.05734014584690644,9,run_within_current_group,250
p07_corrected,downstream_high_minus_low,0.006762537116158371,0.005517313890700701,0.009254501704477437,9,run_within_current_group,250
p07_corrected,integral_charge_median_log_shift,0.030170483153793753,0.007100053205726469,0.03766932781639593,9,run_within_current_group,250
p07_corrected,template_charge_median_log_shift,0.03463842803296372,0.010278693537256233,0.04209548780401624,9,run_within_current_group,250
p07_corrected,p04_duplicate_charge_median_log_shift,0.047643517262430234,0.020825821733786855,0.057463190650184924,9,run_within_current_group,250
p07_corrected,p07_corrected_charge_median_log_shift,0.047611200196448,0.02171208249480137,0.057177380816034025,9,run_within_current_group,250
