stave,run_group,event_b_n_selected,saturation_bin,q_template_bin,baseline_taxon,n,n_runs,rate_residual_median_pp,new_arch_res68_frac,support_loss
B8,sample_i_analysis,1,none,q1,wide,80,13,-0.004648384152735425,0.04758409827707647,1.0
B2,sample_i_analysis,2,low,q1,wide,80,9,0.30562851386098056,0.03981953701014369,1.0
B2,sample_ii_analysis,2,mid,q2,wide,93,6,-0.09277516160250586,0.033707112246293226,1.0
B8,sample_i_analysis,2,none,q4,wide,84,12,0.10793982449763813,0.03312932053585645,1.0
B2,sample_i_analysis,4,high,q2,wide,83,12,0.019591814048269166,0.03196881585891076,1.0
B2,sample_ii_analysis,3,high,q4,wide,88,7,-0.09277516160250586,0.02356642483042343,1.0
B6,sample_i_analysis,3,low,q4,wide,89,13,-0.004648384152735425,0.020815186166579833,1.0
B6,sample_ii_analysis,1,none,q4,wide,90,7,0.10062219382640995,0.01924054001826807,1.0
B4,sample_ii_analysis,2,low,q4,quiet,83,7,0.10141704569273743,0.016191343093638545,1.0
B2,sample_ii_analysis,4,none,q2,mid,89,6,0.10141704569273743,0.012923382922917245,1.0
B6,sample_ii_analysis,3,none,q4,quiet,92,6,-0.09277516160250586,0.01246596463561852,1.0
B4,sample_ii_analysis,2,low,q3,wide,85,7,0.10141704569273743,0.01214045448915977,1.0
B2,sample_ii_analysis,2,none,q2,mid,80,6,0.10141704569273743,0.011442412936895581,1.0
B2,sample_ii_analysis,3,none,q1,mid,84,6,0.10141704569273743,0.01097710218262048,1.0
B4,sample_ii_analysis,2,high,q3,wide,84,7,0.10141704569273743,0.008920061067017048,1.0
B2,sample_i_analysis,1,low,q2,mid,81,13,0.31935259809312094,0.006472765426201498,1.0
B2,sample_ii_analysis,3,none,q2,mid,87,7,0.10141704569273743,0.014807170320840663,0.9310344827586207
B4,sample_i_analysis,2,low,q1,wide,92,13,0.2919044296288401,0.03711984749660233,0.9130434782608695
B8,sample_ii_analysis,4,high,q4,wide,89,7,0.10141704569273743,0.015596637405068467,0.9101123595505618
