stave,run_group,event_b_n_selected,saturation_bin,q_template_bin,baseline_taxon,n,n_runs,rate_residual_median_pp,new_arch_res68_frac,support_loss
B2,sample_ii_analysis,2,mid,q3,wide,94,7,0.10062219382640995,0.017454983936562255,0.8829787234042553
B8,sample_ii_analysis,4,none,q4,quiet,91,6,0.10062219382640995,0.0183618174642175,0.8791208791208791
B2,sample_i_analysis,1,low,q3,quiet,107,14,-0.004648384152735425,0.009351847583879736,0.822429906542056
B2,sample_i_analysis,4,none,q4,wide,92,12,0.10793982449763813,0.02368488438989967,0.7934782608695652
B6,sample_ii_analysis,4,none,q2,wide,93,6,0.10141704569273743,0.013829309968845719,0.7634408602150538
B2,sample_ii_analysis,2,low,q3,wide,95,7,-0.09277516160250586,0.012391000439098684,0.7263157894736842
B2,sample_ii_analysis,3,low,q4,wide,107,7,0.10141704569273743,0.02216093645421754,0.7102803738317757
B4,sample_ii_analysis,2,mid,q2,wide,107,7,0.10141704569273743,0.02959712818161567,0.6915887850467289
B2,sample_i_analysis,4,none,q1,wide,108,13,0.2919044296288401,0.07358812650565215,0.6666666666666666
B4,sample_ii_analysis,4,none,q4,quiet,113,7,0.10141704569273743,0.01949517019427168,0.6548672566371682
B8,sample_ii_analysis,1,none,q1,wide,106,7,0.10141704569273743,0.14440023486181633,0.6415094339622641
B4,sample_ii_analysis,1,none,q4,wide,107,7,0.10141704569273743,0.02653200634631259,0.6261682242990654
B4,sample_i_analysis,2,high,q4,wide,104,12,0.2919044296288401,0.03303456348782121,0.625
B6,sample_ii_analysis,2,none,q4,wide,102,7,0.10141704569273743,0.020552050586257347,0.6078431372549019
B8,sample_i_analysis,4,none,q1,wide,106,14,0.2919044296288401,0.044862869404709155,0.5566037735849056
B4,sample_ii_analysis,2,mid,q3,wide,106,7,0.10141704569273743,0.010381576737914016,0.5283018867924528
B2,sample_ii_analysis,2,low,q2,wide,99,7,0.10141704569273743,0.012037460847449255,0.5151515151515151
B6,sample_i_analysis,4,none,q4,mid,105,13,0.019591814048269166,0.02666611193694851,0.5142857142857142
B6,sample_ii_analysis,3,mid,q4,mid,138,7,0.10141704569273743,0.010338634811239035,0.5
B4,sample_ii_analysis,4,none,q2,mid,101,7,0.10141704569273743,0.021053679434889214,0.46534653465346537
B6,sample_ii_analysis,3,none,q2,wide,121,7,-0.09277516160250586,0.013243167470304051,0.4628099173553719
B2,sample_ii_analysis,2,mid,q1,wide,145,7,-0.09277516160250586,0.0835584885929983,0.46206896551724136
B2,sample_i_analysis,3,high,q4,wide,102,13,0.00747171494776687,0.033118254621425224,0.46078431372549017
B8,sample_ii_analysis,3,none,q1,wide,117,7,-0.09277516160250586,0.11655048872917101,0.452991452991453
B8,sample_ii_analysis,2,none,q1,wide,125,7,0.10141704569273743,0.12768213062009828,0.448
B2,sample_i_analysis,1,low,q4,quiet,216,14,0.30562851386098056,0.010457303969731895,0.41203703703703703
B2,sample_i_analysis,1,none,q4,quiet,240,14,0.2919044296288401,0.013032489151227082,0.4
B4,sample_i_analysis,1,none,q1,wide,235,13,0.019591814048269166,0.03383569763990049,0.39574468085106385
B2,sample_i_analysis,2,low,q4,wide,130,13,0.019591814048269166,0.0291434773088251,0.38461538461538464
B6,sample_ii_analysis,3,low,q1,wide,122,7,0.10141704569273743,0.03913463322716274,0.3770491803278688
B2,sample_i_analysis,1,low,q4,mid,1244,14,0.10793982449763813,0.010112069171570351,0.37057877813504825
B2,sample_i_analysis,1,low,q1,wide,1819,14,0.10793982449763813,0.046058652767586306,0.3644859813084112
B2,sample_i_analysis,1,none,q3,quiet,333,14,0.2919044296288401,0.011995999792762549,0.3633633633633634
B2,sample_i_analysis,1,none,q4,wide,2291,14,0.10793982449763813,0.01561046808730367,0.36097773897861196
B2,sample_i_analysis,1,none,q1,wide,24512,14,0.10793982449763813,0.0423492635897814,0.3600277415143603
B2,sample_ii_analysis,2,high,q4,mid,114,7,0.10062219382640995,0.019473592190402067,0.35964912280701755
B2,sample_i_analysis,1,none,q4,mid,1351,14,0.2919044296288401,0.01345422401892095,0.35677276091783866
B2,sample_i_analysis,1,none,q3,mid,1770,14,0.10793982449763813,0.011507677612305976,0.3519774011299435
B2,sample_i_analysis,2,none,q4,mid,198,13,0.019591814048269166,0.027983068625814046,0.3484848484848485
B2,sample_i_analysis,1,none,q1,mid,3481,14,0.10793982449763813,0.012392704597541406,0.34616489514507326
B2,sample_i_analysis,2,none,q1,wide,677,14,0.2919044296288401,0.07971356755071335,0.34268833087149186
B2,sample_i_analysis,1,none,q2,mid,1956,14,0.10793982449763813,0.012167824286698006,0.34151329243353784
B2,sample_i_analysis,1,none,q3,wide,2954,14,0.10793982449763813,0.013372986200845432,0.34055517941773866
B2,sample_i_analysis,1,low,q4,wide,2106,14,0.019591814048269166,0.011037391756855006,0.33998100664767333
B2,sample_i_analysis,3,none,q4,wide,209,12,0.019591814048269166,0.030906081626191198,0.3397129186602871
B2,sample_i_analysis,1,none,q2,wide,3574,14,0.10793982449763813,0.013385039702233283,0.33519865696698375
B2,sample_i_analysis,3,none,q1,wide,201,13,0.019591814048269166,0.06616582242857334,0.3333333333333333
B2,sample_i_analysis,2,none,q4,wide,434,14,0.2919044296288401,0.03827700789152304,0.3294930875576037
B2,sample_i_analysis,1,none,q2,quiet,349,14,0.019591814048269166,0.011296932749971268,0.3237822349570201
B2,sample_i_analysis,1,low,q2,wide,1984,14,0.10793982449763813,0.00876227526750225,0.3225806451612903
B2,sample_i_analysis,1,mid,q1,wide,2227,14,0.10793982449763813,0.06919972235817712,0.3192635832959138
B2,sample_i_analysis,1,none,q1,quiet,525,14,0.10793982449763813,0.012573547201568322,0.30666666666666664
B2,sample_i_analysis,2,mid,q4,wide,159,13,0.2919044296288401,0.024840423486241336,0.3018867924528302
B2,sample_i_analysis,1,mid,q4,mid,2967,14,0.019591814048269166,0.00784357748979085,0.301314459049545
B6,sample_i_analysis,1,none,q1,wide,167,14,0.019591814048269166,0.03953531772875036,0.2994011976047904
B4,sample_i_analysis,4,none,q4,mid,119,13,0.019591814048269166,0.020088801003974328,0.29411764705882354
B2,sample_i_analysis,1,mid,q4,wide,4960,14,-0.004648384152735425,0.007982062878908564,0.29012096774193546
B2,sample_i_analysis,1,low,q3,wide,1505,14,0.019591814048269166,0.008888058859020918,0.28837209302325584
B4,sample_i_analysis,2,none,q1,wide,945,14,0.2919044296288401,0.06481742612268682,0.28465608465608466
B2,sample_i_analysis,3,none,q4,mid,127,13,-0.004648384152735425,0.024144253643688225,0.28346456692913385
B6,sample_i_analysis,3,none,q1,wide,294,13,0.019591814048269166,0.048144467070441635,0.282312925170068
B6,sample_i_analysis,4,none,q1,wide,167,13,0.2919044296288401,0.04074247533652994,0.281437125748503
B2,sample_i_analysis,1,mid,q2,wide,3073,14,0.10793982449763813,0.010786065956838911,0.2785551578262284
B4,sample_i_analysis,2,mid,q4,wide,224,12,0.2919044296288401,0.017615361638097266,0.2767857142857143
B2,sample_i_analysis,1,low,q3,mid,613,14,0.019591814048269166,0.007951039798963536,0.27569331158238175
B4,sample_i_analysis,4,none,q1,wide,192,14,0.2919044296288401,0.05130592526133027,0.2708333333333333
B4,sample_i_analysis,3,none,q1,wide,410,13,0.10793982449763813,0.0508474963132981,0.2707317073170732
B6,sample_i_analysis,2,none,q1,wide,134,12,0.2919044296288401,0.08029368155830204,0.26865671641791045
B6,sample_i_analysis,3,none,q4,wide,416,13,0.019591814048269166,0.028847745640386967,0.25240384615384615
B4,sample_i_analysis,2,low,q4,mid,132,13,0.10793982449763813,0.017230860949479794,0.25
B8,sample_i_analysis,4,none,q4,mid,114,13,0.2919044296288401,0.022354200851328616,0.24561403508771928
B4,sample_i_analysis,2,mid,q4,mid,152,14,0.019591814048269166,0.01364012494065911,0.24342105263157895
B2,sample_i_analysis,1,mid,q4,quiet,514,14,0.019591814048269166,0.007883725206194516,0.24319066147859922
B6,sample_i_analysis,4,none,q4,wide,273,13,0.019591814048269166,0.021473227596334514,0.24175824175824176
B4,sample_i_analysis,2,none,q4,wide,782,14,0.1999221270632391,0.029587553393564735,0.24168797953964194
B4,sample_i_analysis,3,none,q4,wide,457,13,0.019591814048269166,0.024435360121146003,0.24070021881838075
B2,sample_i_analysis,1,high,q4,mid,4703,14,-0.004648384152735425,0.00927336634539287,0.23814586434190943
B2,sample_i_analysis,1,high,q4,wide,8154,14,0.019591814048269166,0.011302859512938286,0.23215599705665932
B4,sample_i_analysis,2,low,q4,wide,180,12,0.2919044296288401,0.01907635093901098,0.22777777777777777
B4,sample_i_analysis,2,none,q4,mid,543,14,0.019591814048269166,0.02758665100810154,0.2265193370165746
B8,sample_i_analysis,4,none,q4,wide,168,13,0.10793982449763813,0.023349751713658495,0.2261904761904762
B2,sample_i_analysis,2,high,q1,wide,433,13,0.2919044296288401,0.07130046074322965,0.22401847575057737
B4,sample_i_analysis,4,none,q4,wide,202,13,0.10793982449763813,0.024390111888253845,0.22277227722772278
B2,sample_i_analysis,1,high,q4,quiet,774,14,-0.004648384152735425,0.008715042688832645,0.22093023255813954
B2,sample_i_analysis,1,mid,q3,mid,948,14,0.019591814048269166,0.006744248230686419,0.21729957805907174
B6,sample_i_analysis,3,none,q4,mid,243,13,0.019591814048269166,0.025910307894433597,0.2139917695473251
B4,sample_i_analysis,3,none,q4,mid,301,13,0.019591814048269166,0.02042571312996794,0.21262458471760798
B2,sample_i_analysis,2,high,q4,mid,106,12,0.019591814048269166,0.03242893058490204,0.20754716981132076
B2,sample_i_analysis,3,high,q2,wide,158,13,0.10793982449763813,0.03303140229416069,0.1962025316455696
B2,sample_i_analysis,2,high,q2,wide,447,14,0.2919044296288401,0.030189186461561802,0.19239373601789708
B2,sample_i_analysis,1,mid,q3,wide,5893,14,-0.004648384152735425,0.007759736504630006,0.18818937722721873
B2,sample_i_analysis,3,high,q3,wide,172,13,0.2919044296288401,0.03768617189648734,0.18604651162790697
B2,sample_i_analysis,1,mid,q3,quiet,133,13,0.019591814048269166,0.006371099550040504,0.17293233082706766
B2,sample_i_analysis,3,high,q1,wide,147,13,0.10793982449763813,0.07112628531826397,0.17006802721088435
B2,sample_i_analysis,2,high,q4,wide,404,13,0.10793982449763813,0.034300644398755936,0.16831683168316833
B2,sample_i_analysis,2,high,q3,wide,459,14,0.019591814048269166,0.03561231812443393,0.14596949891067537
B2,sample_i_analysis,1,high,q1,wide,19154,14,0.2919044296288401,0.014942902832168925,0.1302077894956667
B2,sample_i_analysis,1,high,q3,quiet,1939,14,-0.004648384152735425,0.009250739756578322,0.09076843733883445
B2,sample_i_analysis,1,high,q3,mid,12870,14,-0.004648384152735425,0.009310133896611263,0.08679098679098679
B2,sample_i_analysis,1,high,q3,wide,44911,14,-0.004648384152735425,0.009365106659063163,0.0799358731713834
B2,sample_i_analysis,1,high,q2,wide,61735,14,0.10793982449763813,0.011138944471850275,0.07791366323803353
B2,sample_i_analysis,1,high,q2,mid,6048,14,0.10793982449763813,0.009177493779846939,0.06101190476190476
B2,sample_i_analysis,1,high,q2,quiet,909,14,0.10793982449763813,0.009609192015083553,0.050605060506050605
B6,sample_ii_analysis,1,none,q1,wide,279,7,0.10141704569273743,0.1316447865704405,0.0
B6,sample_ii_analysis,2,none,q1,wide,275,7,-0.09277516160250586,0.10920765035493964,0.0
B2,sample_ii_analysis,2,high,q1,wide,191,7,-0.09277516160250586,0.1078108118295487,0.0
B4,sample_ii_analysis,1,none,q1,wide,154,7,0.10141704569273743,0.10674097931586608,0.0
B2,sample_ii_analysis,1,high,q1,wide,1144,7,0.003923516111952047,0.09179147437456033,0.0
B2,sample_ii_analysis,2,none,q1,wide,2911,7,0.10141704569273743,0.07671607405888668,0.0
B4,sample_ii_analysis,2,none,q1,wide,2595,7,0.10062219382640995,0.07557674712429441,0.0
B2,sample_ii_analysis,1,mid,q1,wide,938,7,0.10101961975957369,0.07520894379166888,0.0
B2,sample_ii_analysis,1,low,q1,wide,658,7,-0.09277516160250586,0.06956013855761456,0.0
B4,sample_ii_analysis,2,mid,q1,wide,152,7,0.10141704569273743,0.06578737642808918,0.0
B2,sample_ii_analysis,3,none,q1,wide,2143,7,0.10141704569273743,0.06397458351912541,0.0
B2,sample_ii_analysis,4,none,q1,wide,1288,7,0.10141704569273743,0.05986637048199834,0.0
B4,sample_ii_analysis,2,low,q1,wide,209,7,0.10141704569273743,0.058034096572536394,0.0
B4,sample_ii_analysis,3,none,q1,wide,2096,7,0.10141704569273743,0.0576063713890599,0.0
B4,sample_ii_analysis,4,none,q1,wide,1309,7,0.10141704569273743,0.05635953342337156,0.0
B8,sample_ii_analysis,4,none,q1,wide,731,7,0.10141704569273743,0.05188665596780706,0.0
B6,sample_ii_analysis,3,none,q1,wide,1619,7,0.10062219382640995,0.05147538864377598,0.0
B2,sample_ii_analysis,2,low,q1,wide,273,7,0.10141704569273743,0.04895663334465479,0.0
B2,sample_ii_analysis,1,none,q1,wide,11714,7,0.10062219382640995,0.04427313482629319,0.0
B6,sample_ii_analysis,4,none,q1,wide,1156,7,0.10141704569273743,0.038999494183681656,0.0
B2,sample_ii_analysis,2,high,q2,wide,157,7,-0.09277516160250586,0.025785030030244887,0.0
B2,sample_ii_analysis,2,high,q4,wide,233,7,0.10062219382640995,0.025325187123067965,0.0
B2,sample_ii_analysis,2,high,q3,wide,191,7,-0.09277516160250586,0.02035232633494749,0.0
B4,sample_ii_analysis,2,none,q4,wide,1893,7,0.10062219382640995,0.02011487060940706,0.0
B2,sample_ii_analysis,4,none,q2,wide,155,7,-0.09277516160250586,0.019649958436663905,0.0
B4,sample_ii_analysis,3,none,q2,wide,189,7,0.10062219382640995,0.01927881461418945,0.0
B4,sample_ii_analysis,4,none,q2,wide,155,7,0.10141704569273743,0.018851255585848138,0.0
B2,sample_ii_analysis,4,none,q4,wide,728,7,0.10141704569273743,0.018735633780556482,0.0
B2,sample_ii_analysis,2,none,q2,wide,216,7,0.10062219382640995,0.018680507440352156,0.0
B2,sample_ii_analysis,3,none,q2,wide,197,7,0.10062219382640995,0.0186532337872903,0.0
B4,sample_ii_analysis,2,none,q4,mid,1263,7,0.10062219382640995,0.01863259116789099,0.0
B8,sample_ii_analysis,4,none,q4,mid,553,7,0.10141704569273743,0.018521705427433355,0.0
B4,sample_ii_analysis,3,none,q4,wide,1762,7,0.10141704569273743,0.018468476188718896,0.0
B8,sample_ii_analysis,4,none,q4,wide,951,7,0.10141704569273743,0.018427144280077152,0.0
B4,sample_ii_analysis,4,none,q4,wide,882,7,0.10141704569273743,0.018194561512847193,0.0
B2,sample_ii_analysis,4,none,q3,wide,313,7,0.10141704569273743,0.018078846196583422,0.0
B2,sample_ii_analysis,3,none,q3,wide,389,7,-0.09277516160250586,0.018064325741015543,0.0
B2,sample_ii_analysis,2,none,q3,wide,420,7,0.10062219382640995,0.017970961914056265,0.0
B4,sample_ii_analysis,4,none,q4,mid,572,7,0.10141704569273743,0.017842947407087573,0.0
B2,sample_ii_analysis,3,none,q4,wide,1461,7,0.10141704569273743,0.01782164814339103,0.0
B4,sample_ii_analysis,2,none,q4,quiet,229,7,0.10141704569273743,0.017786206649342814,0.0
B4,sample_ii_analysis,2,none,q2,wide,195,7,0.10062219382640995,0.01766135616360859,0.0
B2,sample_ii_analysis,1,mid,q2,wide,283,7,-0.09277516160250586,0.017394295488988777,0.0
B2,sample_ii_analysis,2,none,q4,wide,1977,7,0.10141704569273743,0.017183541828900105,0.0
B4,sample_ii_analysis,2,none,q3,wide,304,7,0.10101961975957369,0.016991622492961902,0.0
B2,sample_ii_analysis,1,high,q2,wide,973,7,0.10062219382640995,0.01656545882074879,0.0
B4,sample_ii_analysis,4,none,q3,wide,303,7,0.10062219382640995,0.016536419421743664,0.0
B6,sample_ii_analysis,4,none,q3,wide,164,7,0.10141704569273743,0.016213397776042655,0.0
B4,sample_ii_analysis,3,none,q4,quiet,207,7,0.10141704569273743,0.016096479337186203,0.0
B2,sample_ii_analysis,1,none,q4,wide,3861,7,0.10062219382640995,0.016044494179881682,0.0
B2,sample_ii_analysis,2,none,q4,quiet,175,7,0.10141704569273743,0.015905121211933246,0.0
B2,sample_ii_analysis,2,none,q4,mid,1066,7,0.10141704569273743,0.015490124374271818,0.0
B4,sample_ii_analysis,3,none,q4,mid,1093,7,0.10141704569273743,0.015422176498390816,0.0
B2,sample_ii_analysis,1,none,q2,wide,4859,7,0.10062219382640995,0.01539960948291724,0.0
B6,sample_ii_analysis,4,none,q4,wide,1464,7,0.10141704569273743,0.015301475015176844,0.0
B2,sample_ii_analysis,3,none,q4,mid,772,7,0.10141704569273743,0.01515413602342527,0.0
B4,sample_ii_analysis,2,high,q4,wide,276,7,0.10141704569273743,0.015085754082194952,0.0
B4,sample_ii_analysis,2,high,q4,mid,181,7,0.10141704569273743,0.015024221821039404,0.0
B2,sample_ii_analysis,4,none,q4,mid,459,7,0.10141704569273743,0.014811224855164376,0.0
B2,sample_ii_analysis,3,none,q3,mid,176,7,0.10141704569273743,0.014806132623094968,0.0
B2,sample_ii_analysis,1,none,q4,quiet,395,7,0.10062219382640995,0.014693470101525054,0.0
B6,sample_ii_analysis,3,none,q4,wide,1915,7,-0.09277516160250586,0.014571822686550584,0.0
B2,sample_ii_analysis,1,none,q3,wide,4506,7,0.10062219382640995,0.014482163017325056,0.0
B4,sample_ii_analysis,3,none,q3,mid,222,7,0.10062219382640995,0.014470447096269507,0.0
B2,sample_ii_analysis,1,none,q4,mid,2323,7,0.10062219382640995,0.014424095584146682,0.0
B4,sample_ii_analysis,3,none,q3,wide,321,7,-0.09277516160250586,0.014123606380697807,0.0
B2,sample_ii_analysis,1,high,q3,wide,2457,7,0.10062219382640995,0.013826653030319803,0.0
B4,sample_ii_analysis,2,low,q4,wide,598,7,0.10141704569273743,0.013805291645076049,0.0
B6,sample_ii_analysis,4,none,q4,mid,629,7,0.10141704569273743,0.01378271124536556,0.0
B2,sample_ii_analysis,4,none,q3,mid,162,7,0.10141704569273743,0.013771462249699287,0.0
B8,sample_ii_analysis,4,low,q4,mid,140,7,0.10141704569273743,0.013765815420310381,0.0
B4,sample_ii_analysis,4,none,q3,mid,175,7,-0.09277516160250586,0.013712748767091455,0.0
B2,sample_ii_analysis,2,none,q3,mid,180,7,0.10141704569273743,0.013583287602208987,0.0
B4,sample_ii_analysis,2,none,q3,mid,189,7,0.10062219382640995,0.013552870281799542,0.0
B2,sample_ii_analysis,1,none,q2,mid,2902,7,0.10062219382640995,0.013511215758973006,0.0
B6,sample_ii_analysis,3,none,q4,mid,792,7,0.10062219382640995,0.013397287948410814,0.0
B2,sample_ii_analysis,2,low,q4,wide,696,7,0.10141704569273743,0.01332603388022147,0.0
B8,sample_ii_analysis,4,low,q4,wide,210,7,0.10141704569273743,0.013306437480867834,0.0
B2,sample_ii_analysis,2,mid,q4,wide,443,7,0.10141704569273743,0.01327001426028077,0.0
B6,sample_ii_analysis,3,low,q4,wide,397,7,0.10141704569273743,0.013171353701256093,0.0
B2,sample_ii_analysis,3,none,q4,quiet,142,7,0.10141704569273743,0.013064919951062348,0.0
B2,sample_ii_analysis,1,none,q1,mid,3235,7,0.10062219382640995,0.013025172153980441,0.0
B4,sample_ii_analysis,2,low,q4,mid,399,7,0.10141704569273743,0.013011360315717868,0.0
B2,sample_ii_analysis,1,none,q1,quiet,544,7,0.10062219382640995,0.012916984221825627,0.0
B2,sample_ii_analysis,1,none,q2,quiet,478,7,0.10062219382640995,0.01281799980808007,0.0
B2,sample_ii_analysis,1,none,q3,mid,2748,7,0.10062219382640995,0.012798623400726915,0.0
B2,sample_ii_analysis,1,high,q4,wide,4751,7,0.10062219382640995,0.01269838470239526,0.0
B2,sample_ii_analysis,1,none,q3,quiet,442,7,0.10062219382640995,0.01237433429695875,0.0
B6,sample_ii_analysis,3,none,q3,wide,134,7,0.10141704569273743,0.0123644219965506,0.0
B6,sample_ii_analysis,3,low,q4,mid,172,7,0.10141704569273743,0.012353173505185553,0.0
B2,sample_ii_analysis,2,low,q4,mid,416,7,0.10141704569273743,0.012280827023813215,0.0
B2,sample_ii_analysis,1,high,q4,quiet,452,7,0.10062219382640995,0.011914607555846696,0.0
B8,sample_ii_analysis,4,mid,q4,mid,157,7,0.10141704569273743,0.011794481856389642,0.0
B2,sample_ii_analysis,1,high,q4,mid,2649,7,0.10062219382640995,0.011751009813407105,0.0
B2,sample_ii_analysis,1,low,q4,quiet,258,7,0.10062219382640995,0.011711441664186424,0.0
B2,sample_ii_analysis,1,high,q3,mid,1110,7,0.10062219382640995,0.011578845819775944,0.0
B8,sample_ii_analysis,4,mid,q4,wide,249,7,0.10141704569273743,0.011558451639927032,0.0
B2,sample_ii_analysis,2,mid,q4,mid,233,7,0.10141704569273743,0.011558092695833782,0.0
B2,sample_ii_analysis,1,low,q4,wide,2448,7,0.10062219382640995,0.011514010979181751,0.0
B6,sample_ii_analysis,3,mid,q4,wide,311,7,0.10141704569273743,0.011405223001718593,0.0
B2,sample_ii_analysis,1,low,q2,wide,160,7,0.10141704569273743,0.011393208329725726,0.0
B4,sample_ii_analysis,2,mid,q4,wide,716,7,0.10141704569273743,0.011363894972699391,0.0
B2,sample_ii_analysis,1,high,q3,quiet,185,7,0.10062219382640995,0.010938596257904967,0.0
B2,sample_ii_analysis,1,low,q4,mid,1465,7,0.10062219382640995,0.010427951912278091,0.0
B4,sample_ii_analysis,2,mid,q4,mid,452,7,0.10141704569273743,0.010214985836251755,0.0
B2,sample_ii_analysis,1,low,q3,wide,589,7,0.10062219382640995,0.010041127922999138,0.0
B2,sample_ii_analysis,1,mid,q3,wide,671,7,0.10062219382640995,0.009345093053990266,0.0
B2,sample_ii_analysis,1,high,q2,mid,188,7,0.10062219382640995,0.008967015022302035,0.0
B2,sample_ii_analysis,1,mid,q4,wide,4190,7,0.10062219382640995,0.008932665879140354,0.0
B2,sample_ii_analysis,1,low,q3,mid,318,7,0.10062219382640995,0.00868587679557428,0.0
B2,sample_ii_analysis,1,mid,q4,quiet,400,7,0.10062219382640995,0.008619923184833175,0.0
B2,sample_ii_analysis,1,mid,q4,mid,2525,7,0.10062219382640995,0.008614465881241175,0.0
B2,sample_ii_analysis,1,mid,q3,mid,232,7,0.10062219382640995,0.008130074860883805,0.0
