comparison,delta_res68_frac,ci_low_frac,ci_high_frac
ridge_no_rate_minus_traditional_stratified_charge_res68,0.00682066480391976,0.002540692921456015,0.011701535228089328
ridge_with_rate_minus_traditional_stratified_charge_res68,0.007998969600492602,0.003382689044985084,0.012670159545747269
hgb_no_rate_minus_traditional_stratified_charge_res68,-0.031587628275706874,-0.05195674193100243,-0.014992216612238977
hgb_with_rate_minus_traditional_stratified_charge_res68,-0.032857304975335205,-0.05558720934901169,-0.01793890922962765
extra_trees_with_rate_minus_traditional_stratified_charge_res68,-0.039913364844463034,-0.06044334590888153,-0.022598231093086528
mlp_with_rate_minus_traditional_stratified_charge_res68,-0.021821487706804324,-0.03977354865171444,-0.006906696989358675
cnn_1d_with_rate_minus_traditional_stratified_charge_res68,0.11787134543337457,0.09631692641900846,0.14378335176471466
new_rate_support_gated_hgb_minus_traditional_stratified_charge_res68,-0.03428557794243514,-0.05477482141972398,-0.018720518119394104
hgb_shuffled_rate_control_minus_traditional_stratified_charge_res68,-0.03217578211797911,-0.049647014113635535,-0.016244862978159334
run_only_control_minus_traditional_stratified_charge_res68,0.4232842782859768,0.3882686606823189,0.5073151660158296
topology_only_control_minus_traditional_stratified_charge_res68,0.43336356239454665,0.358575790610011,0.49389187941094104
