comparison,metric,delta,delta_ci95
interpolation minus rising_edge_huber,charge_res68_abs_frac,0.010662017629296819,"[0.008937506837320499, 0.012437513897803567]"
interpolation minus rising_edge_huber,time_abs68_samples,-0.011938290306487964,"[-0.014657396892167187, -0.008853212977844714]"
interpolation minus rising_edge_huber,net_harm_label_rate,0.24105461393596986,"[0.22800729755178906, 0.2558851224105461]"
interpolation minus rising_edge_huber,utility,0.3800409155864935,"[0.3594525033345328, 0.40229640314865506]"
ridge_residual minus rising_edge_huber,charge_res68_abs_frac,0.04785798041663674,"[0.04463325572635064, 0.0524802685658396]"
ridge_residual minus rising_edge_huber,time_abs68_samples,-0.011938290306487964,"[-0.014657396892167187, -0.008853212977844714]"
ridge_residual minus rising_edge_huber,net_harm_label_rate,0.23540489642184556,"[0.2241584274952919, 0.24852871939736343]"
ridge_residual minus rising_edge_huber,utility,0.44717435238264347,"[0.42302567035023514, 0.4667927306196152]"
gbt_residual minus rising_edge_huber,charge_res68_abs_frac,-0.008723327629528502,"[-0.010277923223771456, -0.007431614812235736]"
gbt_residual minus rising_edge_huber,time_abs68_samples,-0.011938290306487964,"[-0.014657396892167187, -0.008853212977846091]"
gbt_residual minus rising_edge_huber,net_harm_label_rate,0.2457627118644068,"[0.23182674199623352, 0.2603048493408663]"
gbt_residual minus rising_edge_huber,utility,0.32191825696347326,"[0.2984565492892424, 0.35022778069636196]"
mlp_residual minus rising_edge_huber,charge_res68_abs_frac,-0.00434243259222843,"[-0.0055336854634779635, -0.0032378708740890562]"
mlp_residual minus rising_edge_huber,time_abs68_samples,-0.011938290306487964,"[-0.014657396892167187, -0.008853212977844714]"
mlp_residual minus rising_edge_huber,net_harm_label_rate,0.2452919020715631,"[0.23315677966101694, 0.26027542372881357]"
mlp_residual minus rising_edge_huber,utility,0.33087342744360343,"[0.3076655104923925, 0.35713813506488]"
cnn_inpaint minus rising_edge_huber,charge_res68_abs_frac,0.009183202326820059,"[0.0074643992221344515, 0.010957164533991074]"
cnn_inpaint minus rising_edge_huber,time_abs68_samples,0.07511574358433462,"[0.061878420273516255, 0.09119514063171012]"
cnn_inpaint minus rising_edge_huber,net_harm_label_rate,0.5739171374764596,"[0.5522128060263654, 0.593997175141243]"
cnn_inpaint minus rising_edge_huber,utility,0.8943542696221148,"[0.8581248456126547, 0.9293707344887147]"
support_gated_cnn minus rising_edge_huber,charge_res68_abs_frac,0.0012779831735086518,"[0.0006052373971804625, 0.0023292605428717667]"
support_gated_cnn minus rising_edge_huber,time_abs68_samples,-0.011938290306487964,"[-0.014657396892167187, -0.008853212977844714]"
support_gated_cnn minus rising_edge_huber,net_harm_label_rate,0.1518361581920904,"[0.13967749529190207, 0.16569562146892655]"
support_gated_cnn minus rising_edge_huber,utility,0.20722887740477042,"[0.184056806238575, 0.22789578636465738]"
