check,value,pass
loro_runs_match_config,"58,59,60,61,62,63,65",True
train_heldout_event_id_overlap_max,0,True
features_exclude_run_event_residual_labels,,True
all_predictions_finite,137520,True
one_row_per_method_fold_shuffled_state,84,True
cnn1d_actual_tail_capture_ge_shuffled_proxy_median,0.47368421052631576,True
gradient_boosted_trees_actual_tail_capture_ge_shuffled_proxy_median,0.24561403508771928,True
mlp_actual_tail_capture_ge_shuffled_proxy_median,0.33333333333333337,True
ridge_actual_tail_capture_ge_shuffled_proxy_median,0.3333333333333333,True
siamese_cnn_meta_actual_tail_capture_ge_shuffled_proxy_median,0.456140350877193,True
traditional_quantile_actual_tail_capture_ge_shuffled_proxy_median,0.19444444444444448,True
