map,contrast,value,ci_low,ci_high,high_q_threshold
timing_tail_abs_gt5ns,top_decile_q_pair_max_minus_rest,0.0810700911513228,0.06758718043560837,0.08988935298195457,0.18344410418136087
abs_residual_ns,top_decile_q_pair_max_minus_rest,1.0226442196950682,0.836439015077227,1.1864231050711802,0.18344410418136087
amplitude_log_mean,top_decile_q_pair_max_minus_rest,-0.30716369890189466,-0.3165535980793011,-0.30042171319271027,0.18344410418136087
saturation_boundary_amp_ge_6800,top_decile_q_pair_max_minus_rest,-0.0007774107235169535,-0.003850706259198694,0.002746076592427929,0.18344410418136087
pileup_late_fraction_max,top_decile_q_pair_max_minus_rest,-0.3951162305688936,-0.45997831361038194,-0.3282908598263659,0.18344410418136087
pileup_late_top_decile,top_decile_q_pair_max_minus_rest,0.002228250527453221,-0.052379346364070704,0.031236206256783812,0.18344410418136087
baseline_excursion_rms_max,top_decile_q_pair_max_minus_rest,740.4662838106038,582.4541127356038,907.2650408785458,0.18344410418136087
baseline_excursion_top_decile,top_decile_q_pair_max_minus_rest,0.4953497802986235,0.3831953682816658,0.5932458001396556,0.18344410418136087
charge_shape_area_over_amp_absdiff,top_decile_q_pair_max_minus_rest,1.2826969357630755,0.9550307110804009,1.705743992747484,0.18344410418136087
dropout_peak_edge_proxy,top_decile_q_pair_max_minus_rest,0.38533593383250725,0.29001069592453704,0.4467175333249467,0.18344410418136087
pid_energy_proxy_log_amp_absdiff,top_decile_q_pair_max_minus_rest,0.10082954469136096,0.08600590491097033,0.11853511402257327,0.18344410418136087
downstream_q_max,top_decile_q_pair_max_minus_rest,0.2695312127608483,0.2530429913484289,0.2834649507846248,0.18344410418136087
