heldout_run,check,value,flag
58,train_heldout_event_id_overlap,0.0,False
58,train_tail_positive_pairs,210.0,False
58,heldout_tail_positive_pairs,6.0,False
58,q_template_missing_heldout_rows,0.0,False
58,forbidden_identifier_features_used,0.0,False
59,train_heldout_event_id_overlap,0.0,False
59,train_tail_positive_pairs,168.0,False
59,heldout_tail_positive_pairs,36.0,False
59,q_template_missing_heldout_rows,0.0,False
59,forbidden_identifier_features_used,0.0,False
60,train_heldout_event_id_overlap,0.0,False
60,train_tail_positive_pairs,163.0,False
60,heldout_tail_positive_pairs,38.0,False
60,q_template_missing_heldout_rows,0.0,False
60,forbidden_identifier_features_used,0.0,False
61,train_heldout_event_id_overlap,0.0,False
61,train_tail_positive_pairs,145.0,False
61,heldout_tail_positive_pairs,84.0,False
61,q_template_missing_heldout_rows,0.0,False
61,forbidden_identifier_features_used,0.0,False
62,train_heldout_event_id_overlap,0.0,False
62,train_tail_positive_pairs,179.0,False
62,heldout_tail_positive_pairs,35.0,False
62,q_template_missing_heldout_rows,0.0,False
62,forbidden_identifier_features_used,0.0,False
63,train_heldout_event_id_overlap,0.0,False
63,train_tail_positive_pairs,195.0,False
63,heldout_tail_positive_pairs,23.0,False
63,q_template_missing_heldout_rows,0.0,False
63,forbidden_identifier_features_used,0.0,False
65,train_heldout_event_id_overlap,0.0,False
65,train_tail_positive_pairs,216.0,False
65,heldout_tail_positive_pairs,1.0,False
65,q_template_missing_heldout_rows,0.0,False
65,forbidden_identifier_features_used,0.0,False
