pool,check,value,flag
run64_only,single_run_training_pool,True,False
run64_only,forbidden_feature_overlap,,False
sample_iii_early,forbidden_feature_overlap,,False
sample_iii_early,row_split_advantage_rmse_ns,0.8089808383977182,True
sample_iii_early,group_split_r2_mean,0.08937655111402965,False
sample_iii_early,random_row_split_r2,0.12110775404669427,False
sample_iii_early,shuffled_target_r2,-0.009762909715620882,False
sample_iii_early,train_width_vs_heldout_ml_width_ns,0.05014891684910405,False
sample_iii_late,forbidden_feature_overlap,,False
sample_iii_late,row_split_advantage_rmse_ns,1.2723441307005037,True
sample_iii_late,group_split_r2_mean,-0.018315861041158434,False
sample_iii_late,random_row_split_r2,-0.23708378644942307,False
sample_iii_late,shuffled_target_r2,-0.025757913026941415,False
sample_iii_late,train_width_vs_heldout_ml_width_ns,-0.7117218635363354,False
sample_iii_mixed,forbidden_feature_overlap,,False
sample_iii_mixed,row_split_advantage_rmse_ns,-0.4642082988965788,False
sample_iii_mixed,group_split_r2_mean,0.04753125629272752,False
sample_iii_mixed,random_row_split_r2,0.06769997022116381,False
sample_iii_mixed,shuffled_target_r2,-0.004887522801784394,False
sample_iii_mixed,train_width_vs_heldout_ml_width_ns,-0.3211470054790282,False
