alpha,cv_rmse_ns,cv_rmse_std_ns,method,selected,pool
1000.0,1.7527232345580253,1.2078552250948196,ridge,True,sample_iii_early
100.0,1.7831640188510012,1.0995107237086543,ridge,False,sample_iii_early
10.0,1.927441855859613,1.1149362655784638,ridge,False,sample_iii_early
1.0,1.9392070587027224,1.1521318259346935,ridge,False,sample_iii_early
0.1,1.960507155340268,1.1091890684733798,ridge,False,sample_iii_early
0.01,1.9658879998229888,1.0997750089551126,ridge,False,sample_iii_early
0.01,1.6809381621662929,0.5030163771803141,ridge,True,sample_iii_late
0.1,1.6840657229305993,0.5202240453358261,ridge,False,sample_iii_late
1.0,1.780814874601171,0.6767450846102738,ridge,False,sample_iii_late
10.0,2.204168346880153,1.0673759730893089,ridge,False,sample_iii_late
100.0,2.4205777248655034,1.4262360098272617,ridge,False,sample_iii_late
1000.0,2.4979566899661187,1.8805029249281129,ridge,False,sample_iii_late
0.1,1.4961081764255035,0.4387413213305513,ridge,True,sample_iii_mixed
0.01,1.4973564777586457,0.4308063319325507,ridge,False,sample_iii_mixed
1.0,1.499897416484837,0.4995847732420303,ridge,False,sample_iii_mixed
10.0,1.6751782713298293,0.7010578787441685,ridge,False,sample_iii_mixed
100.0,1.9059354448103236,0.9262011308213142,ridge,False,sample_iii_mixed
1000.0,2.0000407822163386,1.1332061390296773,ridge,False,sample_iii_mixed
