pool,feature,train_median,heldout_median,ks_stat,ks_p_value
run64_only,log_amp_left,7.558487761738579,7.661527081358518,0.1500984251968504,0.8576778359079518
run64_only,log_amp_right,7.560708054928864,7.546446273746024,0.2091535433070866,0.4894904143943244
run64_only,tail_left,0.3664656980685192,0.3922266514806378,0.21358267716535434,0.4713088658082185
run64_only,tail_right,0.43286857129202827,0.44176136363636365,0.2372047244094488,0.34530059975593486
sample_iii_early,log_amp_left,7.865571739278715,7.661527081358518,0.23737598837881113,1.4118669752205548e-06
sample_iii_early,log_amp_right,7.468798578208785,7.546446273746024,0.14465615147163208,0.01041527303734846
sample_iii_early,tail_left,0.3249845345027438,0.3922266514806378,0.43316784694366034,0.0
sample_iii_early,tail_right,0.3506158463190686,0.44176136363636365,0.6006330576602453,0.0
sample_iii_late,log_amp_left,7.880426326425111,7.661527081358518,0.2543426105149744,2.2212406924904116e-07
sample_iii_late,log_amp_right,7.493873848074388,7.546446273746024,0.1174618984082837,0.06531489692964165
sample_iii_late,tail_left,0.3293412538923225,0.3922266514806378,0.4000808073215192,5.551115123125783e-16
sample_iii_late,tail_right,0.3551091539118466,0.44176136363636365,0.5742237172620726,5.551115123125783e-16
sample_iii_mixed,log_amp_left,7.87102497108584,7.661527081358518,0.24411439091440584,5.118278978422097e-07
sample_iii_mixed,log_amp_right,7.476896969559448,7.546446273746024,0.13385577987585676,0.02087216170010686
sample_iii_mixed,tail_left,0.3268134466674468,0.3922266514806378,0.42002711746339766,0.0
sample_iii_mixed,tail_right,0.3522975201619875,0.44176136363636365,0.5901444191513976,0.0
