pool,check,value,flag
run64_only,forbidden_feature_overlap,,False
run64_only,n_train_runs,1,True
run64_only,single_run_or_tiny_pool,16,True
sample_iii_early,forbidden_feature_overlap,,False
sample_iii_early,n_train_runs,11,False
sample_iii_early,row_split_advantage_rmse_ns,-0.2810828822745228,False
sample_iii_early,shuffled_target_r2,-0.0017322629787808186,False
sample_iii_early,run_id_predictability_r2,-0.004655526066782212,False
sample_iii_late,forbidden_feature_overlap,,False
sample_iii_late,n_train_runs,14,False
sample_iii_late,row_split_advantage_rmse_ns,1.4210351904502927,True
sample_iii_late,shuffled_target_r2,-0.020380765580515048,False
sample_iii_late,run_id_predictability_r2,0.004085104111091975,False
sample_iii_mixed,forbidden_feature_overlap,,False
sample_iii_mixed,n_train_runs,25,False
sample_iii_mixed,row_split_advantage_rmse_ns,-0.4331026749749789,False
sample_iii_mixed,shuffled_target_r2,-0.0085139819497011,False
sample_iii_mixed,run_id_predictability_r2,-0.0018349757004616496,False
