method,pool_a,pool_b,pool_a_width_ns,pool_b_width_ns,pool_a_minus_pool_b_ns
cnn1d,sample_iii_late,sample_iii_early,2.3482866399778577,1.510113611720293,0.8381730282575648
cnn1d,sample_iii_mixed,sample_iii_late,1.7957302847728105,2.3482866399778577,-0.5525563552050472
cnn1d,sample_iii_late,run64_only,2.3482866399778577,1.662377525302948,0.6859091146749097
cnn1d__waveform_only,sample_iii_late,sample_iii_early,1.8316059789502273,1.4640854283095137,0.36752055064071354
cnn1d__waveform_only,sample_iii_mixed,sample_iii_late,1.7287881117296693,1.8316059789502273,-0.10281786722055797
cnn1d__waveform_only,sample_iii_late,run64_only,1.8316059789502273,3.073433245868967,-1.2418272669187398
gradient_boosted_trees,sample_iii_late,sample_iii_early,1.4352446682580107,1.517263018538468,-0.08201835028045723
gradient_boosted_trees,sample_iii_mixed,sample_iii_late,1.3702898462484696,1.4352446682580107,-0.06495482200954106
gradient_boosted_trees,sample_iii_late,run64_only,1.4352446682580107,1.662377525302948,-0.22713285704493735
leakage_gated_cnn_new,sample_iii_late,sample_iii_early,2.289600850041265,1.4537904918591442,0.8358103581821208
leakage_gated_cnn_new,sample_iii_mixed,sample_iii_late,1.54578108667735,2.289600850041265,-0.743819763363915
leakage_gated_cnn_new,sample_iii_late,run64_only,2.289600850041265,1.662377525302948,0.627223324738317
leakage_gated_cnn_new__waveform_only,sample_iii_late,sample_iii_early,2.053058755099877,1.1264952290747023,0.9265635260251746
leakage_gated_cnn_new__waveform_only,sample_iii_mixed,sample_iii_late,1.5761464631465323,2.053058755099877,-0.4769122919533446
leakage_gated_cnn_new__waveform_only,sample_iii_late,run64_only,2.053058755099877,3.073433245868967,-1.0203744907690901
mlp,sample_iii_late,sample_iii_early,1.7737768087726762,1.6238727395148365,0.14990406925783972
mlp,sample_iii_mixed,sample_iii_late,2.676314766581797,1.7737768087726762,0.9025379578091206
mlp,sample_iii_late,run64_only,1.7737768087726762,1.662377525302948,0.11139928346972816
ridge,sample_iii_late,sample_iii_early,2.274561227747005,1.4651454487542614,0.8094157789927436
ridge,sample_iii_mixed,sample_iii_late,1.8636634425445948,2.274561227747005,-0.41089778520241027
ridge,sample_iii_late,run64_only,2.274561227747005,1.662377525302948,0.6121837024440571
ridge__run_only,sample_iii_late,sample_iii_early,1.5950687912419461,1.5953919552424969,-0.00032316400055076855
ridge__run_only,sample_iii_mixed,sample_iii_late,1.6057502273286512,1.5950687912419461,0.010681436086705132
ridge__run_only,sample_iii_late,run64_only,1.5950687912419461,1.6099706543209522,-0.014901863079006095
ridge__safe_no_tail,sample_iii_late,sample_iii_early,1.961364988718437,1.4579300416558276,0.5034349470626094
ridge__safe_no_tail,sample_iii_mixed,sample_iii_late,1.712126551412477,1.961364988718437,-0.24923843730595996
ridge__safe_no_tail,sample_iii_late,run64_only,1.961364988718437,1.73605771660491,0.22530727211352697
ridge__waveform_only,sample_iii_late,sample_iii_early,1.9621190069541203,1.897074633599786,0.06504437335433444
ridge__waveform_only,sample_iii_mixed,sample_iii_late,1.828956644651647,1.9621190069541203,-0.13316236230247336
ridge__waveform_only,sample_iii_late,run64_only,1.9621190069541203,3.073433245868967,-1.1113142389148467
traditional,sample_iii_late,sample_iii_early,1.456624277722887,1.5577453031744022,-0.10112102545151513
traditional,sample_iii_mixed,sample_iii_late,1.4921094019259467,1.456624277722887,0.035485124203059604
traditional,sample_iii_late,run64_only,1.456624277722887,1.7936260637768346,-0.3370017860539476
