method,heldout_run,threshold,clean_acceptance,injected_rejection,n_clean_test,n_injected_test
curvature-only traditional,58,4.439667134669805,1.0,0.1111111111111111,9,9
curvature-only traditional,59,4.44237844635631,0.956989247311828,0.12903225806451613,93,93
curvature-only traditional,60,4.449431311162106,0.9612403100775194,0.09302325581395349,129,129
curvature-only traditional,61,4.430242930708881,0.9488636363636364,0.1534090909090909,176,176
curvature-only traditional,62,4.325593875632121,0.9009009009009009,0.13513513513513514,111,111
curvature-only traditional,63,4.445089758042814,0.9649122807017544,0.12280701754385964,57,57
curvature-only traditional,65,4.436277995061675,1.0,0.0,4,4
all-three shape-only RF,58,0.613837985262702,1.0,0.4444444444444444,9,9
all-three shape-only RF,59,0.6129145230195802,0.946236559139785,0.43010752688172044,93,93
all-three shape-only RF,60,0.6172156150539453,0.9612403100775194,0.46511627906976744,129,129
all-three shape-only RF,61,0.6038221140630957,0.9261363636363636,0.48863636363636365,176,176
all-three shape-only RF,62,0.6170666843128654,0.963963963963964,0.3963963963963964,111,111
all-three shape-only RF,63,0.6107493514185002,0.9298245614035088,0.3508771929824561,57,57
all-three shape-only RF,65,0.6144524244784011,1.0,0.5,4,4
