run,group,selected_pulses
31,sample_i_calib,27871
32,sample_i_calib,28240
33,sample_i_calib,48737
34,sample_i_calib,34118
35,sample_i_calib,11667
36,sample_i_calib,10391
37,sample_i_calib,24537
39,sample_i_calib,14218
40,sample_i_calib,14708
41,sample_i_calib,16146
42,sample_i_calib,18112
44,sample_i_analysis,2038
45,sample_i_analysis,24333
46,sample_i_analysis,687
47,sample_i_analysis,5276
48,sample_i_analysis,14000
49,sample_i_analysis,14815
50,sample_i_analysis,35217
51,sample_i_analysis,14740
52,sample_i_analysis,7152
53,sample_i_analysis,32200
54,sample_i_analysis,30440
55,sample_i_analysis,17387
56,sample_i_analysis,40148
57,sample_i_analysis,13833
58,sample_ii_analysis,16781
59,sample_ii_analysis,21377
60,sample_ii_analysis,17029
61,sample_ii_analysis,18965
62,sample_ii_analysis,19089
63,sample_ii_analysis,18817
64,sample_ii_calib,14630
65,sample_ii_analysis,13038
