fold,method,selected,n_features,n_train,n_parameters,last_loss,train_seconds
1,ridge,alpha=10.0,47,7920,,,
1,gradient_boosted_trees,HistGradientBoostingClassifier,47,7920,,,
1,mlp,one_hidden_layer_early_stopping,47,7920,,,
1,cnn1d,four_stave_sequence,36,7920,2257.0,0.14203587174415588,0.410294771194458
1,gated_dilated_cnn,four_stave_sequence,36,7920,4969.0,0.07577433437108994,0.5873770713806152
2,ridge,alpha=1.0,47,7914,,,
2,gradient_boosted_trees,HistGradientBoostingClassifier,47,7914,,,
2,mlp,one_hidden_layer_early_stopping,47,7914,,,
2,cnn1d,four_stave_sequence,36,7914,2257.0,0.16754619777202606,0.3415956497192383
2,gated_dilated_cnn,four_stave_sequence,36,7914,4969.0,0.06445891410112381,0.5636990070343018
3,ridge,alpha=10.0,47,7910,,,
3,gradient_boosted_trees,HistGradientBoostingClassifier,47,7910,,,
3,mlp,one_hidden_layer_early_stopping,47,7910,,,
3,cnn1d,four_stave_sequence,36,7910,2257.0,0.14652971923351288,0.3505873680114746
3,gated_dilated_cnn,four_stave_sequence,36,7910,4969.0,0.07066433131694794,0.55130934715271
4,ridge,alpha=10.0,47,7922,,,
4,gradient_boosted_trees,HistGradientBoostingClassifier,47,7922,,,
4,mlp,one_hidden_layer_early_stopping,47,7922,,,
4,cnn1d,four_stave_sequence,36,7922,2257.0,0.11155425012111664,0.34767699241638184
4,gated_dilated_cnn,four_stave_sequence,36,7922,4969.0,0.0833391323685646,0.6286420822143555
5,ridge,alpha=10.0,47,7922,,,
5,gradient_boosted_trees,HistGradientBoostingClassifier,47,7922,,,
5,mlp,one_hidden_layer_early_stopping,47,7922,,,
5,cnn1d,four_stave_sequence,36,7922,2257.0,0.11681535094976425,0.3704659938812256
5,gated_dilated_cnn,four_stave_sequence,36,7922,4969.0,0.062101636081933975,0.5888395309448242
