current_group,p11_pretrigger_atom,n,fraction,overlap_proxy_rate,baseline_reset_proxy_rate,candidate_rate_first_method
high_20nA,adaptive_lowering,32712,0.13281202421407778,0.07605771582293959,0.5986182440694546,0.5989545121056493
high_20nA,noisy_rms,416,0.0016889765857500722,0.03125,0.0,0.9927884615384616
high_20nA,quiet,177018,0.7187001376353516,0.22776214848207527,0.0,0.9993277519800247
high_20nA,range_spike,4681,0.019005046629557903,0.027130954924161503,1.0,0.9942320017090366
high_20nA,sloped,31476,0.12779381493526265,0.028148430550260516,0.24399542508577965,0.9951073834032279
low_2nA,adaptive_lowering,597,0.10011739057521382,0.04690117252931323,0.6867671691792295,0.5745393634840871
low_2nA,noisy_rms,10,0.001677008217340265,0.0,0.0,1.0
low_2nA,quiet,4296,0.7204427301693779,0.19716014897579143,0.0,0.99743947858473
low_2nA,range_spike,213,0.035720275029347645,0.009389671361502348,1.0,0.9953051643192489
low_2nA,sloped,847,0.14204259600872043,0.021251475796930343,0.32113341204250295,0.987012987012987
