group,n_columns,baseline_auc,dropout_auc,delta_auc,mean_fold_delta_auc,min_fold_delta_auc,max_fold_delta_auc
peak_samples_08_11,28,0.8835166343018903,0.744187017697716,0.1393296166041743,0.12566633763295745,0.0,0.1868267159125886
rise_samples_04_07,28,0.8835166343018903,0.8157206308297613,0.067796003472129,0.04737010320128362,-0.0625,0.10456102397692446
shape_width_atoms,21,0.8835166343018903,0.8302042411280244,0.053312393173865935,0.0661419683016667,-0.012345679012345623,0.1875
B4_slot_all_samples,24,0.8835166343018903,0.8354348066018177,0.04808182770007263,0.026861092657378,-0.125,0.0693937180423666
B6_slot_all_samples,24,0.8835166343018903,0.8391604845469379,0.04435614975495239,0.02654019408597787,-0.125,0.08641975308641969
B8_slot_all_samples,24,0.8835166343018903,0.854407724592159,0.029108909709731345,0.032709339110680156,0.0,0.08641975308641969
pretrigger_samples_00_03,28,0.8835166343018903,0.8600350195829269,0.023481614718963373,0.025312225212649024,0.0,0.061728395061728336
terminal_samples_16_17,14,0.8835166343018903,0.8635295205538701,0.019987113748020202,0.019096646656853084,0.0,0.03703703703703698
tail_samples_12_15,28,0.8835166343018903,0.8771137778493682,0.006402856452522143,0.007813516953266866,-0.0015011621900825611,0.01340063698095062
tail_fraction_atoms,22,0.8835166343018903,0.8785679555901575,0.004948678711732768,-0.00693299391219696,-0.0625,0.012927054478301114
