run,events,selected_pulses,B2,B4,B6,B8
31,39990,27871,26948,592,237,94
32,41921,28240,27316,605,224,95
33,57173,48737,47724,559,318,136
34,39765,34118,33373,412,244,89
35,27786,11667,11029,403,163,72
36,21764,10391,9847,340,143,61
37,50513,24537,22956,997,423,161
39,30321,14218,13174,663,273,108
40,32613,14708,13575,707,310,116
41,33997,16146,14963,758,298,127
42,33972,18112,16977,711,307,117
44,4294,2038,1884,93,44,17
45,48181,24333,22786,969,401,177
46,1441,687,675,7,3,2
47,10970,5276,5116,85,50,25
48,31713,14000,13044,599,245,112
49,32354,14815,13779,640,281,115
50,44804,35217,34088,659,330,140
51,20569,14740,14200,303,177,60
52,10005,7152,6893,148,76,35
53,39612,32200,31225,559,296,120
54,37413,30440,29493,536,298,113
55,24416,17387,16735,372,199,81
56,51823,40148,38730,825,421,172
57,31284,13833,12774,656,273,130
58,34141,16781,15791,591,285,114
59,42303,21377,13565,4527,2366,919
60,36074,17029,9873,4040,2189,927
61,36535,18965,11015,4401,2490,1059
62,37584,19089,11635,4183,2342,929
63,37030,18817,14566,2645,1153,453
64,35943,14630,11907,1689,763,271
65,38424,13038,11768,842,323,105
