path,line,size_bytes,text,looks_like_source_table
studies/STUDY_TEMPLATE.md,34,3945,"small/imbalanced classes. State explicitly what the output *is* (e.g. ""clean-timing probability,",False
studies/STUDIES.md,136,26322,"- Graph = {B2,B4,B6,B8} nodes with pulse features + edges; predict clean-timing probability and",False
studies/STUDIES.md,138,26322,- **Benchmark:** vs the RF clean-timing classifier (App. A) and the inverse-variance combined,False
studies/STUDIES.md,265,26322,"beat q_template-only on weak clean-timing labels, but the historical App.A table must be recovered",False
docs/07_ml_methods.md,11,4474,## A. Event-level clean-timing classifier (App. A),False
docs/07_ml_methods.md,17,4474,"- **Split by run** (not random). 12,147 events (10,636 clean : 1,511 violating, **~7:1**).",False
docs/07_ml_methods.md,21,4474,"  calibration. Class imbalance 7:1. Output is **clean-timing probability, NOT** a",False
scripts/s07_ml_rigour_scoreboard.py,516,22964,"            ""S07c: event-level clean-timing RF vs q_template/downstream-span baseline"",",False
scripts/s11a_two_pulse_template_ml.py,833,45813,Run splitting is strict: no source run appears in both train and held-out sets. Event ids are generated per split and have no overlap. A shuffled-label classifier gives held-out AP `{float(leak[leak['check'] == 'shuffled_train_labels_heldou,False
reports/1781005862.2197.53fd45c8__p04c_amplitude_adaptive_template/result.json,243,8725,"      ""res68_abs_frac"": 0.5491063664,",False
reports/1781005319.615.15053b04__p09a_rare_waveform_anomaly_taxonomy/gallery_waveforms.json,5641,116429,"      -2.11511,",False
reports/1781005862.2197.53fd45c8__p04c_amplitude_adaptive_template/benchmark.csv,10,3555,"charge,adaptive_template_scale,heldout_runs_57_65,26857,0.10172959905033475,0.5491063663605593,2.556067869638078,0.08686748333767733,0.18021372454108797,""[0.09166327766732202, 0.10972029512308315]"",""[0.5361386877374352, 0.564370153185557]"",",False
reports/1781004956.733.387f428e/ml_injection_calibration_by_stratum.csv,16,7989,"46,amp_ge_4500|s16_no_lowering|p02_broad_late,526,0.047941363377822586,0.9779321322624991,0.4815113747538378,0.4847908745247148",False
reports/1780997954.15397.168324f2__s18_astack_independent_reproduction/head_to_head_benchmark.csv,3,1523,"sample_iii_analysis,ml_ridge_timewalk,2514,-0.013131866828228311,1.3828948617417889,1.337040260259892,1.4263915126808568,3.2260188940981522,1.3867112837854556,4.826671545855859,0.8631662688941926,0.002386634844868735,1.4151063662863441,0.03",False
